 	t	s	ó	o	é	m	i	b	o	n	d	z	a	é	m	i	b	v	u	á	i	s	á	n	g	á	</S>
la	0.0149351	0.0132558	0.010475	0.00760003	0.00745632	0.00980409	0.0259936	0.0388987	0.0459349	0.0480483	0.0734152	0.0930771	0.0561566	0.0671495	0.0789574	0.0419846	0.0377006	0.0276853	0.016116	0.0247164	0.0232866	0.0340514	0.0339292	0.048983	0.0426501	0.0481974	0.0295418
calebasse	0.0438624	0.0799512	0.0952026	0.0984029	0.0732564	0.0449986	0.0486665	0.0403464	0.0317257	0.011319	0.00803844	0.00736358	0.00822187	0.0355656	0.049763	0.0440762	0.0326557	0.0341618	0.014287	0.045089	0.0603842	0.0190333	0.0113943	0.0326079	0.0127776	0.0143977	0.00245131
est	0.123474	0.0715371	0.0432003	0.0205171	0.0144287	0.0102887	0.01159	0.024075	0.0228804	0.0303155	0.0374753	0.0560958	0.0478309	0.0637943	0.0599908	0.0524829	0.0302137	0.0255491	0.0272588	0.0447084	0.0471083	0.0209002	0.0317675	0.0259187	0.0234237	0.0223928	0.0107817
cassée	0.0602262	0.0559065	0.0798205	0.0780046	0.0648628	0.0588895	0.0599451	0.0611725	0.0545453	0.029645	0.0244176	0.0351736	0.025975	0.0293838	0.0299194	0.0238173	0.0253116	0.025988	0.0151058	0.0121772	0.00943937	0.0084066	0.0110569	0.0104607	0.010159	0.0197431	0.0804467
et	0.0391093	0.0280844	0.0191315	0.011758	0.0123469	0.0128316	0.0171637	0.0175528	0.0279025	0.0329794	0.0462729	0.0448121	0.0146788	0.0144322	0.0172976	0.0238313	0.0265852	0.0351714	0.0562525	0.0834392	0.0808154	0.0340829	0.0577415	0.0572575	0.0491293	0.0840678	0.0552722
il	0.0412626	0.0357143	0.0283	0.0243991	0.0249865	0.0339851	0.032706	0.0303186	0.0581771	0.0632901	0.0682435	0.0589885	0.0473293	0.0383279	0.0316168	0.0377206	0.0521003	0.0452362	0.0233626	0.0193087	0.0258176	0.0185254	0.0211288	0.0191441	0.0240135	0.029254	0.0667428
ne	0.0392381	0.0319168	0.030394	0.0373304	0.0391775	0.039865	0.0370835	0.031242	0.0359034	0.0365155	0.0336354	0.0362411	0.0340933	0.0250238	0.0189129	0.0198023	0.018594	0.0216348	0.0314613	0.0270826	0.0420781	0.0407069	0.0485347	0.0453513	0.0553957	0.0582312	0.0845543
reste	0.0609018	0.0419595	0.0348553	0.0316985	0.0204419	0.018089	0.0131821	0.0114257	0.0122672	0.0147515	0.0178177	0.0314403	0.0173968	0.017702	0.0172733	0.0136458	0.0172973	0.0321271	0.0441679	0.0370236	0.033948	0.0506826	0.0700266	0.0480402	0.0577975	0.0786995	0.155341
que	0.0803685	0.0559249	0.0512222	0.059381	0.0579292	0.0486241	0.0265945	0.0172789	0.0155664	0.017246	0.0166328	0.0337553	0.0157564	0.0132332	0.0105465	0.00886435	0.00838399	0.0164652	0.0249773	0.0244672	0.029044	0.0434124	0.0570084	0.0371699	0.0488464	0.0558539	0.125447
des	0.0254263	0.0258997	0.0385983	0.068111	0.109503	0.100013	0.0654435	0.0414569	0.0494983	0.0449506	0.0522076	0.0522716	0.0331021	0.0214496	0.0163726	0.0123132	0.011553	0.0145113	0.0192879	0.0190991	0.0254935	0.0265475	0.0193111	0.0167023	0.0192094	0.0201064	0.0515609
morceaux	0.0467585	0.0380381	0.0399341	0.040536	0.0356796	0.0272202	0.0186016	0.011615	0.0126815	0.00984672	0.00719401	0.00746824	0.00608364	0.00846486	0.00805691	0.0041916	0.00723067	0.0154445	0.0129725	0.0194621	0.0433215	0.056475	0.044818	0.0591128	0.0910601	0.0920713	0.235661
</S>	0.110876	0.0749087	0.0572251	0.0390587	0.0205374	0.012892	0.0107047	0.00851129	0.0095302	0.0113225	0.00833504	0.0100186	0.00592882	0.00857262	0.0079758	0.0054203	0.00859226	0.0160626	0.0215594	0.0230136	0.0366344	0.060104	0.0561968	0.0513477	0.0643442	0.0659044	0.194423
