 	i	k	ω	n	í	l	í	y	í	í	í	k	ώ	n	d	i	s	i	w	á	l	e	k	ώ	ώ	l	i	</S>
une	0.0612767	0.0375868	0.0325629	0.0183059	0.0256709	0.026621	0.0289025	0.0190066	0.0263352	0.031052	0.0570907	0.043503	0.0816271	0.0470376	0.0359546	0.0181512	0.0217308	0.0279923	0.0350267	0.0428776	0.0205737	0.0420033	0.0431542	0.0468582	0.0241157	0.0326191	0.0398085	0.032555
longue	0.185414	0.106542	0.0998852	0.112402	0.0524021	0.0430057	0.0236885	0.0187242	0.0234313	0.0245343	0.0426415	0.0129915	0.0146904	0.0351624	0.0243491	0.0302713	0.0212368	0.0146646	0.015329	0.0191102	0.00911038	0.0143594	0.0128266	0.0111643	0.00574694	0.00687957	0.0113357	0.00810121
maladie	0.0481695	0.0394981	0.0333149	0.0141382	0.0190622	0.0183058	0.0175722	0.0113192	0.0200012	0.0321953	0.0565188	0.126039	0.0845921	0.0725121	0.0547952	0.0502264	0.0426935	0.035251	0.0550842	0.038346	0.016318	0.0205284	0.0317719	0.0187852	0.0120327	0.0150052	0.00885724	0.00706651
l'	0.0120903	0.0267571	0.0385519	0.0383756	0.0280215	0.0198116	0.0165382	0.0220398	0.0205579	0.0270925	0.0127973	0.00945119	0.00669208	0.0085796	0.00851748	0.0369602	0.0751736	0.0828427	0.0439353	0.0491831	0.056672	0.0455586	0.0715273	0.0574748	0.0552403	0.0421763	0.0255941	0.0617877
a	0.0417655	0.0543556	0.0302154	0.0505799	0.0442	0.0372415	0.039696	0.0609738	0.0676088	0.0583189	0.0697673	0.0756176	0.0556447	0.0330971	0.0319117	0.028158	0.00872222	0.0105004	0.0199473	0.00946789	0.0161143	0.0147532	0.0207286	0.0177133	0.0261433	0.019013	0.0164711	0.0412736
fait	0.0470748	0.0473314	0.0384764	0.0289416	0.0274342	0.028145	0.0268704	0.0293931	0.0315178	0.0225752	0.0333004	0.0403459	0.037307	0.0341891	0.0274778	0.0263764	0.0311584	0.029282	0.020129	0.01126	0.0256348	0.038054	0.0541554	0.0338174	0.0381945	0.0346741	0.0520014	0.104883
échouer	0.0763298	0.059979	0.0226457	0.0295626	0.0338805	0.0415001	0.0568735	0.0641693	0.0674406	0.0679434	0.0741081	0.0621189	0.0407773	0.0319166	0.0323644	0.0236993	0.0106436	0.00943606	0.0150023	0.00638213	0.012777	0.0144238	0.0197376	0.0159236	0.0219171	0.0307232	0.021191	0.0365334
à	0.0281366	0.0270518	0.027934	0.0389436	0.0442009	0.0521028	0.0498835	0.0390869	0.032813	0.0297637	0.0272065	0.0211817	0.0172172	0.0109535	0.0140728	0.0128544	0.0249491	0.0294361	0.0239686	0.0291372	0.0156981	0.046695	0.0457633	0.0469011	0.0533119	0.0520028	0.0675119	0.0912221
l'	0.0462407	0.0370622	0.0250467	0.0208317	0.020055	0.0216646	0.0200353	0.015118	0.0147786	0.0158083	0.0133279	0.0118891	0.0107075	0.0130892	0.0186865	0.0206684	0.0278801	0.0347454	0.0402558	0.0567898	0.0415572	0.0632979	0.0650615	0.0671528	0.0677253	0.066889	0.0701648	0.0734706
école	0.0281637	0.0246384	0.020783	0.0191297	0.0153989	0.0123559	0.00869705	0.00686773	0.0084025	0.00950753	0.00893201	0.00879538	0.013464	0.015068	0.0233328	0.0177495	0.0128897	0.0157497	0.00807804	0.0163842	0.00773395	0.0560002	0.0670338	0.0657563	0.0762868	0.119401	0.139764	0.173636
</S>	0.0635285	0.0567902	0.0390966	0.0275377	0.0252945	0.0234834	0.0211179	0.0154461	0.0187202	0.0280125	0.0205785	0.0182547	0.0123635	0.0118036	0.0119741	0.0120595	0.0188027	0.0272387	0.0234538	0.0266181	0.0285028	0.0331162	0.0560351	0.0592079	0.0727278	0.0628636	0.061706	0.123666
