 	m	ó	l	e	k	á	a	d	í	b	v	a	n	d	e	b	á	n	g	á	b	v	ú	ó	d	z	e	m	w	á	n	y	á	á	e	s	á	á	k	a	á	</S>
au	0.00692283	0.0108914	0.0155043	0.0223877	0.0289175	0.0306564	0.0517984	0.056901	0.0536057	0.049309	0.0621384	0.0568171	0.0586003	0.0479535	0.0298051	0.0264162	0.0188558	0.0197274	0.0188126	0.0228924	0.0147987	0.0156397	0.0132826	0.0145902	0.00903651	0.00827779	0.00869345	0.00913593	0.00587348	0.00533735	0.0040794	0.00717082	0.00840025	0.00512528	0.0182727	0.0144909	0.0282992	0.0223459	0.0210977	0.0296842	0.0264915	0.0209634
cours	0.0252334	0.0590847	0.118318	0.0866029	0.0826556	0.0946704	0.0879661	0.0690217	0.043019	0.0307837	0.0438779	0.0395869	0.02175	0.0252194	0.0021065	0.00188388	0.00229961	0.00182385	0.0043558	0.00307344	0.00166656	0.00295616	0.003518	0.00598305	0.00553656	0.00811847	0.0111642	0.00746097	0.00415783	0.00623252	0.0225389	0.00830739	0.00953313	0.00915869	0.00947701	0.00824097	0.0117525	0.00606984	0.00623714	0.00396859	0.00239968	0.00218945
de	0.0821031	0.0598991	0.0306083	0.0125346	0.00872721	0.010703	0.00614319	0.0089135	0.00874528	0.0093466	0.00858799	0.0121835	0.0137057	0.0183001	0.0144984	0.0246897	0.0271597	0.0179934	0.0453609	0.0138506	0.0249529	0.0289442	0.0281548	0.0618566	0.0684432	0.0515928	0.043175	0.0270673	0.0266241	0.0331398	0.0148236	0.0302172	0.0164974	0.0319088	0.0188058	0.0134026	0.0150941	0.00920849	0.00685949	0.00619033	0.00482742	0.00416004
cette	0.0267327	0.0466664	0.0822124	0.10167	0.0798425	0.0883674	0.0404995	0.0315205	0.0147265	0.0119429	0.00815477	0.0128039	0.013603	0.0221091	0.0267855	0.0341138	0.0308939	0.0338731	0.0304713	0.0121921	0.0139342	0.010162	0.0127631	0.0131271	0.0180459	0.0101885	0.00577149	0.00603709	0.00346263	0.00536376	0.00584666	0.0134997	0.00885135	0.0119942	0.0201113	0.0139907	0.0174231	0.0138841	0.00741853	0.00897326	0.0121845	0.0177857
petite	0.0678047	0.0464621	0.039435	0.0317526	0.028937	0.0273985	0.0318768	0.0302334	0.0320004	0.0298558	0.0218123	0.0265363	0.0207561	0.0357097	0.0276878	0.0190803	0.013929	0.019903	0.03053	0.0246307	0.0228833	0.0239438	0.0279936	0.0387911	0.032272	0.0251621	0.022147	0.0139214	0.00921641	0.0096088	0.0185602	0.0225891	0.0147268	0.00713105	0.0143611	0.00817083	0.00658193	0.00540342	0.0078961	0.00697253	0.00721417	0.0481216
saison	0.0265684	0.024619	0.0195762	0.0148166	0.0156251	0.0183604	0.0175438	0.0111809	0.00799551	0.00693094	0.0052992	0.0101133	0.0120623	0.0258955	0.027656	0.0404487	0.0340812	0.0341164	0.0667671	0.0446288	0.051064	0.0453566	0.0469565	0.0699211	0.0713486	0.0448366	0.0328569	0.0208689	0.00688558	0.0100094	0.00744052	0.0103516	0.00730341	0.00650012	0.0244086	0.0114315	0.0111563	0.00648092	0.00925267	0.00953907	0.0131914	0.0185544
de	0.027019	0.0265108	0.0193647	0.0230425	0.0300151	0.0274169	0.0226045	0.0197453	0.0112448	0.0109371	0.00816895	0.0117314	0.0110923	0.0172691	0.0223348	0.0303118	0.0330606	0.0435493	0.0578221	0.0376706	0.0660407	0.063843	0.0637666	0.0539557	0.0492496	0.0302183	0.0238214	0.0239765	0.00777667	0.0124577	0.00896781	0.0103078	0.00664087	0.00689376	0.011461	0.00824639	0.00593189	0.00412619	0.0045322	0.00798434	0.0136128	0.025277
pluie	0.0569679	0.0313949	0.0196388	0.0180127	0.0178167	0.0157776	0.00872191	0.00650753	0.00629931	0.00652475	0.0058147	0.00718513	0.00779838	0.00771307	0.0206965	0.0203748	0.025619	0.0509677	0.0649285	0.0584423	0.0839751	0.0543684	0.0694604	0.0383161	0.0310408	0.0251666	0.0165131	0.0274472	0.00569496	0.00583527	0.00652195	0.0105557	0.00846567	0.0079958	0.0253021	0.0113494	0.00882046	0.0058421	0.00777016	0.0183566	0.0270194	0.0469806
mon	0.0399502	0.0207054	0.0124067	0.0106524	0.0107205	0.00800657	0.00645807	0.00491092	0.00607916	0.00566361	0.00513905	0.00634188	0.00735189	0.00678481	0.0212581	0.025106	0.0330335	0.0466885	0.0649871	0.0597312	0.0897155	0.0577097	0.0695486	0.051311	0.0508076	0.04327	0.0250934	0.0404819	0.0164852	0.0138706	0.0158274	0.00718009	0.0069929	0.0043136	0.0106404	0.00850052	0.00796221	0.00705715	0.00805382	0.00978004	0.0135813	0.0398415
barrage	0.0826806	0.0469004	0.0261148	0.0164482	0.00803916	0.00225993	0.00257455	0.00277554	0.00371043	0.00365701	0.00402591	0.00453539	0.0053751	0.00572822	0.00834828	0.010988	0.0143422	0.0201765	0.0303996	0.0290783	0.0392059	0.0469492	0.0731776	0.0719103	0.0689911	0.0633175	0.0477456	0.0482505	0.0193428	0.0123422	0.0105561	0.00701692	0.00799435	0.00411431	0.0112403	0.00660357	0.00653261	0.00519387	0.00698369	0.0159235	0.0183931	0.0800568
à	0.0727712	0.05458	0.0604363	0.0507209	0.0342376	0.0265985	0.00779936	0.00592758	0.00516532	0.00467696	0.00296795	0.00348035	0.00359741	0.00510128	0.0138523	0.0127352	0.0137486	0.0392066	0.0297618	0.0237995	0.0351602	0.0291225	0.0380625	0.0373435	0.0338802	0.0284636	0.0273837	0.0398878	0.0182376	0.0164589	0.0199308	0.0155405	0.0195508	0.0107061	0.0186538	0.0172536	0.013422	0.0129335	0.0103915	0.0106886	0.0175881	0.0581754
nasses	0.138841	0.0690589	0.0299246	0.0160848	0.0102696	0.00498213	0.00362895	0.00257286	0.00299559	0.00349788	0.0043841	0.0043356	0.00610166	0.00504128	0.0142662	0.014578	0.0142732	0.0250721	0.0230359	0.0366318	0.027158	0.0256128	0.0292472	0.0227818	0.0236369	0.0218818	0.0161994	0.0185986	0.0131215	0.0105347	0.026212	0.0121091	0.017381	0.00747386	0.0223167	0.0248344	0.0183685	0.0228467	0.022832	0.0261317	0.0527343	0.10841
n'	0.0693454	0.0331984	0.0208055	0.0165992	0.0130625	0.00629084	0.0052616	0.0048705	0.00412782	0.00521411	0.00520073	0.00518135	0.00600021	0.00569506	0.0105767	0.0119023	0.0126931	0.0262571	0.0275759	0.0366156	0.037245	0.0336917	0.0377006	0.0271501	0.0258653	0.0287044	0.0245138	0.0278753	0.0129456	0.0132581	0.0217129	0.014019	0.0209455	0.0161493	0.0317027	0.0361222	0.0303964	0.0314224	0.0322668	0.0389234	0.0603633	0.0705525
était	0.0933163	0.0510758	0.0299048	0.0252165	0.0235498	0.0191121	0.00843258	0.00495864	0.00377766	0.00424824	0.00346048	0.00367514	0.0035773	0.00346667	0.0119946	0.0115977	0.0135072	0.0406646	0.0352084	0.0417434	0.0372533	0.0374135	0.0387844	0.027247	0.0222903	0.0264778	0.0224685	0.0261658	0.0164501	0.019404	0.0297695	0.0261708	0.0251498	0.0251556	0.02229	0.0196572	0.013973	0.0151212	0.015542	0.0177385	0.0354683	0.0475214
pas	0.277118	0.0782849	0.0287702	0.0130814	0.00759357	0.0056899	0.00754794	0.00493658	0.00540431	0.00658962	0.00838824	0.0074182	0.00804422	0.0060368	0.00677628	0.00397691	0.00375353	0.00618895	0.00626611	0.0128273	0.0108976	0.0108184	0.014651	0.0125267	0.0108757	0.0108685	0.00633662	0.00385358	0.00477688	0.00853339	0.0155855	0.0106637	0.0104442	0.00731297	0.0217501	0.0274532	0.022541	0.0307519	0.0329179	0.0453791	0.0580472	0.118322
rentable	0.100101	0.0662722	0.0570622	0.0304617	0.0175639	0.010363	0.00617488	0.00423841	0.00449445	0.00426287	0.00314438	0.00336288	0.00374306	0.0087535	0.0550792	0.0174949	0.0100501	0.0301887	0.0126947	0.0226239	0.00991685	0.00824706	0.00773554	0.00435841	0.00605601	0.00695451	0.0033603	0.00396017	0.0115139	0.00697902	0.0160317	0.0154862	0.0208336	0.0145542	0.0328687	0.0327146	0.0534711	0.0314044	0.067202	0.0631555	0.0307205	0.0843462
