 	a	t	ú	t	u	l	ú	m	á	a	b	h	é	m	b	á	s	é	t	ó	n	g	o	</S>
les	0.161363	0.197959	0.181265	0.0591925	0.0233789	0.00976659	0.00968068	0.00757641	0.0372439	0.0250416	0.0303558	0.0309399	0.0213423	0.0323383	0.0216858	0.0194346	0.0206079	0.0187276	0.0181093	0.011387	0.0173485	0.0197947	0.0124674	0.0129929
têtards	0.0441748	0.052404	0.0444848	0.0765675	0.0814309	0.141465	0.126496	0.111464	0.0829019	0.0377766	0.0310528	0.0528381	0.0187929	0.0159769	0.00652717	0.00867394	0.00846635	0.0110182	0.0136887	0.00722023	0.00685028	0.00739376	0.00562012	0.00671435
à	0.0666297	0.0662214	0.0631909	0.0466711	0.0347184	0.0408419	0.049207	0.0441819	0.041492	0.0494029	0.0561653	0.0715968	0.0839745	0.0988702	0.03896	0.0290307	0.0177305	0.0166833	0.0144095	0.0144137	0.010032	0.0178785	0.0131756	0.0145222
grosse	0.0353627	0.0400338	0.0737433	0.0651461	0.0710607	0.0675996	0.0405036	0.038584	0.0367281	0.0254351	0.0297519	0.0316745	0.0278407	0.0412335	0.0333787	0.0483137	0.0540786	0.0328512	0.0321539	0.0378931	0.0246734	0.0297177	0.028888	0.0533541
tête	0.0596814	0.0621787	0.0640351	0.0563264	0.0580018	0.0507737	0.040964	0.0182088	0.0165419	0.0207293	0.0214398	0.0172209	0.0151168	0.0261891	0.0233802	0.0307605	0.046453	0.0450081	0.0583202	0.053278	0.0486594	0.0624164	0.0439706	0.0603463
plate	0.0487149	0.0693605	0.0704381	0.0428128	0.0361202	0.0302342	0.0329379	0.0276631	0.0232519	0.0150251	0.0185261	0.0183603	0.0207057	0.0300295	0.0254673	0.0344944	0.0373053	0.0181537	0.0348105	0.0593351	0.0434844	0.0703178	0.0537534	0.138698
nagent	0.0185446	0.0187764	0.0200299	0.0254987	0.0260081	0.0208272	0.0184271	0.0164487	0.0158384	0.0193653	0.0141154	0.0133504	0.0128813	0.0297352	0.0285748	0.0377152	0.0490802	0.0405143	0.0607422	0.0678866	0.0859511	0.0812357	0.0849738	0.19348
dans	0.025954	0.025889	0.0273391	0.0373636	0.037349	0.019052	0.0155373	0.0110851	0.0107365	0.00749199	0.0061494	0.00747314	0.0066176	0.0217248	0.0242819	0.0313914	0.0371433	0.0314474	0.0406914	0.0646244	0.0680104	0.0761759	0.114554	0.251918
l'	0.0388277	0.0696657	0.0807534	0.0412165	0.0371905	0.0346745	0.0237578	0.00628926	0.00811221	0.00308978	0.00607871	0.00717622	0.00732491	0.0160528	0.0292146	0.0459633	0.073253	0.0580153	0.0547413	0.061747	0.0620631	0.0625129	0.0702623	0.102017
étang	0.0182671	0.0255076	0.0251728	0.0210377	0.0159637	0.011916	0.00365259	0.00145275	0.00202033	0.00132772	0.00182601	0.00243724	0.00190908	0.00366292	0.00749173	0.0130403	0.0499165	0.0523158	0.0839764	0.0970332	0.129457	0.112996	0.167815	0.149805
</S>	0.0154809	0.0263409	0.0312262	0.0287386	0.0271921	0.0258015	0.0151292	0.00756968	0.00802983	0.00447641	0.00846931	0.00948262	0.00932757	0.0137704	0.0229115	0.0323852	0.0446519	0.0314021	0.0392587	0.0530106	0.0730648	0.0958333	0.126321	0.250126
