 	k	y	é	m	a	a	d	í	í	o	b	é	n	y	á	i	y	ώ	ω	l	á	m	w	á	n	a	y	a	o	d	i	m	í	k	a	á	</S>
le	0.00781531	0.00704566	0.00555071	0.00628127	0.0097186	0.00736842	0.0107346	0.00998756	0.0151342	0.0533882	0.0861565	0.0762635	0.0755626	0.0752797	0.0515573	0.064279	0.0746038	0.040916	0.0422593	0.0360259	0.0169289	0.0155127	0.00920324	0.0149698	0.0105783	0.00645414	0.00747146	0.00668218	0.00790562	0.0107036	0.0114276	0.0248174	0.0192112	0.0257615	0.0228278	0.0180682	0.0155483
singe	0.0432187	0.0894326	0.207622	0.269688	0.11712	0.0695211	0.029035	0.0188224	0.00932629	0.0155547	0.00698817	0.00274656	0.00159964	0.00313451	0.00532609	0.00708106	0.00750165	0.00529955	0.00577707	0.00640052	0.00759542	0.00596388	0.00206127	0.00328673	0.00360868	0.00309591	0.00357578	0.00704542	0.00532059	0.0121919	0.00613749	0.00381421	0.00541542	0.00392787	0.00371842	0.000866822	0.001178
n'	0.052421	0.0383284	0.0306435	0.0374799	0.0388291	0.0430738	0.0630725	0.0584945	0.0480507	0.044848	0.0361301	0.0256561	0.0227065	0.022838	0.0267017	0.0158529	0.0207382	0.0195899	0.0125963	0.0134303	0.0178563	0.0141317	0.0233241	0.0208588	0.0193677	0.013893	0.00914786	0.0207897	0.0138906	0.0171316	0.0219637	0.0226189	0.0354006	0.0229821	0.029026	0.0191292	0.00700653
adopte	0.0340154	0.0367542	0.0536842	0.0647487	0.0691617	0.0629073	0.033752	0.0373633	0.0218836	0.0415701	0.138345	0.0405446	0.0513458	0.0801794	0.0405936	0.0274544	0.023066	0.012381	0.00958753	0.0111145	0.00912161	0.00852019	0.00614192	0.00841673	0.0076018	0.00716277	0.00493198	0.00701201	0.00751374	0.003954	0.00703126	0.0100844	0.00636647	0.00367895	0.00299766	0.00298289	0.00602965
pas	0.0206545	0.0279737	0.0413229	0.0267909	0.0246934	0.0219058	0.0273055	0.0235689	0.0263147	0.0290835	0.0412134	0.0274035	0.0460906	0.0579628	0.0396104	0.0233735	0.0422027	0.0257322	0.0260093	0.016243	0.0196509	0.0190658	0.018917	0.0235644	0.0155342	0.0220401	0.0185809	0.0197913	0.0220879	0.0234385	0.0118523	0.0299477	0.0128224	0.0212835	0.0208751	0.0184956	0.0665972
le	0.0210911	0.0236442	0.0256039	0.0249821	0.0214167	0.0196086	0.0315166	0.0215965	0.0199611	0.0357606	0.0447678	0.0377186	0.0512418	0.0523086	0.0476143	0.0359125	0.0590078	0.0319497	0.032597	0.0267406	0.0260632	0.0198213	0.0165794	0.0204504	0.0146328	0.019296	0.0124323	0.0118124	0.0169383	0.0238455	0.0167349	0.0192591	0.0159559	0.0154414	0.0219809	0.0184681	0.045248
fils	0.0424005	0.0417759	0.0477675	0.0520556	0.0624418	0.0505455	0.0402714	0.018666	0.0135048	0.0222387	0.0306875	0.0241542	0.0243075	0.022816	0.0162245	0.0122704	0.0130006	0.0134625	0.0131219	0.013783	0.0196467	0.0191023	0.0211417	0.0215908	0.0207721	0.0238566	0.0215717	0.0177563	0.0218221	0.0153771	0.0183323	0.0298073	0.0199433	0.0298001	0.0287846	0.0307979	0.0644012
de	0.072862	0.037757	0.0264312	0.0342046	0.0409039	0.0404187	0.0418252	0.0308632	0.0283875	0.0235067	0.0855649	0.0464489	0.0493449	0.0339228	0.0218417	0.0244142	0.0129539	0.0147801	0.0130647	0.0209568	0.0184809	0.0193404	0.0165807	0.0142575	0.0161545	0.012842	0.00929203	0.00448738	0.0109271	0.00901101	0.00527176	0.0202206	0.00572087	0.00924742	0.0100666	0.0164947	0.101151
son	0.0364641	0.0253398	0.0317404	0.0390676	0.0292121	0.0222742	0.03156	0.022181	0.0215713	0.0274434	0.0343017	0.0214462	0.0196318	0.0160514	0.0141502	0.0135681	0.0179785	0.0155854	0.0167094	0.0182567	0.022838	0.0222713	0.0260667	0.0286472	0.0201703	0.0206308	0.0153334	0.0129295	0.0168433	0.0193484	0.0173125	0.0428905	0.0280716	0.0422504	0.0519663	0.0440206	0.0938761
frère	0.036545	0.0339502	0.0538872	0.0381587	0.0227616	0.0202491	0.0226802	0.0195629	0.0177452	0.0238282	0.0223675	0.0164611	0.0185943	0.0173664	0.0166411	0.0173373	0.0245873	0.0277499	0.0314944	0.0332626	0.0379172	0.0428093	0.0475777	0.0602597	0.0441979	0.0465684	0.0278171	0.00848892	0.0123815	0.00803826	0.00636225	0.0095974	0.00565729	0.00921356	0.0134621	0.00968234	0.0947388
</S>	0.0738234	0.0617872	0.0575649	0.0472287	0.0286164	0.0173781	0.0213824	0.0186706	0.0142227	0.00754663	0.00734105	0.00605887	0.00707203	0.00526704	0.00563459	0.0067733	0.00673522	0.0113693	0.0119339	0.0191849	0.0320737	0.036512	0.0296765	0.0327543	0.0397279	0.0485969	0.0434045	0.0300631	0.033697	0.0284137	0.0282406	0.0209771	0.0127214	0.0242503	0.0252307	0.028131	0.069938
