 	a	y	ú	r	u	á	m	i	d	z	w	á	o	b	a	n	d	á	p	ó	n	d	á	y	ó	p	f	u	n	y	ε	</S>
les	0.149268	0.113735	0.100582	0.00963508	0.00496742	0.00376851	0.00385362	0.0273271	0.028353	0.0199108	0.0506826	0.0433613	0.0349191	0.0346769	0.0346362	0.0274067	0.0278215	0.0232554	0.0226274	0.0215917	0.0176305	0.0224033	0.0293671	0.0214351	0.0224967	0.0233958	0.020462	0.01155	0.0118012	0.0105377	0.0124956	0.0140454
femmes	0.0243258	0.0284534	0.0441389	0.0923628	0.159164	0.132145	0.103307	0.0449237	0.0337051	0.0312171	0.021337	0.0112963	0.0136782	0.0129159	0.0364703	0.0392784	0.0153693	0.0117464	0.0120866	0.01451	0.00848472	0.0118962	0.0140377	0.00915713	0.016742	0.013875	0.00999499	0.00735672	0.00900578	0.0060179	0.00669483	0.00430567
sont	0.0127339	0.00762349	0.0065215	0.0108219	0.0163108	0.0341666	0.0329815	0.0431741	0.0289435	0.0286621	0.0363349	0.0266938	0.0623405	0.0775938	0.0820057	0.111036	0.0638983	0.0340565	0.0271814	0.0253603	0.0349084	0.0250936	0.0268195	0.0229971	0.022462	0.0215256	0.0233002	0.0128054	0.0108411	0.00744862	0.011492	0.011866
parties	0.0059164	0.0125757	0.0131419	0.0175664	0.022988	0.0538903	0.0574645	0.0724526	0.0782782	0.045727	0.0431243	0.0425537	0.046704	0.0348807	0.0269951	0.0498836	0.0425901	0.0408057	0.0285424	0.0304062	0.0542002	0.0337419	0.0162232	0.0133244	0.0190597	0.017738	0.0151172	0.0110861	0.0107057	0.00973645	0.0120347	0.0205456
occuper	0.0304662	0.027705	0.0266856	0.027759	0.0273043	0.031122	0.0292342	0.0205966	0.0183392	0.0332084	0.032032	0.0213007	0.0190867	0.0203796	0.0155452	0.0190507	0.0135785	0.0175471	0.0248856	0.0256448	0.0133479	0.0210843	0.0239688	0.0324405	0.0270105	0.0301261	0.0338598	0.0469302	0.0492625	0.056905	0.0683537	0.115239
les	0.0438009	0.0287963	0.030693	0.0240803	0.0173172	0.0212383	0.00956311	0.00866104	0.009576	0.013526	0.0234216	0.0131257	0.0190786	0.0153833	0.0201249	0.0247134	0.0239784	0.0163377	0.0218453	0.0257125	0.0285559	0.0227762	0.0202837	0.0322901	0.0236767	0.0294909	0.0371171	0.057057	0.0630199	0.0650977	0.0667971	0.142864
espaces	0.0167717	0.0146254	0.0242725	0.0249968	0.0275518	0.0317095	0.0263329	0.0325656	0.0291957	0.0282384	0.0261492	0.0277481	0.0310372	0.0327305	0.0342063	0.0359127	0.0318452	0.0436552	0.0273657	0.0270082	0.0196179	0.0305865	0.028509	0.0278725	0.0276117	0.0284177	0.0306834	0.0361824	0.0378248	0.0429816	0.0464124	0.0693814
favorables	0.0158485	0.0172937	0.0285993	0.0296576	0.0288002	0.0160421	0.0167892	0.0130117	0.0114491	0.0102899	0.00671933	0.0111379	0.0122702	0.010734	0.0164661	0.01396	0.0196675	0.0346378	0.0483596	0.0252167	0.0113308	0.0267344	0.0559205	0.0402554	0.0355559	0.0283837	0.0441375	0.0410843	0.0512709	0.0689632	0.0937527	0.11566
à	0.0185822	0.0169794	0.0156915	0.0166112	0.0194355	0.0165604	0.0103773	0.0123689	0.00871466	0.012144	0.0112261	0.00727228	0.0137359	0.008316	0.0142167	0.0141036	0.0318999	0.0387135	0.0312859	0.0382117	0.0292471	0.0347821	0.0312317	0.0342991	0.0257467	0.0319233	0.0321819	0.0484197	0.0606698	0.0696731	0.0880677	0.157311
la	0.0212241	0.0207599	0.0290646	0.0248228	0.0212997	0.00840931	0.00646134	0.00543935	0.00565127	0.00616952	0.00650279	0.00569751	0.00874563	0.00721071	0.0149205	0.0178647	0.0183034	0.0215777	0.0385728	0.0271582	0.0321464	0.025887	0.0482305	0.0438693	0.0452992	0.0365391	0.053793	0.0487172	0.0641457	0.0840066	0.0927244	0.108786
culture	0.00918348	0.00929418	0.0108224	0.0076105	0.00588823	0.00459666	0.00271697	0.00291377	0.00267803	0.00251042	0.00477768	0.00420812	0.00613281	0.0045628	0.0115748	0.0103682	0.012215	0.0209134	0.0250447	0.0197963	0.00964365	0.0204879	0.0450848	0.041162	0.042245	0.0432025	0.0526739	0.0452003	0.0724019	0.121985	0.137065	0.191039
du	0.0177118	0.0186021	0.0435531	0.0438423	0.0331548	0.0500122	0.0335422	0.0284398	0.0294265	0.02832	0.0153165	0.0185534	0.0197179	0.0172325	0.0178273	0.0182592	0.0276007	0.0277843	0.0355581	0.0314443	0.0352095	0.0283954	0.029811	0.0292836	0.0201975	0.0201326	0.0263856	0.0268257	0.0297971	0.0353052	0.0491691	0.113589
