 	e	t	o	n	g	o	y	á	m	b	í	a	w	á	á	é	b	v	e	y	é	e	y	í	á	e	b	o	l	o	o	</S>
là	0.0104785	0.0169164	0.0163068	0.0158042	0.0243419	0.028905	0.0426	0.039924	0.0462277	0.0526242	0.0425961	0.0382058	0.0539125	0.0500636	0.020894	0.0260896	0.0202042	0.0209702	0.0310352	0.0302554	0.022795	0.0314571	0.0280637	0.0343749	0.0352722	0.0410287	0.0303142	0.0328262	0.0259397	0.0317849	0.0355135	0.0222746
où	0.175929	0.0676775	0.0408956	0.027605	0.0323276	0.023833	0.03259	0.0262949	0.018686	0.0373828	0.0398201	0.0455198	0.102353	0.084555	0.0313605	0.0374523	0.0186405	0.0154281	0.00672425	0.00660786	0.00977779	0.015453	0.00686738	0.00668813	0.00913212	0.0130944	0.00984651	0.00815569	0.0103391	0.0100349	0.0178212	0.011107
tombe	0.118352	0.080834	0.0415169	0.0285726	0.0281619	0.0179629	0.0233609	0.0127448	0.0143243	0.0135961	0.00888172	0.00903821	0.0148572	0.0217518	0.0207241	0.051679	0.0417371	0.0274658	0.0233812	0.0270369	0.0201838	0.0253764	0.0232348	0.0274613	0.0278901	0.0381185	0.0332617	0.0334412	0.0359235	0.0358135	0.0376148	0.0357007
un	0.0280067	0.0267611	0.0240974	0.037475	0.0306974	0.0353242	0.0298551	0.0189221	0.0219671	0.0228881	0.0152101	0.0128215	0.0156928	0.0371412	0.0530854	0.113211	0.0813249	0.0596858	0.0390629	0.0294013	0.0268534	0.0265117	0.0243882	0.0232502	0.0247674	0.025535	0.0177874	0.01748	0.0222308	0.0190212	0.0193101	0.0202332
régime	0.0262453	0.0304864	0.0357461	0.0460042	0.0389716	0.0653996	0.0573351	0.0464961	0.0395815	0.045461	0.0320745	0.0409559	0.0266244	0.0225668	0.015029	0.0392181	0.0394523	0.053194	0.0330413	0.0273892	0.0288395	0.034656	0.0160615	0.011696	0.0148964	0.00817795	0.00671672	0.00772461	0.0100561	0.0136952	0.0219703	0.064237
de	0.0387201	0.0390994	0.0440092	0.0704484	0.0864207	0.0853397	0.0822893	0.0558926	0.0601714	0.0447192	0.0323326	0.0333897	0.0239898	0.0195993	0.0170745	0.031872	0.0279839	0.0254031	0.0188405	0.0185532	0.0130854	0.00677437	0.00580697	0.00497324	0.00647683	0.00645384	0.00552995	0.00472513	0.0057012	0.00649918	0.0125542	0.0652711
noix	0.0512614	0.0542469	0.0563017	0.0573787	0.058032	0.05167	0.0511331	0.0336085	0.0276262	0.0166985	0.0123814	0.0118202	0.00751568	0.00564707	0.0056221	0.019123	0.0151065	0.0397582	0.0308194	0.0207596	0.018043	0.0192219	0.0149559	0.0180278	0.0170042	0.0157575	0.0182315	0.0160666	0.0235328	0.0340398	0.0497319	0.128877
de	0.113287	0.085004	0.0810915	0.0996409	0.0988263	0.0683957	0.0499609	0.0271299	0.0339602	0.0253784	0.0198307	0.0172071	0.00967663	0.00739857	0.00653761	0.0194601	0.0104887	0.031215	0.0197137	0.0110818	0.00681271	0.0068274	0.00319305	0.00527033	0.00608703	0.00756403	0.0037517	0.00550502	0.00746397	0.00895801	0.0207641	0.0825174
palme	0.0615543	0.0360997	0.0279652	0.0288595	0.0245563	0.021875	0.0237208	0.0223734	0.0215847	0.0174536	0.0153989	0.0178761	0.0106011	0.00804153	0.00524728	0.0170228	0.0144446	0.0335724	0.030238	0.0303359	0.0405276	0.0388232	0.0350969	0.0345312	0.036547	0.032556	0.0320119	0.0314379	0.0347617	0.0583446	0.0650194	0.0915216
il	0.141777	0.0477642	0.032339	0.0253542	0.0219099	0.0254175	0.0227936	0.0156331	0.0236619	0.0211042	0.0135141	0.00822704	0.00546643	0.00466682	0.00510715	0.00958151	0.0111659	0.0471085	0.0300315	0.0317791	0.0292691	0.0293806	0.0283579	0.0331772	0.0324584	0.0210739	0.024674	0.0200122	0.024708	0.0400149	0.0518338	0.120637
