 	m	o	r	o	w	ó	b	ó	l	á	a	k	ώ	ώ	i	b	ε	ε	l	á	m	b	á	á	</S>
cet	0.0137857	0.0161721	0.0173653	0.0152078	0.0151383	0.0230341	0.0135625	0.0213728	0.0227073	0.0376332	0.0567194	0.0743507	0.0320361	0.0740349	0.0516168	0.0522523	0.0428465	0.0344249	0.046719	0.0482416	0.0508187	0.0587954	0.0539711	0.0778584	0.049335
homme	0.129366	0.0913379	0.157256	0.159929	0.141509	0.0573461	0.0325345	0.019651	0.0159958	0.0210966	0.0235591	0.0268938	0.0180487	0.0379098	0.025255	0.0165978	0.0112066	0.00761126	0.00249537	0.0014511	0.000718938	0.000782897	0.000635852	0.000490064	0.000321418
traîne	0.0115363	0.011527	0.0225996	0.0209548	0.0484235	0.065384	0.1623	0.0945077	0.09869	0.0438274	0.0726188	0.0268606	0.0377727	0.0478345	0.0709874	0.0460194	0.031504	0.0287062	0.0183947	0.00791225	0.00707967	0.00731412	0.00567012	0.00686714	0.00470821
derrière	0.0573708	0.0546452	0.0462105	0.0468098	0.0545034	0.0368763	0.0378959	0.053737	0.0348516	0.0425089	0.0334521	0.0292432	0.0177298	0.0418549	0.0315877	0.0243995	0.0382733	0.0407404	0.0292293	0.0303835	0.0393424	0.0500743	0.0382499	0.0500289	0.0400013
lui	0.226831	0.20193	0.101708	0.0311881	0.0247445	0.0179582	0.0203751	0.020894	0.0212147	0.0194332	0.0183893	0.0142189	0.0119848	0.0110344	0.0114583	0.0100708	0.0103992	0.0110585	0.0120108	0.01357	0.0178453	0.0242007	0.0378126	0.0484261	0.0612439
un	0.0527076	0.0470716	0.0350114	0.0322191	0.0246191	0.0383736	0.0540554	0.0572625	0.0464792	0.048034	0.0403106	0.0301251	0.0144315	0.017857	0.0168015	0.0154938	0.0174412	0.020059	0.0190578	0.0304513	0.0385081	0.048606	0.0696397	0.0774214	0.107963
lot	0.029158	0.024846	0.0196633	0.0193925	0.0173384	0.0214233	0.0279029	0.0194102	0.0143687	0.0138176	0.0147787	0.0161261	0.0110626	0.0245568	0.0173473	0.029148	0.0419367	0.0609441	0.0466162	0.0568641	0.0668151	0.071345	0.0803598	0.115478	0.139301
de	0.0358692	0.0296431	0.0215357	0.0153773	0.0230315	0.0279535	0.0211344	0.0162222	0.00956773	0.00889168	0.0106851	0.0084276	0.00455687	0.0149486	0.0032415	0.00525876	0.00953223	0.0198488	0.0144051	0.0178701	0.0484525	0.0795359	0.13866	0.167904	0.247447
bambous	0.0989147	0.0671996	0.045156	0.0368586	0.0246498	0.00905179	0.00713479	0.00459648	0.0048536	0.00447042	0.00375161	0.00524076	0.00544936	0.00898607	0.00830765	0.0129155	0.0153289	0.0413696	0.0497252	0.0599399	0.0808849	0.0908715	0.100787	0.0988477	0.114709
</S>	0.0857124	0.0835007	0.0620852	0.0461472	0.0361663	0.0112216	0.0104952	0.00884235	0.00666318	0.00562961	0.00479503	0.00544447	0.00414069	0.00959378	0.00648344	0.00720857	0.0108072	0.0268766	0.0284398	0.0310979	0.0462369	0.0781293	0.0941979	0.121387	0.168698
