 	a	l	ω	i	m	á	á	p	έ	w	a	b	í	s	í	á	d	z	e	p	í	</S>
le	0.0686614	0.0273448	0.0128934	0.00978384	0.0190857	0.0409459	0.0512088	0.0584111	0.0477788	0.0625758	0.0404375	0.0488373	0.0643227	0.0622024	0.0610396	0.0535158	0.0828094	0.0475964	0.0454224	0.043526	0.0317289	0.019872
vin	0.0417622	0.0804579	0.173993	0.25841	0.21379	0.0506904	0.020009	0.0393954	0.0170502	0.0335825	0.00620161	0.00970151	0.0133463	0.00404271	0.00536554	0.0091281	0.00684262	0.00477424	0.00433006	0.00290715	0.00231077	0.00190897
de	0.0155749	0.0198866	0.0213357	0.0422694	0.0689723	0.0864785	0.105011	0.0767711	0.0685111	0.051012	0.0441673	0.0476497	0.0516602	0.0414997	0.0322143	0.0320061	0.0291685	0.020486	0.0431457	0.0288839	0.0357684	0.0375273
palme	0.0155142	0.0406169	0.0578489	0.108507	0.102799	0.0426546	0.041098	0.0570332	0.0527114	0.063412	0.0350454	0.0215947	0.0131231	0.0251645	0.0154806	0.0363096	0.0182703	0.0148454	0.0353054	0.026088	0.0568924	0.119686
qu'	0.0330315	0.0277201	0.0405105	0.0486404	0.046463	0.0581978	0.0736415	0.05846	0.0750648	0.0555032	0.0475502	0.0184059	0.0116275	0.0277801	0.0267879	0.0388885	0.0281747	0.0340275	0.0371761	0.0333609	0.0736608	0.105327
il	0.0423445	0.0437519	0.0549393	0.0681223	0.061076	0.0589034	0.0625438	0.0460946	0.0492076	0.0613935	0.044509	0.0157344	0.00703278	0.00813045	0.0157237	0.0222178	0.0170265	0.0301767	0.0522444	0.0416517	0.0881718	0.109004
nous	0.0284781	0.0261083	0.0351884	0.0286244	0.0272796	0.0248156	0.0243711	0.0290278	0.0254793	0.033662	0.0292276	0.0258468	0.00844293	0.0369785	0.0914914	0.0427968	0.0557833	0.0513116	0.0590596	0.065081	0.104993	0.145953
a	0.0684224	0.0649808	0.0685203	0.064541	0.051558	0.0268661	0.0152214	0.0161641	0.0178361	0.0413416	0.0265016	0.0154056	0.00846921	0.0172321	0.0319635	0.0191294	0.0351761	0.0325542	0.0608547	0.0631274	0.0949851	0.159149
offert	0.0856159	0.0618798	0.0592321	0.0628006	0.0305912	0.0143495	0.00751191	0.00799771	0.0108479	0.0146179	0.0134428	0.0118907	0.00443957	0.0145124	0.0254958	0.015284	0.0305554	0.0314799	0.0530023	0.0835034	0.144496	0.216453
date	0.0743466	0.0557755	0.0526558	0.0444325	0.0235731	0.0123951	0.00783287	0.00735876	0.0120104	0.0150654	0.0157235	0.0144018	0.00356309	0.0168372	0.031864	0.0173789	0.040417	0.0396038	0.0492168	0.102746	0.157136	0.205666
de	0.0774018	0.0671221	0.0979322	0.0775954	0.0575111	0.0216739	0.0122588	0.0161822	0.0181868	0.012805	0.0129733	0.00767871	0.0058005	0.0284664	0.0221349	0.0315466	0.0270884	0.0344462	0.0440088	0.061695	0.110742	0.15475
plus	0.0785091	0.0647623	0.0688884	0.0361085	0.0159443	0.00856602	0.00642911	0.00386284	0.00463502	0.00575591	0.0054643	0.005469	0.00327929	0.010882	0.0170933	0.00767596	0.0350487	0.0451632	0.057228	0.133613	0.166941	0.21868
d'	0.0647345	0.0516788	0.0499445	0.0481658	0.0244995	0.0098266	0.00504968	0.00566961	0.0086647	0.00938228	0.00852724	0.0109593	0.0058623	0.0208332	0.034782	0.0161496	0.0483153	0.0500895	0.0832846	0.110891	0.150569	0.182121
un	0.064083	0.0609188	0.0667237	0.0511045	0.0208494	0.0083417	0.00594359	0.0053706	0.00713145	0.00777123	0.00885007	0.0098976	0.00407111	0.0104733	0.0219252	0.00891972	0.0373006	0.0499741	0.0642872	0.118397	0.148451	0.219215
jour	0.0756586	0.0833361	0.0999476	0.0559778	0.0249157	0.00922122	0.00665485	0.0055615	0.00660619	0.00782891	0.00582681	0.00512803	0.00293449	0.0065915	0.0144089	0.00768289	0.0194415	0.0326501	0.03894	0.0777313	0.120024	0.292932
</S>	0.0590884	0.0633743	0.0832295	0.0788244	0.0401589	0.0198397	0.0184509	0.0176713	0.0260496	0.0286448	0.0330083	0.0293031	0.00460454	0.0211278	0.0313834	0.0103274	0.0415914	0.0550039	0.0442537	0.0694185	0.0910181	0.133628
