 	n	d	é	e	y	á	s	í	m	b	ε	w	á	r	e	é	m	i	b	o	n	g	a	</S>
il	0.0214606	0.0287225	0.0311742	0.0234103	0.0273354	0.0331583	0.0444388	0.0616055	0.0781664	0.0543477	0.0582515	0.0573664	0.0576498	0.0680354	0.0570746	0.0408655	0.0328838	0.0377105	0.0333631	0.0349705	0.0378042	0.0274853	0.03111	0.0216097
paraît	0.119842	0.0676964	0.0250307	0.0239226	0.0251371	0.0210844	0.0137258	0.0213352	0.0494391	0.0555793	0.0587664	0.0921804	0.143239	0.0948464	0.0591883	0.0439296	0.0159816	0.00888374	0.0117654	0.00737699	0.00932786	0.00727552	0.0110967	0.0133497
que	0.0664803	0.0542414	0.0347922	0.0182834	0.0159054	0.0228637	0.0490189	0.0851678	0.0901049	0.0708831	0.0840003	0.040728	0.0616166	0.0721674	0.055278	0.0578297	0.0349457	0.0228659	0.0135941	0.0140516	0.00870257	0.00772901	0.00857565	0.0101741
la	0.0159026	0.0184092	0.0154096	0.010947	0.00987074	0.0144362	0.0142907	0.0398056	0.0513578	0.0530134	0.0418487	0.0504575	0.0536824	0.0521889	0.102185	0.0979632	0.114961	0.0583816	0.0409914	0.0312573	0.0241959	0.0165911	0.0295098	0.0423434
maison	0.0154275	0.0175624	0.029328	0.0478476	0.0576166	0.0421596	0.0324224	0.0320737	0.0333209	0.0235569	0.0428937	0.0327585	0.0498304	0.0572231	0.0700476	0.0672178	0.0837322	0.0497928	0.0415632	0.0316486	0.0168235	0.0304639	0.0313497	0.0633393
d'	0.053828	0.0425541	0.0434601	0.0748646	0.125212	0.0746966	0.0379994	0.025026	0.0237363	0.0175254	0.0229542	0.0232634	0.0289745	0.0323109	0.0214644	0.0178014	0.029121	0.0228057	0.0287912	0.0259361	0.024183	0.0349667	0.0477086	0.120816
un	0.0817191	0.0568295	0.0445671	0.0546068	0.0769307	0.0526775	0.0312404	0.0178405	0.0201173	0.0161125	0.0150684	0.018892	0.0314601	0.0375415	0.0318289	0.0179984	0.0221072	0.0216773	0.0260008	0.0232435	0.0399623	0.0477166	0.0786464	0.135215
tel	0.0565294	0.0401574	0.037647	0.0459442	0.0557453	0.0414614	0.0361278	0.0359265	0.0432935	0.0382249	0.0516273	0.0516723	0.0331536	0.0257359	0.0309553	0.0279179	0.0160445	0.0143017	0.0189509	0.0204537	0.04325	0.0296804	0.0806245	0.124575
est	0.083225	0.0427206	0.0329676	0.0349026	0.0381292	0.0348748	0.035758	0.0511469	0.0680615	0.0517311	0.0434886	0.048441	0.0814304	0.0863298	0.0543526	0.0212731	0.0104201	0.0152871	0.0128356	0.0222827	0.0299016	0.0226467	0.0381353	0.0396582
incendiée	0.100374	0.0528055	0.0578934	0.0829162	0.0789294	0.035241	0.0191348	0.0173987	0.0186517	0.0142155	0.0126635	0.0128733	0.0223427	0.0320196	0.0402439	0.0404539	0.0220114	0.0196583	0.0242241	0.0231556	0.0528644	0.0375147	0.081434	0.100981
</S>	0.069475	0.0372209	0.0338797	0.036118	0.0411352	0.0344453	0.0327229	0.0233697	0.0204649	0.0194669	0.0113921	0.00671315	0.011466	0.0148003	0.0189799	0.0303651	0.0464179	0.0495964	0.0668913	0.0586511	0.0597603	0.0775447	0.0791923	0.119931
