 	o	k	y	ε	s	í	m	ó	ó	k	a	n	g	í	n	ω	ó	m	i	k	ú	b	h	a	</S>
l'	0.0108058	0.0121298	0.0158233	0.0160865	0.015139	0.0183657	0.0385487	0.0358202	0.0422768	0.0490199	0.0510893	0.0579185	0.0917953	0.0897886	0.0873203	0.0354872	0.0177109	0.0184912	0.0212462	0.0366629	0.0492864	0.0571828	0.0575569	0.0409546	0.0334931
eau	0.025213	0.0663662	0.103439	0.165251	0.217919	0.0654955	0.0637255	0.014551	0.0065395	0.00424687	0.00443737	0.00504688	0.00488943	0.0204394	0.0334598	0.0391216	0.024604	0.0437277	0.0268661	0.0232102	0.00958882	0.0112378	0.0147173	0.00277743	0.00313021
du	0.0896037	0.0714107	0.0625778	0.0253656	0.0177889	0.0177929	0.0258842	0.0310754	0.0353033	0.0457308	0.036175	0.0403779	0.0600416	0.0738196	0.0513196	0.0583835	0.0494196	0.0540353	0.0444411	0.0301733	0.0150697	0.0160573	0.0220409	0.015708	0.0104044
ruisseau	0.03757	0.0521693	0.0451086	0.0555732	0.0654798	0.0697294	0.0636623	0.0641505	0.0724714	0.06603	0.0639238	0.0665605	0.02616	0.0236442	0.018629	0.0241103	0.0212278	0.0177849	0.0186081	0.0208633	0.0167503	0.0124549	0.0160789	0.0198509	0.0414086
a	0.0558321	0.0396032	0.0312816	0.0300973	0.0380023	0.0426622	0.050395	0.0485349	0.0500266	0.0396038	0.0346367	0.0333987	0.0196683	0.025047	0.0294977	0.0471908	0.0628169	0.0468055	0.0504918	0.035525	0.0291427	0.0267637	0.0299772	0.0344498	0.0685494
troué	0.115433	0.0828273	0.0705924	0.0524581	0.0527064	0.0511704	0.0495941	0.0408484	0.0371976	0.0489747	0.03337	0.0284263	0.0134538	0.0142878	0.0104505	0.0193965	0.0399434	0.0384737	0.0383085	0.0249603	0.0200861	0.0207895	0.023096	0.0223064	0.0508484
le	0.0529936	0.0682163	0.0886669	0.066996	0.0443641	0.0438528	0.0371474	0.051173	0.0619738	0.0575025	0.0426286	0.0246733	0.0123081	0.00776232	0.00732982	0.0146273	0.0389691	0.0299774	0.0318329	0.0281064	0.0350595	0.0229784	0.0286612	0.0459838	0.0562155
barrage	0.137619	0.0650324	0.0331544	0.0157098	0.0135068	0.00509245	0.00987742	0.00812464	0.00765231	0.00618292	0.0049115	0.00578421	0.00888794	0.0254501	0.021942	0.030437	0.0690421	0.0520664	0.0439505	0.0517693	0.0555588	0.0522226	0.0387989	0.0610262	0.176201
que	0.118986	0.0981428	0.0738154	0.0378213	0.0262449	0.0240089	0.0258806	0.0381558	0.0470767	0.0348179	0.0292052	0.0341513	0.0154614	0.019397	0.00729423	0.00743998	0.0373445	0.0219043	0.0264807	0.025112	0.0330142	0.0251488	0.0238644	0.0401883	0.129044
tu	0.211073	0.117803	0.068243	0.028585	0.0232402	0.014223	0.0119628	0.014828	0.0118379	0.009165	0.00727235	0.00832413	0.00401736	0.0049151	0.00892165	0.0105082	0.0334761	0.0291065	0.0261986	0.0206333	0.033143	0.0209443	0.031448	0.0576485	0.192482
as	0.149415	0.122616	0.06708	0.0311465	0.017191	0.0107152	0.0111633	0.0161494	0.0133376	0.010788	0.00859355	0.00686492	0.0038045	0.00557959	0.0133396	0.0216322	0.0417614	0.0259111	0.0229436	0.0203876	0.0294113	0.0196921	0.0261447	0.0624529	0.241879
construit	0.18299	0.0682028	0.032099	0.0196468	0.0143839	0.0107373	0.00722214	0.00768151	0.00776298	0.00817897	0.00915614	0.0125213	0.0128823	0.016476	0.0219903	0.0280985	0.0422879	0.03318	0.0361747	0.0300719	0.0392191	0.0371028	0.043881	0.077691	0.200362
</S>	0.198053	0.0940321	0.0549475	0.0263558	0.0160564	0.012226	0.0135561	0.016578	0.013207	0.0106755	0.0105518	0.0124857	0.00939231	0.0208677	0.0211805	0.0214236	0.0275433	0.0251804	0.0276133	0.0259669	0.0397441	0.0300315	0.0593998	0.0793781	0.133553
