 	a	s	e	r	i	l	a	n	g	á	w	á	r	e	b	á	a	á	b	o	m	i	n	g	u	b	h	u	ó	o	t	s	ε	n	y	έ	ε	</S>
on	0.0833006	0.0322005	0.0221566	0.032947	0.0119927	0.025687	0.0290462	0.0328137	0.0403488	0.0456469	0.0268958	0.0420989	0.0460852	0.038239	0.0473393	0.0474253	0.0374984	0.0373644	0.0269537	0.0245956	0.0212903	0.0201363	0.020506	0.0240583	0.02503	0.0211013	0.0216548	0.0166544	0.0134607	0.00935186	0.00930545	0.00842675	0.00848629	0.00820492	0.00908483	0.00800495	0.00777351	0.016834
m'	0.0150803	0.0279643	0.0351892	0.0276673	0.0500752	0.0298793	0.0358002	0.0225645	0.0305029	0.0218253	0.0153951	0.0175983	0.0405825	0.0128772	0.0101248	0.0112023	0.0251885	0.0332993	0.0570811	0.0744481	0.0672465	0.0409323	0.0394365	0.0297606	0.0317469	0.0232862	0.0160654	0.0142751	0.0124575	0.00945612	0.018319	0.0241696	0.0267345	0.0203005	0.01258	0.00612313	0.00588459	0.00687988
a	0.0231376	0.0183517	0.0127119	0.00941435	0.0149258	0.0145311	0.0255372	0.0330609	0.0349956	0.018497	0.0171041	0.0275597	0.054026	0.0513121	0.0911886	0.0722034	0.102088	0.0707379	0.0596907	0.0279414	0.0356779	0.0282321	0.0235877	0.0135475	0.0127755	0.0122441	0.0091841	0.00801914	0.00864013	0.00827854	0.00986909	0.00860372	0.00639563	0.00707268	0.00787682	0.00617833	0.00694757	0.00785423
informé	0.0244533	0.028268	0.0365309	0.0267866	0.0533806	0.0350368	0.0439276	0.0372829	0.0300047	0.0258687	0.020072	0.0196741	0.0425209	0.0444215	0.0356628	0.0246768	0.0372835	0.0293459	0.0293859	0.0279458	0.0243632	0.0229459	0.0219314	0.0215978	0.0147714	0.0147942	0.0168427	0.0228172	0.0201943	0.0154496	0.0163314	0.0171887	0.0162801	0.0193745	0.0129252	0.0145773	0.0266064	0.0284794
qu'	0.0152965	0.0342746	0.0229533	0.0185607	0.0159234	0.0172147	0.023678	0.0304186	0.0531423	0.0293669	0.0146287	0.014423	0.0273847	0.0369608	0.0367081	0.0334825	0.0337053	0.0359634	0.0323751	0.0335165	0.0167744	0.0185756	0.0144121	0.0198775	0.0163401	0.0139134	0.0236835	0.0375563	0.028088	0.0268826	0.0268215	0.0286718	0.0218069	0.0215126	0.0192159	0.0246388	0.0291543	0.0520977
ils	0.0132521	0.0140876	0.0185855	0.0234517	0.0258319	0.026755	0.0275614	0.0293754	0.0339541	0.0260836	0.0268119	0.0276657	0.025199	0.0257891	0.0291773	0.0365967	0.0309143	0.0341735	0.0355576	0.038308	0.0341309	0.0396814	0.0296582	0.0269225	0.0248961	0.0155272	0.0174362	0.0238715	0.0189263	0.0206668	0.0186048	0.0162351	0.0147893	0.0144571	0.0159682	0.0180109	0.0258574	0.0752287
ont	0.0235798	0.0194253	0.0239655	0.0222799	0.0239745	0.0214168	0.0130558	0.0158468	0.0162381	0.00977307	0.0100283	0.0109905	0.0134349	0.0190861	0.0181319	0.0165147	0.0203896	0.0178226	0.0330821	0.0522674	0.0417755	0.034998	0.0277215	0.0353763	0.0338181	0.0233582	0.0180745	0.0233138	0.0166121	0.0189978	0.0256168	0.0254314	0.031725	0.0262942	0.0301828	0.0416576	0.0566081	0.0871345
abattu	0.0260925	0.0173022	0.0217934	0.0216558	0.0221228	0.0178734	0.00885762	0.00996883	0.0153817	0.00759334	0.00645964	0.00641672	0.00753741	0.0141182	0.0153956	0.011847	0.012688	0.0100961	0.014617	0.0267131	0.0210565	0.0183653	0.0180084	0.0295696	0.0287861	0.0276526	0.0347888	0.0373174	0.0343956	0.0378514	0.0482814	0.043116	0.0492691	0.0489447	0.0496212	0.0561132	0.0555324	0.0668001
un	0.0295194	0.024016	0.0262428	0.0259794	0.0273774	0.0250112	0.0124566	0.0123846	0.0163533	0.00667734	0.0054892	0.00524594	0.00791107	0.0209027	0.0204937	0.0212149	0.0202125	0.0206487	0.0231048	0.0262316	0.0251297	0.0168361	0.0163444	0.0221542	0.0220057	0.0171009	0.0234463	0.0314251	0.0264861	0.026518	0.0329767	0.0424503	0.0451017	0.0411059	0.0446314	0.0517901	0.0567828	0.0802414
hippopotame	0.0332308	0.0232936	0.0247977	0.0176169	0.0111877	0.00888073	0.00840554	0.010731	0.00897484	0.00699021	0.00471141	0.00601076	0.0103244	0.0136425	0.0108288	0.0109597	0.0144563	0.0169257	0.0193704	0.0279411	0.0363976	0.0351343	0.0366426	0.0315849	0.0418249	0.0331764	0.0275408	0.0261683	0.0193979	0.0211676	0.0276256	0.0319106	0.0372546	0.0427926	0.0454137	0.0557829	0.0751594	0.0857453
