 	n	g	á	i	d	í	l	o	l	ε	n	d	i	m	á	b	a	r	e	b	á	p	o	o	y	é	b	á	á	t	ó	n	í	o	b	é	r	á	n	g	á	o	p	i	t	á	á	l	e	é	d	z	e	n	g	á	l	i	k	ω	n	í	</S>
je	0.13636	0.21558	0.213966	0.0873257	0.0328842	0.013174	0.00685601	0.0073379	0.00694553	0.00596402	0.00257996	0.00373996	0.0056926	0.00751455	0.00934648	0.00895919	0.00847149	0.0112209	0.0148133	0.0157454	0.00922845	0.00530286	0.00527584	0.00435472	0.00582412	0.00510729	0.00558502	0.00709788	0.00581464	0.00536021	0.00594323	0.0052266	0.00535981	0.00482679	0.00376977	0.00582189	0.00417423	0.0041451	0.00416344	0.00441373	0.00320874	0.00545139	0.00336194	0.00207347	0.00250671	0.00311455	0.00298303	0.00465877	0.00354325	0.0030948	0.00387039	0.00274552	0.00277561	0.00259858	0.00300447	0.00364334	0.00356405	0.0032576	0.00347744	0.0037393	0.00394374	0.00404475	0.00406591
garde	0.0276154	0.00895795	0.0178991	0.0177718	0.00743554	0.0114399	0.0150641	0.0223585	0.0230746	0.0251709	0.0199741	0.0237148	0.0223536	0.0416531	0.0462775	0.0421164	0.0392411	0.0295839	0.0326965	0.03133	0.0289324	0.020725	0.0124951	0.0158671	0.0175034	0.0200705	0.0213302	0.0162599	0.0203948	0.0221589	0.0159848	0.0208004	0.0174969	0.0262406	0.0123341	0.0175841	0.0189298	0.0139414	0.0159758	0.0177725	0.011441	0.0129235	0.00562989	0.00384623	0.00302823	0.00327171	0.00590319	0.00399542	0.00492735	0.00283219	0.00358661	0.00260589	0.00369672	0.00374176	0.0066573	0.00559332	0.00563406	0.00491502	0.0048344	0.00360481	0.00433624	0.00413924	0.0103294
rancune	0.0195047	0.0122756	0.00982762	0.00784038	0.0185713	0.0156169	0.0070107	0.0089591	0.0128606	0.019584	0.0145081	0.0119303	0.0109435	0.0317601	0.0167751	0.0227428	0.0147594	0.0286537	0.0161371	0.0119648	0.0135717	0.0132902	0.0144151	0.0142578	0.0187461	0.0215336	0.0145127	0.0154134	0.0117354	0.017433	0.0227317	0.018247	0.0118339	0.0132763	0.0190481	0.0139223	0.015297	0.0204223	0.021376	0.0211428	0.0212413	0.0198601	0.0203767	0.0141967	0.0207268	0.0198415	0.0224819	0.0218172	0.021745	0.0146051	0.0172277	0.0114739	0.0127788	0.0134564	0.0132992	0.0137845	0.0110695	0.0119253	0.0115511	0.0114165	0.0102146	0.00923652	0.0112417
contre	0.0330414	0.0227053	0.0160069	0.0147838	0.0336577	0.0255671	0.0169534	0.0178329	0.0108515	0.019034	0.0225071	0.0165005	0.0126614	0.0181008	0.019921	0.0180271	0.0229102	0.0233372	0.0248307	0.0247393	0.0233397	0.0180829	0.0136495	0.0182275	0.0133519	0.0208697	0.021625	0.0163272	0.0247127	0.0243134	0.0171813	0.0210699	0.0220455	0.0274379	0.0214675	0.0100787	0.0158674	0.0151806	0.0121231	0.0155192	0.0124061	0.0114532	0.00699605	0.00942538	0.00568061	0.00626413	0.0061098	0.00824843	0.0072048	0.00640123	0.00853338	0.00576819	0.00786103	0.00693881	0.00724943	0.0077475	0.00719697	0.00861298	0.0127546	0.0159535	0.0117403	0.0147769	0.018237
les	0.00439263	0.00234881	0.00243246	0.00239729	0.00616295	0.010448	0.0108047	0.010584	0.00780287	0.00783726	0.00589886	0.00638832	0.00480516	0.00805005	0.00630978	0.00795457	0.00797646	0.011007	0.0107126	0.0100293	0.0117796	0.0111025	0.0109569	0.0122685	0.014874	0.0242	0.0240685	0.0255324	0.0283536	0.0290104	0.0289168	0.0279032	0.0309464	0.0266389	0.0299992	0.0297893	0.0245713	0.0257636	0.0214429	0.0264271	0.0292776	0.0258905	0.0276929	0.0211653	0.014144	0.018184	0.0166535	0.0209408	0.0159677	0.010765	0.0107919	0.00843384	0.00961051	0.00910609	0.0124432	0.013643	0.0127722	0.0111913	0.0103625	0.0140026	0.0190133	0.0266463	0.0324138
habitants	0.00973727	0.00631795	0.00439952	0.0050496	0.0139208	0.014205	0.0116509	0.00961385	0.00858152	0.00823782	0.00938332	0.0128755	0.0132564	0.0158584	0.0097136	0.017613	0.0165145	0.016037	0.0138168	0.0102536	0.0101282	0.0130108	0.0120195	0.0119263	0.0125578	0.0176953	0.0171789	0.0199585	0.0262461	0.0241936	0.0217476	0.0264603	0.0210273	0.0211259	0.0185514	0.0245875	0.0175572	0.0199269	0.0196649	0.0224642	0.0237214	0.0221297	0.0167859	0.0119691	0.00989104	0.0144783	0.0150371	0.0182564	0.0134671	0.00955757	0.0108771	0.00890321	0.0121123	0.0105804	0.0163699	0.0182547	0.019026	0.0143024	0.0141469	0.0149017	0.0193072	0.0310365	0.0498232
de	0.0026563	0.00150765	0.00174328	0.00223471	0.0032224	0.00447562	0.00558787	0.00693406	0.00616622	0.00622885	0.0101675	0.0112175	0.0087556	0.00874098	0.00392056	0.00678591	0.00569858	0.00729745	0.00791976	0.00691336	0.0112009	0.0186231	0.0191334	0.0196369	0.029801	0.026731	0.0283075	0.0275563	0.0255045	0.0278729	0.0261679	0.0231102	0.0327388	0.0196137	0.0315159	0.0309125	0.0225406	0.0222119	0.0204289	0.0223654	0.0224554	0.0178757	0.0257597	0.0240003	0.0171082	0.0194647	0.019099	0.0205273	0.0182661	0.0141349	0.0162848	0.0136055	0.0136948	0.0114475	0.0155592	0.0141581	0.0162894	0.0157404	0.0150245	0.0141184	0.0151326	0.0157943	0.0203116
ce	0.00700079	0.00470322	0.00481436	0.00512964	0.00547707	0.00796196	0.0089918	0.00821069	0.00632338	0.00665975	0.0060198	0.00596764	0.00574512	0.00517279	0.00449601	0.00505061	0.00481263	0.005107	0.00649698	0.00599853	0.00871193	0.00950135	0.0101988	0.0127882	0.0150963	0.0195183	0.0223863	0.019719	0.023937	0.0247297	0.0270025	0.0221887	0.0322968	0.0182504	0.0319649	0.0235544	0.0180905	0.0182542	0.0193754	0.0234488	0.0261589	0.0183758	0.0312784	0.0217183	0.0230805	0.0229174	0.0220591	0.0276417	0.0268169	0.0223279	0.0207093	0.0156461	0.0180803	0.0154628	0.0177856	0.0179827	0.0186148	0.0171525	0.0156411	0.0172479	0.0190762	0.020025	0.0230477
village	0.00754984	0.00722649	0.00662323	0.00695118	0.00646079	0.00596383	0.00402647	0.00345136	0.0028293	0.00356337	0.0044149	0.0042697	0.0036353	0.00343603	0.00321161	0.00424423	0.00402779	0.00615377	0.00703525	0.00657897	0.00842147	0.0100129	0.00927811	0.0115954	0.0121925	0.015018	0.0173229	0.0158636	0.0201091	0.0197075	0.0201912	0.019126	0.0237211	0.0157436	0.0216533	0.0160465	0.0140351	0.0138762	0.0181657	0.0221682	0.0242985	0.0172256	0.0238505	0.0153367	0.0263751	0.0235382	0.0280911	0.0303453	0.03157	0.0360031	0.0264114	0.0228746	0.0224563	0.0214807	0.022687	0.0231548	0.0247896	0.0232334	0.0238085	0.0237002	0.026271	0.0270505	0.0295459
qui	0.0117174	0.0105423	0.00732735	0.00619473	0.00586146	0.00602755	0.005604	0.00519284	0.00401065	0.00446261	0.00339381	0.00299149	0.00232273	0.00280055	0.00252051	0.00274133	0.00287685	0.00406392	0.00476584	0.00435913	0.00695465	0.00838018	0.00923801	0.0105296	0.0106456	0.0159148	0.0180583	0.0161236	0.0218313	0.0264201	0.0231955	0.0309748	0.0359049	0.0366451	0.0406557	0.0312551	0.0356603	0.0330793	0.0301173	0.0296436	0.0219579	0.0228909	0.026179	0.026365	0.0218798	0.0211516	0.0225301	0.0213513	0.0174675	0.0145718	0.0136302	0.0112906	0.0106698	0.00974352	0.0168871	0.0135873	0.0181992	0.0181241	0.0172059	0.0192431	0.0205295	0.0213287	0.022211
