 	w	a	a	k	o	b	h	í	ε	b	á	n	g	a	a	k	a	n	í	m	ó	ω	s	a	b	h	i	m	á	w	a	</S>
elle	0.0440192	0.160409	0.200977	0.106121	0.199032	0.0999395	0.0401843	0.0265305	0.0332731	0.0282045	0.011676	0.0107201	0.00142364	0.00127853	0.00133478	0.00120379	0.00172708	0.00128596	0.000521158	0.00103791	0.00230793	0.00232137	0.00198593	0.00192694	0.00250112	0.00280212	0.00294199	0.00325933	0.00254348	0.00219461	0.00284312	0.00147331
prit	0.021527	0.0225573	0.0161727	0.043129	0.0434991	0.0535148	0.0681139	0.11519	0.128294	0.0814917	0.0904521	0.0479875	0.0359186	0.0446983	0.0152201	0.0133051	0.0114569	0.0103636	0.00388226	0.00465913	0.0114793	0.0071673	0.00905055	0.00388138	0.00822541	0.00981168	0.011633	0.0107811	0.0106627	0.00722799	0.0231777	0.0154689
la	0.0127548	0.0124597	0.0118905	0.0127709	0.0178961	0.0175968	0.0197534	0.0213028	0.0213501	0.0198135	0.0144239	0.0112081	0.0220937	0.03986	0.0169945	0.0220832	0.0269815	0.0463702	0.0822857	0.0763639	0.0575492	0.0965601	0.104738	0.0866123	0.0499126	0.0288119	0.0143737	0.00844533	0.00794835	0.00554006	0.00597502	0.00727999
bague	0.00451965	0.00456595	0.00427447	0.00523819	0.00647969	0.00767269	0.0120798	0.014518	0.0100684	0.0100684	0.00823751	0.00852855	0.0130277	0.0268114	0.0150954	0.0260619	0.0326142	0.048494	0.100188	0.0856253	0.108515	0.0898301	0.113197	0.0749228	0.0425468	0.0278583	0.0136575	0.00705233	0.0228373	0.0183927	0.0122373	0.0247841
et	0.0120388	0.0123483	0.0117522	0.0118237	0.0127215	0.0101017	0.0116793	0.0136101	0.0157894	0.0158129	0.013857	0.0273209	0.020435	0.0297436	0.0220323	0.0373588	0.0411412	0.0401118	0.0384732	0.0432605	0.0427433	0.0791961	0.0666532	0.0688977	0.0557689	0.0430286	0.0245691	0.02389	0.0290192	0.0201496	0.0265029	0.0781692
la	0.0192715	0.0211643	0.0353765	0.0100541	0.0123977	0.0103769	0.0114123	0.0132671	0.0221339	0.022082	0.016068	0.015609	0.0120865	0.0163373	0.0135957	0.0174267	0.0201863	0.0191428	0.0238781	0.0295978	0.033271	0.0520681	0.0599586	0.057423	0.0667931	0.0764985	0.059752	0.051988	0.0412942	0.0389897	0.0408074	0.0596917
mit	0.023897	0.0230017	0.0280881	0.0217928	0.0228003	0.0252974	0.026299	0.0273651	0.0285711	0.0285361	0.0248313	0.0258357	0.0132059	0.0146411	0.0137221	0.012498	0.0169161	0.010071	0.00906965	0.0118087	0.0190096	0.0281118	0.0369398	0.0277074	0.0404369	0.0523102	0.0500615	0.0581326	0.0611124	0.0583743	0.0648388	0.0947166
sur	0.0261211	0.0253237	0.0259228	0.0261585	0.0270663	0.0253194	0.0251583	0.0274193	0.0273739	0.0278108	0.0268272	0.027611	0.0220684	0.0164715	0.0147593	0.0145346	0.0163856	0.0160334	0.0130313	0.0148867	0.0198068	0.0389576	0.0470326	0.050844	0.0493392	0.0493132	0.0447775	0.0516375	0.0468633	0.0484651	0.0460423	0.0606379
son	0.0176661	0.0175262	0.0181158	0.0174812	0.0178969	0.0180799	0.0185934	0.0187989	0.0210488	0.019184	0.0173027	0.0179483	0.0174777	0.0197499	0.01801	0.0211295	0.0221144	0.0178386	0.0113789	0.0133431	0.0167356	0.0391904	0.0434852	0.0564413	0.0517674	0.0634492	0.0566611	0.0633853	0.0604353	0.0615762	0.0609185	0.0652704
doigt	0.0212462	0.0198257	0.015973	0.0226926	0.0231283	0.0247823	0.0258738	0.0232292	0.0218873	0.0213787	0.015977	0.00993949	0.0127769	0.0109585	0.0122035	0.0110516	0.00771057	0.00720242	0.00615248	0.00754252	0.0118275	0.0141172	0.0242172	0.0223133	0.0403018	0.063315	0.0690688	0.0666431	0.0888049	0.0881988	0.0896878	0.0999724
</S>	0.0130551	0.00818716	0.00689429	0.014132	0.00592967	0.0044839	0.00635041	0.00659695	0.00715269	0.00592624	0.00628629	0.00731789	0.0156249	0.0162563	0.0270245	0.035752	0.00916673	0.0119437	0.0153509	0.00895997	0.00828889	0.0151533	0.0194817	0.0314469	0.0445947	0.0548485	0.131971	0.134627	0.090678	0.0690769	0.0835395	0.0839024
