 	l	l	ω	ώ	í	b	ó	m	i	s	i	e	k	o	o	y	á	b	i	k	á	á	n	i	</S>
l'	0.125318	0.079212	0.0193767	0.0144609	0.0104754	0.0203232	0.0273804	0.0198309	0.046171	0.0550645	0.0456173	0.0410055	0.0485332	0.0474335	0.0376576	0.0342432	0.0210629	0.0429598	0.0437201	0.0348142	0.0394601	0.0385032	0.0433074	0.0324736	0.0315957
épine	0.0572918	0.0333088	0.0351546	0.0618803	0.0595024	0.093325	0.0765092	0.0523342	0.075186	0.0560126	0.0571814	0.0200437	0.0166313	0.0182799	0.024502	0.0350559	0.032334	0.0507158	0.0364937	0.0423074	0.0250666	0.0140141	0.0132888	0.00860386	0.00497647
a	0.0262143	0.0157094	0.0270604	0.0153152	0.0120337	0.021429	0.0227167	0.0374416	0.0592075	0.0723262	0.0885241	0.0894582	0.118216	0.0624524	0.036069	0.0207516	0.0367148	0.0360667	0.0430554	0.0473245	0.0330336	0.0214345	0.0225623	0.022226	0.0126568
fait	0.0274777	0.0119182	0.018208	0.0222116	0.0153764	0.0338269	0.0586455	0.0580393	0.0609696	0.0739983	0.0543663	0.0603872	0.0658099	0.0703938	0.0522119	0.0257359	0.0251584	0.0273712	0.0329133	0.0291838	0.029508	0.0270395	0.0305459	0.0306074	0.0580959
éclater	0.0330521	0.0298334	0.0289051	0.0284918	0.0267995	0.0365102	0.0445199	0.0470897	0.0717578	0.0705059	0.0692338	0.0623315	0.0542823	0.0531779	0.0455168	0.0338347	0.02288	0.030876	0.028954	0.0207704	0.0247617	0.0276001	0.0361565	0.0255759	0.0465833
le	0.0206076	0.0284358	0.0248855	0.032607	0.0322664	0.0278873	0.0280696	0.0228622	0.0258064	0.0225918	0.0336637	0.0496457	0.0511283	0.0426726	0.0433579	0.0359597	0.0407155	0.0532231	0.0508666	0.0456669	0.0520857	0.0619821	0.0564804	0.0547362	0.0617961
pneu	0.0101481	0.0153802	0.014222	0.0150855	0.0150859	0.0122905	0.0133053	0.0101487	0.0112984	0.0101857	0.0156293	0.0192493	0.0331543	0.0447197	0.0652737	0.0823723	0.0960802	0.0724587	0.0649548	0.0649391	0.0540743	0.0552853	0.0634636	0.0661863	0.0750088
du	0.0192165	0.0331383	0.028858	0.0338801	0.0388862	0.0354807	0.0410876	0.0280112	0.0343236	0.0247156	0.0329201	0.0289299	0.0270595	0.0219238	0.0246431	0.02738	0.0279115	0.044883	0.0336491	0.0365209	0.0561944	0.0553521	0.0637437	0.0567433	0.144548
vélo	0.040981	0.0357207	0.0329018	0.0333325	0.0300682	0.0148831	0.0117622	0.0122543	0.011689	0.0147506	0.0166185	0.0190151	0.0268131	0.0303684	0.0321424	0.0503494	0.0372815	0.0515307	0.039755	0.041521	0.0698896	0.0732232	0.080018	0.084961	0.10817
</S>	0.0194134	0.0241346	0.0175752	0.0178449	0.0123199	0.00802601	0.00761778	0.00798086	0.00784945	0.00810181	0.0113104	0.0173849	0.023912	0.0266851	0.0371825	0.0396449	0.0433845	0.0426903	0.0317665	0.0432311	0.0709689	0.0964342	0.107466	0.121954	0.15512
