 	o	m	b	ó	n	g	o	m	u	n	á	m	á	a	t	s	ó	s	ó	o	s	ú	s	u	m	á	i	k	ώ	ώ	</S>
l'	0.0131962	0.0111424	0.0116962	0.0117441	0.0141567	0.0288431	0.0230502	0.0453801	0.0340258	0.0319574	0.0314414	0.0432569	0.0486858	0.04703	0.0799031	0.0915131	0.0571395	0.0548094	0.0325614	0.0278639	0.0203751	0.0224044	0.0206417	0.0222631	0.0167214	0.0265709	0.0211124	0.0222614	0.0230363	0.0338758	0.0313406
autre	0.0235267	0.0598392	0.109824	0.167197	0.181528	0.066301	0.122151	0.0492428	0.0495983	0.0392115	0.0182407	0.0138316	0.014818	0.00609439	0.0119446	0.00878383	0.00919802	0.0101534	0.00314774	0.00611671	0.0050246	0.00291946	0.00384609	0.00407366	0.00294607	0.00335932	0.00320429	0.00189301	0.00118915	0.000374232	0.000420998
commerce	0.0428344	0.0291186	0.0247195	0.0357802	0.0443016	0.0377691	0.0666196	0.0474408	0.0591785	0.0460697	0.0450304	0.0364121	0.033045	0.0214331	0.0209072	0.0328065	0.0354146	0.0302736	0.0615056	0.0330682	0.0294335	0.0306802	0.0341389	0.0406477	0.0190424	0.0186045	0.0117444	0.0100852	0.00719358	0.00860026	0.00610092
concerne	0.0249398	0.0493695	0.0513463	0.0492966	0.0488875	0.0571896	0.049123	0.0560593	0.0578799	0.0488682	0.0467054	0.0380027	0.0301277	0.0302436	0.0235107	0.0236422	0.0352222	0.0269338	0.0156452	0.0198338	0.0185803	0.0146883	0.0113758	0.00989019	0.00872794	0.00846448	0.00906221	0.0161795	0.0208561	0.0321337	0.0672142
les	0.0391511	0.0387154	0.0378817	0.0380585	0.0384236	0.0383912	0.0383222	0.0386638	0.040614	0.0416488	0.0458027	0.0401983	0.0287991	0.0243883	0.0265169	0.032654	0.0363914	0.0259093	0.0155786	0.0150986	0.0132471	0.0138389	0.0132867	0.0138621	0.0179074	0.0181705	0.0264481	0.0327369	0.0346699	0.0393452	0.0952799
poulets	0.0345672	0.0344523	0.0301101	0.0309496	0.0283194	0.0373023	0.0299424	0.0366442	0.0292336	0.0241495	0.017739	0.0138492	0.0235418	0.015684	0.01126	0.0112628	0.0150589	0.0165674	0.0214188	0.0289739	0.0304366	0.0385726	0.0415673	0.0421727	0.0475397	0.0437225	0.0482483	0.0477331	0.0492624	0.0445336	0.0751847
et	0.0341449	0.0260351	0.0167875	0.011602	0.0136077	0.0115807	0.0195307	0.0224828	0.0405838	0.0480176	0.0518271	0.0509044	0.037547	0.0347229	0.0181389	0.0180358	0.0307548	0.0243807	0.0348017	0.0381229	0.0347706	0.0393633	0.0371576	0.040019	0.0415556	0.0366861	0.0304751	0.0328634	0.0309054	0.0419304	0.0506646
un	0.0508944	0.0265244	0.0201656	0.0150248	0.0176921	0.0156286	0.0230874	0.02145	0.0287753	0.0310592	0.0327985	0.0273169	0.0500111	0.0354415	0.0193193	0.0166469	0.0236074	0.0287073	0.0297013	0.0427649	0.0313515	0.0277288	0.0206081	0.0186343	0.0251005	0.0225807	0.0282055	0.0329864	0.0421214	0.0816048	0.112461
autre	0.140823	0.0963369	0.0705246	0.0426639	0.0333231	0.0344213	0.0197071	0.0253993	0.0246836	0.0195081	0.0190252	0.0158247	0.0249374	0.0190842	0.0101385	0.00836942	0.0103309	0.00631047	0.00453024	0.0150328	0.0195444	0.0158222	0.0168848	0.0132503	0.011022	0.0208007	0.0213177	0.0273088	0.0358567	0.0414805	0.135738
les	0.0971282	0.0261082	0.01486	0.0145379	0.0114372	0.0113147	0.00977446	0.0107447	0.0129925	0.015228	0.0149213	0.0184477	0.019008	0.0149648	0.00818219	0.00820411	0.0142613	0.0149203	0.0240485	0.0259986	0.0392639	0.0386876	0.038905	0.0379017	0.0312191	0.0505403	0.0356524	0.0363457	0.0708888	0.104933	0.12858
manioc	0.0675767	0.018109	0.0119782	0.0102082	0.00869067	0.00910479	0.00740037	0.0087816	0.0117489	0.0152191	0.0133093	0.0161192	0.0153573	0.0103285	0.00527391	0.0059787	0.0106033	0.0101027	0.0180179	0.0201557	0.0353171	0.03874	0.0427271	0.047821	0.0352865	0.0670453	0.0493397	0.0461112	0.0902795	0.135705	0.117564
</S>	0.131264	0.0374117	0.0197644	0.0108108	0.00635444	0.00604332	0.00522389	0.00765568	0.011338	0.0198234	0.0220336	0.0209046	0.0204818	0.014998	0.00711133	0.00709829	0.0206606	0.0149134	0.0231482	0.0199705	0.0273865	0.0220464	0.0203677	0.0201557	0.0240292	0.0365303	0.0349379	0.0476999	0.0615393	0.101833	0.176465
