 	o	l	ó	m	i	y	a	n	g	á	l	á	a	y	é	b	h	á	o	b	h	í	á	a	k	ó	l	ó	</S>
mon	0.00935046	0.0105632	0.0115158	0.0130864	0.00932247	0.00741206	0.0110126	0.011774	0.0161879	0.026923	0.0327136	0.0346227	0.0474719	0.0483744	0.0509379	0.0458388	0.0359622	0.0358838	0.0313448	0.0324294	0.0740342	0.0780596	0.0658505	0.0615323	0.0464178	0.0539178	0.0332846	0.0389517	0.0252241
mari	0.0346436	0.0630303	0.0256956	0.0268515	0.0115792	0.0205608	0.020047	0.0251867	0.0178347	0.0199859	0.0270799	0.0611461	0.152121	0.135112	0.124201	0.053587	0.0242075	0.032149	0.0279404	0.0245434	0.00993547	0.00828427	0.0123975	0.0141492	0.00987625	0.00741918	0.004634	0.00438513	0.00141704
sait	0.0719331	0.0209449	0.0198865	0.0135408	0.024819	0.0432403	0.0447021	0.0734008	0.17903	0.0842953	0.0827266	0.0409346	0.0302447	0.0235435	0.018029	0.0209046	0.0212023	0.0406114	0.0250708	0.0199479	0.0286677	0.0234419	0.011903	0.0123208	0.00582716	0.0057807	0.00471406	0.00581544	0.00252135
tendre	0.0263492	0.0422999	0.0687511	0.065471	0.104522	0.0903615	0.0391177	0.0314948	0.0255678	0.0217935	0.0340025	0.0172185	0.0137643	0.0170015	0.0161817	0.0211878	0.0275268	0.0324327	0.0246386	0.0366321	0.0385577	0.0355988	0.0238671	0.024596	0.0181198	0.0263131	0.0162416	0.0321196	0.0282709
des	0.0238569	0.0388928	0.047314	0.0432859	0.0508331	0.0339428	0.0254773	0.0330077	0.0226425	0.0231761	0.023561	0.028493	0.0417171	0.0556826	0.0355463	0.0235114	0.0231854	0.0156807	0.0148542	0.0178542	0.0162422	0.0190973	0.0259887	0.0334563	0.0441999	0.0493626	0.0585929	0.0681558	0.0623892
pièges	0.045486	0.0422782	0.0475134	0.0684433	0.130744	0.0868597	0.0432044	0.0372011	0.0190572	0.019337	0.0209154	0.0158537	0.0145342	0.0170769	0.0131634	0.0117786	0.019799	0.0254474	0.0146991	0.0275314	0.024573	0.0225304	0.0207279	0.0219048	0.0293943	0.0329232	0.032743	0.0458422	0.0484378
pour	0.105425	0.0845584	0.0992532	0.121998	0.145203	0.0941714	0.0384093	0.0276858	0.016607	0.0154815	0.0220187	0.0105018	0.00717841	0.00667612	0.00509354	0.00541707	0.0103811	0.013401	0.0105128	0.0156804	0.0165059	0.0127793	0.00771122	0.00893509	0.012819	0.0194897	0.00935242	0.0205702	0.0361838
prendre	0.15762	0.0991049	0.0845473	0.0629316	0.0552943	0.0366208	0.0244996	0.0242296	0.0198768	0.015498	0.0231839	0.0176058	0.0202339	0.0194959	0.0125269	0.0131683	0.0162677	0.0134903	0.0141519	0.0224899	0.0208431	0.0177057	0.0146543	0.0142756	0.0237306	0.0277122	0.0187764	0.039935	0.0695299
les	0.108116	0.0682961	0.070509	0.0630384	0.0633351	0.0408019	0.0167188	0.0142648	0.0118587	0.00919776	0.0141443	0.0150082	0.0123552	0.0162048	0.0113454	0.0128567	0.0190008	0.0163054	0.0174591	0.0305481	0.0233544	0.0230139	0.0246837	0.0192939	0.0380612	0.0449517	0.0278591	0.0466249	0.120792
rats	0.0602676	0.0379046	0.0323434	0.0235756	0.017487	0.0120485	0.00784845	0.00829169	0.010733	0.00879764	0.015097	0.0117282	0.00776914	0.00986543	0.00875991	0.0112964	0.0152413	0.0163918	0.0147978	0.0290169	0.0449335	0.0518567	0.049103	0.0514839	0.0647558	0.0821258	0.0815859	0.105828	0.109065
palmistes	0.0797224	0.0509266	0.0458022	0.0438803	0.0371139	0.0319429	0.0181551	0.0154517	0.0110811	0.00694923	0.00999726	0.00767756	0.00790388	0.0108393	0.0114963	0.0163768	0.0259016	0.0239974	0.0245039	0.0369507	0.0396072	0.0443265	0.0494454	0.0466165	0.056709	0.0588189	0.0464106	0.0659187	0.0754769
</S>	0.111676	0.0968493	0.0923514	0.0708271	0.0507299	0.0392424	0.0304595	0.0322566	0.0222894	0.0136689	0.0125269	0.00714328	0.00773984	0.0085935	0.00819365	0.00761473	0.0104466	0.0135249	0.0139803	0.016474	0.0191702	0.0199496	0.0233103	0.0242376	0.0337202	0.0369561	0.0423327	0.0503555	0.0833796
