 	n	g	á	b	ó	l	í	i	d	z	á	á	y	a	á	</S>
je	0.0390976	0.10088	0.305829	0.402926	0.0635521	0.0209285	0.0117362	0.00532138	0.00478228	0.00434012	0.00485263	0.00488135	0.00872231	0.00998727	0.00786083	0.00430245
suis	0.23671	0.121782	0.0692214	0.0590511	0.136919	0.037201	0.0387436	0.063828	0.0255324	0.033604	0.0351704	0.0222155	0.0265469	0.030112	0.0255291	0.037834
en	0.0290729	0.0428224	0.041373	0.0438161	0.0665742	0.137025	0.19228	0.0539433	0.153031	0.0499903	0.0355184	0.0251776	0.0250983	0.0306441	0.0331383	0.0404946
train	0.0242802	0.0201186	0.0191779	0.0191887	0.0239804	0.0570656	0.0998505	0.0379591	0.0839038	0.0659407	0.0874614	0.0771048	0.0712527	0.082338	0.115115	0.115263
de	0.0550952	0.0470594	0.0228499	0.0491372	0.0393548	0.0645374	0.0691813	0.0450169	0.0545854	0.0465466	0.0463347	0.0984607	0.0885124	0.0438667	0.0735718	0.15589
manger	0.0981726	0.0453567	0.0428573	0.0326848	0.0395445	0.0583607	0.0691815	0.0615043	0.0573921	0.0364058	0.0342266	0.0455911	0.101521	0.0970319	0.0625838	0.117586
l'	0.0612451	0.0556638	0.0494803	0.0547931	0.0468483	0.0537148	0.0488593	0.0469009	0.0408957	0.0358922	0.036218	0.0525892	0.060959	0.0567116	0.0613782	0.23785
igname	0.0465913	0.0498763	0.0452932	0.050604	0.044717	0.0356019	0.0256987	0.0215427	0.0303666	0.0456404	0.0622107	0.0678385	0.0883394	0.0683292	0.094015	0.223335
yaa	0.088176	0.114394	0.0482709	0.140531	0.160897	0.123584	0.071129	0.0368757	0.0191802	0.0132049	0.0121063	0.0146126	0.0222024	0.0273278	0.0328555	0.0746522
</S>	0.0941386	0.0578787	0.0381667	0.0799377	0.0699897	0.0724738	0.0562837	0.0552183	0.0395677	0.0333027	0.0246399	0.0310247	0.0525357	0.0501882	0.0628042	0.18185
