 	n	g	ó	o	l	ó	w	á	a	w	a	a	p	f	u	u	g	h	u	m	ó	n	d	ú	m	b	á	</S>
après	0.347719	0.101254	0.0185214	0.0235244	0.00650367	0.00844982	0.00526741	0.00779708	0.00621334	0.00834897	0.0103501	0.0281746	0.0284709	0.0314999	0.0225052	0.0212786	0.0211796	0.020866	0.0257446	0.0418748	0.038531	0.0438339	0.0295641	0.0274164	0.0241999	0.0214671	0.0179909	0.0114534
la	0.166742	0.0603681	0.0293386	0.0379854	0.0659213	0.0735838	0.0404269	0.0426731	0.0353913	0.0237627	0.0220287	0.0242029	0.0284372	0.0167265	0.0165184	0.0153256	0.021421	0.0082406	0.0139703	0.0151408	0.0338538	0.0370123	0.0300593	0.033462	0.0393976	0.0281988	0.0167042	0.0231066
mort	0.0302414	0.0365376	0.0325827	0.0438518	0.0318264	0.0413315	0.0297268	0.0297679	0.017916	0.0168565	0.021607	0.0319653	0.0555937	0.0500756	0.0295818	0.0335983	0.0360158	0.0299578	0.0288974	0.019721	0.0523899	0.0392197	0.0345957	0.0453449	0.0482105	0.0462887	0.0471545	0.0391439
de	0.021043	0.0181137	0.0191245	0.022895	0.0200731	0.0226936	0.0293898	0.0296742	0.029435	0.044746	0.0339528	0.0405873	0.0680448	0.0464258	0.0574589	0.0797614	0.0653511	0.0701485	0.0275452	0.013038	0.0130866	0.0112297	0.0252149	0.0159574	0.0329784	0.0328902	0.0353692	0.0737721
sa	0.0103874	0.0127261	0.0147036	0.0166572	0.0279568	0.025009	0.0294944	0.0356362	0.0340577	0.0406586	0.0376244	0.036523	0.036554	0.0251885	0.0294016	0.0346803	0.0352782	0.033178	0.0446843	0.0311686	0.0488892	0.0326921	0.0434861	0.0303928	0.0442476	0.0482035	0.0561207	0.1044
mère	0.0165559	0.0145379	0.0165498	0.0215503	0.0292929	0.0272389	0.0246108	0.0317213	0.0243737	0.0383076	0.0317062	0.0318659	0.0463862	0.0212051	0.0238684	0.0198435	0.0243529	0.0219579	0.0288644	0.0403963	0.0477733	0.0490192	0.0421761	0.0469533	0.047863	0.0585036	0.0717332	0.100793
elle	0.00622867	0.00755341	0.00957833	0.0123995	0.0147952	0.014742	0.0176642	0.0207942	0.0249604	0.0309032	0.0286787	0.0276697	0.0354831	0.0346693	0.043386	0.0564457	0.0639809	0.0476779	0.0464818	0.0515684	0.0456008	0.051562	0.0480127	0.0523737	0.0505539	0.049655	0.0514669	0.0551145
se	0.0216359	0.0176132	0.0220039	0.0229239	0.0229659	0.0221143	0.0153742	0.0162755	0.0161218	0.0255903	0.0164371	0.0224738	0.0299915	0.0294315	0.0340842	0.0427748	0.0523464	0.0492074	0.0511041	0.0361089	0.04407	0.0437445	0.0579823	0.0432883	0.0588863	0.0611705	0.0607299	0.0635495
lança	0.029675	0.0266427	0.0213129	0.0195337	0.0133002	0.0130387	0.0137539	0.0143943	0.014789	0.0208657	0.0171626	0.0199942	0.0268878	0.0241979	0.0293668	0.0296797	0.0408304	0.0267	0.0225351	0.0221661	0.0577466	0.050428	0.0331723	0.0741215	0.0641512	0.0833811	0.0909977	0.0991749
dans	0.0156442	0.0163519	0.0169044	0.0171358	0.0162506	0.0154624	0.0115754	0.0147589	0.0129683	0.0155363	0.0136561	0.0160782	0.0220425	0.0265623	0.0333833	0.0456126	0.0607718	0.061525	0.0525669	0.0481119	0.053076	0.0527501	0.0497517	0.0600413	0.0628904	0.0629332	0.0613495	0.0643091
la	0.0214509	0.0206517	0.0188768	0.0200037	0.0170087	0.013551	0.00724147	0.0075216	0.0059754	0.00521839	0.004826	0.0057405	0.00702811	0.0116478	0.0143227	0.030764	0.0300249	0.044227	0.0428222	0.0502798	0.0715264	0.0752613	0.0719705	0.0804511	0.0783435	0.0789872	0.0815204	0.0827568
prostitution	0.0133546	0.013361	0.0136513	0.0156313	0.00961537	0.00830336	0.00757954	0.00668394	0.00860194	0.00866591	0.0140936	0.016434	0.0310468	0.0374389	0.033796	0.023192	0.0253632	0.0282496	0.0347946	0.0570655	0.0524591	0.0937047	0.0616402	0.0863887	0.0744814	0.074684	0.0767827	0.0729369
</S>	0.0215228	0.021268	0.0196898	0.0351091	0.0316247	0.0282718	0.0200758	0.0214455	0.0106004	0.007569	0.0103475	0.00584303	0.0114877	0.0120356	0.0230677	0.0533236	0.0576717	0.0472846	0.0364715	0.0304853	0.0476195	0.0474466	0.0626722	0.0663727	0.0624099	0.0630621	0.0693406	0.0758815
