 	e	b	a	a	m	i	y	é	é	w	ú	r	ú	p	ó	r	ó	y	é	é	d	í	e	m	b	ω	ω	</S>
ce	0.0252694	0.0291985	0.0414214	0.0593977	0.0292861	0.0276131	0.0157159	0.0118549	0.0176154	0.0234868	0.0172019	0.0317315	0.076976	0.0400992	0.0465449	0.0484027	0.0281423	0.022791	0.0477044	0.0442847	0.0648543	0.047455	0.0247223	0.0386153	0.0241016	0.0226855	0.0325378	0.0602903
blanc	0.0140412	0.0174439	0.0320794	0.0618907	0.0141465	0.0146933	0.0332696	0.052857	0.0606767	0.0291614	0.0382553	0.0355336	0.067541	0.0238573	0.0425804	0.0203049	0.0164446	0.0335914	0.038267	0.0392702	0.0667496	0.0622174	0.082992	0.0345729	0.0294042	0.0232093	0.00706465	0.00788473
qui	0.0571386	0.0172396	0.0163708	0.0138412	0.00934158	0.0205473	0.0153867	0.00756841	0.00745177	0.00676291	0.00750355	0.0160018	0.0544364	0.0448627	0.0488799	0.0354342	0.0512309	0.0992108	0.0846231	0.0939078	0.103779	0.0870781	0.0402115	0.0223127	0.0117695	0.00874264	0.00919795	0.00916838
vient	0.0403351	0.0565016	0.0613832	0.0684474	0.0713383	0.0417487	0.021127	0.0167664	0.0161695	0.0103161	0.02396	0.0444252	0.0581936	0.0452096	0.0253096	0.0188937	0.0314965	0.0385779	0.0182333	0.0143481	0.024738	0.0205378	0.0191743	0.0189363	0.0269622	0.0487001	0.0614225	0.056748
de	0.0839494	0.061676	0.0562406	0.0436198	0.0302298	0.0295004	0.0335959	0.0255076	0.0215685	0.0281345	0.0314416	0.0325786	0.0330897	0.0223628	0.02499	0.0259281	0.0280297	0.0395588	0.0122509	0.0155193	0.0165447	0.0107272	0.0137494	0.0255118	0.0245297	0.0546628	0.076368	0.0981343
l'	0.0359917	0.0269447	0.0435842	0.0388724	0.0414536	0.0513412	0.036429	0.0265197	0.0247896	0.0282375	0.0306418	0.0381973	0.047776	0.0193504	0.045564	0.0489684	0.0359946	0.0404555	0.0173348	0.0211344	0.015274	0.0149419	0.0295654	0.0294894	0.039848	0.0478451	0.0484981	0.0749573
occident	0.113569	0.0635923	0.0509959	0.0364067	0.0443701	0.0434593	0.0374085	0.0350364	0.0430126	0.036181	0.0342778	0.0186987	0.00846191	0.00408994	0.00873021	0.0028302	0.00260068	0.00661016	0.0201384	0.0160021	0.0251839	0.0219324	0.028526	0.0267189	0.0321721	0.0472801	0.0562737	0.135441
est	0.127073	0.103374	0.123064	0.0614005	0.0535866	0.0389969	0.0219379	0.0262415	0.0150282	0.00855282	0.0110384	0.00795598	0.0102526	0.00284008	0.00323436	0.00269793	0.0024136	0.00319548	0.00490657	0.00454495	0.00575996	0.00436946	0.00744222	0.0114488	0.0165474	0.0393957	0.0715905	0.21111
gaucher	0.286823	0.135567	0.0936143	0.0371711	0.0677154	0.0281246	0.0291615	0.032852	0.0227235	0.00907519	0.0273893	0.0220316	0.0135516	0.0124007	0.00918574	0.00680368	0.0044798	0.00425952	0.00868043	0.00763156	0.00751796	0.00558606	0.00918076	0.0067561	0.00878836	0.0113154	0.0154433	0.076171
</S>	0.155255	0.107426	0.0734139	0.0477624	0.0345918	0.021157	0.0232481	0.016252	0.0105105	0.00862552	0.0118935	0.0201645	0.0113361	0.00763738	0.00619699	0.00513553	0.00815752	0.00656614	0.00746588	0.00734842	0.00695246	0.0109946	0.0185542	0.0196895	0.0260442	0.0467284	0.0700564	0.210836
