 	a	m	b	ω	r	i	á	b	v	u	m	b	u	s	u	m	í	b	h	i	l	a	k	ó	l	i	</S>
les	0.0751908	0.0144788	0.0210406	0.0163733	0.0494485	0.110675	0.0647509	0.0638387	0.0676941	0.0645309	0.0428483	0.0354068	0.0272485	0.0357614	0.0202542	0.0385391	0.012552	0.0225931	0.0192525	0.0203248	0.0282837	0.02838	0.021644	0.0218464	0.0269469	0.0279968	0.0220995
soldats	0.0319491	0.0445316	0.0482536	0.0923023	0.0985682	0.0864112	0.0903233	0.045955	0.0373731	0.0361592	0.0392932	0.0452321	0.0513151	0.0436832	0.0320723	0.0384371	0.0185384	0.0230926	0.0127175	0.0105195	0.0132617	0.00988492	0.0106557	0.0143492	0.0118789	0.00597569	0.00726632
ont	0.0436084	0.0408121	0.0334218	0.0217103	0.0343327	0.0331638	0.0589408	0.0643161	0.0950628	0.0666799	0.076556	0.0720302	0.0956943	0.0681486	0.0274311	0.0246639	0.0139262	0.0148102	0.0112494	0.011288	0.0181844	0.0176463	0.01417	0.014695	0.0111062	0.00692139	0.00943017
surpris	0.0175156	0.0355565	0.0458637	0.03739	0.0489363	0.0431841	0.0521238	0.0475408	0.0526535	0.0681688	0.0749672	0.0639191	0.0555161	0.0299886	0.0220239	0.02413	0.0258181	0.0217404	0.0195524	0.0220862	0.027367	0.0179907	0.0240712	0.0268249	0.0166679	0.0257125	0.0526908
des	0.0493881	0.0444848	0.0352272	0.0388459	0.0403721	0.0489204	0.0462475	0.0637323	0.063204	0.0569762	0.0415743	0.0316835	0.0269011	0.02937	0.0344274	0.0342445	0.0343293	0.0319204	0.0279795	0.0254656	0.0250223	0.0125087	0.0170304	0.0226166	0.0271618	0.0297647	0.0606015
voleurs	0.0402049	0.037269	0.0213071	0.0205343	0.0206809	0.0234333	0.0250844	0.0305412	0.0379258	0.0314966	0.0292122	0.0280856	0.0265077	0.0424414	0.0719281	0.0670226	0.0613511	0.0718795	0.0507682	0.0349591	0.03519	0.0196655	0.0215612	0.0256854	0.0439849	0.0317176	0.0495622
dans	0.0386215	0.0385567	0.0277232	0.0261872	0.0254037	0.0269112	0.0299632	0.0435722	0.0467786	0.0424755	0.0418517	0.0345832	0.0339145	0.0338614	0.0452914	0.0382562	0.0493961	0.0627954	0.0461714	0.0366103	0.0362003	0.0292792	0.0284172	0.0251407	0.0290722	0.026756	0.0562099
la	0.0247758	0.0161358	0.0212374	0.023491	0.0192597	0.0198624	0.0191894	0.0199112	0.0243781	0.0257526	0.0368828	0.0447043	0.045544	0.0553064	0.0611205	0.0545306	0.028891	0.0313979	0.031342	0.0363124	0.0377401	0.0363112	0.039626	0.0542569	0.0713409	0.0696923	0.0510074
nuit	0.0288848	0.0314817	0.0212707	0.0212295	0.0203841	0.020333	0.0122874	0.00580633	0.0051857	0.00636603	0.00635363	0.00699568	0.00906965	0.0155873	0.0327199	0.0408117	0.0801043	0.0793031	0.0528104	0.0376052	0.0530956	0.0446774	0.0477569	0.0521274	0.0859801	0.0889758	0.0927968
</S>	0.0324666	0.0288206	0.0208997	0.0190994	0.0137713	0.0133062	0.0128573	0.0110249	0.00928909	0.012362	0.0113729	0.0118453	0.0132738	0.0261848	0.0490756	0.0347924	0.0461768	0.0519369	0.0551489	0.0435178	0.0487266	0.0428657	0.04709	0.0721741	0.0617611	0.0997221	0.110438
