 	b	á	n	g	á	b	í	i	k	á	m	b	a	</S>
il	0.0553359	0.0839633	0.0805531	0.0781315	0.0834997	0.119942	0.0786768	0.0348268	0.0397733	0.0503792	0.0860279	0.103426	0.0726143	0.0328503
n	0.249316	0.239739	0.144729	0.0716147	0.0432955	0.0417168	0.0278342	0.0228516	0.0188482	0.0214231	0.0226324	0.01896	0.0313106	0.0457296
'	0.476156	0.139174	0.0544814	0.0358838	0.0266293	0.013949	0.0227827	0.0233088	0.0151533	0.0181715	0.0242081	0.026916	0.05719	0.0659959
y	0.294641	0.1919	0.105861	0.0708795	0.028735	0.0162303	0.0232978	0.0192556	0.0235888	0.0222193	0.0281214	0.0344887	0.0618952	0.0788868
en	0.268615	0.0981715	0.0603887	0.0471818	0.0306978	0.0179644	0.0234843	0.022197	0.0236259	0.022206	0.0300529	0.0454451	0.129254	0.180716
a	0.20095	0.145393	0.106141	0.0617695	0.0547883	0.0293671	0.0361708	0.030741	0.0362102	0.0208046	0.0405445	0.0309841	0.0683109	0.137825
pas	0.141574	0.0578408	0.0352033	0.0253502	0.0295625	0.0215236	0.0248287	0.0258218	0.0265073	0.0297829	0.0561162	0.0842514	0.176633	0.265005
assez	0.12467	0.056986	0.0468229	0.0386883	0.0234794	0.0178669	0.0390206	0.0185199	0.0198313	0.0230806	0.040474	0.0779026	0.149146	0.323511
pour	0.0691195	0.0471811	0.0403164	0.0537607	0.0570805	0.0428375	0.0485695	0.0481451	0.0559505	0.0567356	0.0674085	0.113932	0.123713	0.17525
moi	0.15464	0.0919517	0.123425	0.178924	0.0896331	0.0235238	0.0446518	0.0158636	0.0199815	0.0296487	0.050675	0.0668507	0.0627358	0.0474957
</S>	0.29349	0.169141	0.0771906	0.0922818	0.0443716	0.024459	0.0539605	0.0226011	0.0310808	0.0234139	0.0375014	0.0417507	0.0497901	0.0389676
