 	o	k	ώ	s	i	m	i	b	o	ó	a	d	z	e	n	d	a	</S>
qui	0.00452784	0.00786358	0.0100148	0.00993127	0.00910165	0.012935	0.0119732	0.0102714	0.0110084	0.0106256	0.0150156	0.0205707	0.0860743	0.128798	0.164662	0.186526	0.165825	0.134276
est	0.159397	0.266865	0.192716	0.0726437	0.0151604	0.0328373	0.0171978	0.029617	0.0294466	0.0192411	0.0116863	0.0112686	0.0215405	0.0249801	0.0385806	0.0242937	0.00919474	0.0233332
ce	0.034457	0.0383855	0.0679519	0.0336171	0.0237878	0.0380551	0.0293015	0.0401657	0.0430504	0.0513479	0.0426624	0.0579382	0.0831333	0.0671223	0.0533263	0.0983483	0.0873847	0.109965
qui	0.108525	0.0847839	0.0714962	0.0487134	0.0654096	0.062045	0.0620232	0.0281153	0.0333311	0.0311585	0.0278035	0.0265546	0.0540104	0.0748574	0.0517914	0.0673773	0.0598018	0.0422029
est	0.0166857	0.0288705	0.0606875	0.0698801	0.0664205	0.152974	0.0754249	0.0809231	0.106928	0.0619139	0.064431	0.040473	0.0499516	0.0309872	0.0103014	0.0206334	0.0290709	0.0334433
blessé	0.0456698	0.064986	0.0331976	0.025158	0.028732	0.0436323	0.0667909	0.0707665	0.121249	0.160413	0.110923	0.0423476	0.0321218	0.027605	0.0176046	0.0246485	0.0259214	0.0582331
sur	0.0807165	0.0821023	0.0712375	0.0643606	0.0368492	0.0496499	0.0324092	0.0202578	0.0382768	0.0278271	0.022025	0.0181869	0.0355558	0.0513321	0.0659325	0.0788254	0.0747368	0.149719
la	0.105316	0.126765	0.0675149	0.0426757	0.0310718	0.036162	0.0213572	0.016518	0.0133422	0.0185055	0.0120987	0.0116031	0.0189337	0.0422611	0.035841	0.0564172	0.075898	0.26772
tête	0.204066	0.149977	0.0434584	0.030736	0.015553	0.0204238	0.0100896	0.0115993	0.0136994	0.0131474	0.0126921	0.0137132	0.04715	0.063447	0.0282221	0.0399377	0.0608152	0.221272
</S>	0.208157	0.143147	0.0594247	0.0424428	0.0375656	0.0359038	0.0419396	0.0198015	0.0256101	0.0115847	0.0099208	0.00806557	0.0138107	0.0271015	0.0607048	0.0680397	0.0845805	0.1022
