 	á	n	g	a	l	i	w	a	t	í	n	a	w	a	á	k	y	e	i	b	h	ώ	ω	l	á	i	b	é	</S>
on	0.0565831	0.0748021	0.0674862	0.0528979	0.0440384	0.0353876	0.0316339	0.0144491	0.0122336	0.0166184	0.0120486	0.0190845	0.0172185	0.0266397	0.036155	0.0261303	0.0333672	0.056605	0.0352984	0.0619532	0.0465068	0.0294489	0.0307187	0.035025	0.0351796	0.0277637	0.0252758	0.0247978	0.0146529
l'	0.0253631	0.023356	0.0151428	0.0408829	0.0376483	0.0462433	0.063896	0.0489734	0.0409797	0.0471392	0.0390332	0.030809	0.0402476	0.0407481	0.0595513	0.0437752	0.0558146	0.0611199	0.0654146	0.0432238	0.0303863	0.0274704	0.0195436	0.00970581	0.0108071	0.0114835	0.00561315	0.00737631	0.00825165
a	0.0652557	0.0906055	0.0737525	0.0562121	0.0216638	0.0394965	0.0387452	0.0528342	0.0196294	0.038368	0.0308536	0.025812	0.017716	0.0421974	0.0347127	0.0502723	0.0355111	0.0372126	0.0368241	0.0282111	0.0250685	0.0170825	0.0112515	0.0157414	0.0257052	0.0139915	0.0126517	0.0212948	0.021327
grondé	0.0482644	0.0336438	0.0218063	0.0271465	0.0285619	0.023526	0.0255261	0.0209022	0.0235642	0.0305799	0.0482656	0.0466595	0.0267583	0.0643224	0.039835	0.0344734	0.038471	0.0304369	0.0340731	0.0230519	0.0551331	0.0418224	0.0422144	0.0178726	0.02252	0.030358	0.0328207	0.0414856	0.0459049
car	0.0234349	0.023013	0.0255039	0.0223396	0.0298	0.0256348	0.0252405	0.0272867	0.0207547	0.0227736	0.0222301	0.023186	0.0255652	0.0281449	0.0290267	0.0292708	0.0360513	0.0270789	0.0284033	0.0186323	0.0141937	0.0186155	0.0329443	0.0365458	0.0535681	0.108017	0.0537287	0.0596625	0.109353
il	0.0188084	0.0205439	0.0121558	0.0158742	0.0161372	0.0184121	0.0174273	0.0189144	0.0165579	0.0153511	0.0209126	0.024958	0.0220799	0.0295881	0.0466557	0.0320711	0.0367484	0.0496808	0.0511049	0.0515374	0.0232607	0.0329028	0.0421642	0.0443082	0.0629252	0.0570561	0.0587926	0.0398307	0.10324
a	0.0244404	0.0166331	0.0122915	0.014209	0.0159275	0.0166477	0.0175333	0.0226595	0.0184881	0.0205171	0.018558	0.0202378	0.0129437	0.0185707	0.0144931	0.019495	0.0145693	0.0174339	0.0218034	0.0244846	0.0228347	0.0337513	0.0524539	0.0323591	0.0773724	0.0926538	0.0957283	0.0993172	0.131593
fait	0.0440447	0.0226844	0.0168841	0.0174496	0.0192027	0.0222412	0.0233917	0.0235149	0.014004	0.015992	0.0156149	0.0156839	0.0113193	0.0164782	0.0138223	0.0167947	0.017819	0.0196132	0.0235498	0.0286349	0.0251333	0.0357777	0.0487652	0.0487244	0.0542197	0.079255	0.0835498	0.0872151	0.13862
une	0.0639842	0.03792	0.028864	0.034389	0.0280372	0.0270522	0.026841	0.0179566	0.0102801	0.00948805	0.00825856	0.00940162	0.00750619	0.0125797	0.0129228	0.0136913	0.0178228	0.0219771	0.0378589	0.0318962	0.0351415	0.0519015	0.0428366	0.0353214	0.0690983	0.0675805	0.0794033	0.074762	0.0852273
bêtise	0.0378297	0.0243822	0.022553	0.0134963	0.0121354	0.0110454	0.0117743	0.0149436	0.0089747	0.0121625	0.00932072	0.00919109	0.0122818	0.0154894	0.0194096	0.0249521	0.0308607	0.0471924	0.0702278	0.0544574	0.0750733	0.0584173	0.0802665	0.0254549	0.0394436	0.0508208	0.0581576	0.0582673	0.0914186
</S>	0.0203567	0.0133618	0.0127101	0.0114763	0.0117287	0.0106132	0.0118175	0.0165047	0.0131318	0.0150106	0.0172627	0.0182587	0.0158616	0.0196072	0.0180623	0.0221346	0.0174442	0.0282785	0.035721	0.033645	0.0507073	0.0569346	0.0756622	0.0689771	0.0643474	0.0811531	0.0792471	0.0805005	0.0794834
