 	a	m	b	v	ú	l	ú	á	k	i	r	i	p	o	o	m	ó	p	ó	s	á	m	b	ώ	n	g	ω	</S>
amvoulou	0.122626	0.0340996	0.0185159	0.0235882	0.0241505	0.0464707	0.055883	0.0496241	0.15246	0.10278	0.0389675	0.0225459	0.0424214	0.0236172	0.0282863	0.0222949	0.0250872	0.0268009	0.0185374	0.0171003	0.0151668	0.0147962	0.0120461	0.0112975	0.0119146	0.0124384	0.0125395	0.013944
a	0.0588095	0.0232529	0.0193034	0.0221323	0.0251758	0.0349908	0.0281577	0.0425876	0.0305155	0.0740445	0.10685	0.082937	0.128433	0.0548258	0.0309987	0.0173878	0.0123286	0.011476	0.0156796	0.0232978	0.0285092	0.0132475	0.0136773	0.0232822	0.0185249	0.0180885	0.0227151	0.0187713
trahi	0.0322844	0.0413627	0.0450274	0.0244417	0.0452962	0.0241612	0.0444265	0.0588312	0.0703154	0.0608217	0.109474	0.0891877	0.11267	0.0747886	0.0461779	0.026776	0.0195422	0.013766	0.0100259	0.00858353	0.00757442	0.00557813	0.004136	0.00454038	0.00366606	0.00455957	0.00558257	0.00640197
son	0.0170735	0.0150694	0.0103855	0.0107102	0.026855	0.0385214	0.0284757	0.0403433	0.0502162	0.0562697	0.0481333	0.0252365	0.0298921	0.0247971	0.0213294	0.0129493	0.0133334	0.0205889	0.0213489	0.0263236	0.0303083	0.0259454	0.0164495	0.0403257	0.0567705	0.0994185	0.0887349	0.104195
village	0.0399383	0.0442171	0.0494149	0.0350557	0.0378024	0.0295504	0.0419608	0.0397383	0.0421467	0.0337114	0.0401124	0.0308404	0.0353734	0.043346	0.043929	0.0432284	0.0606981	0.0385434	0.025989	0.0225035	0.0205873	0.0260234	0.0257317	0.0282313	0.0221437	0.0300686	0.0182952	0.050819
à	0.0154522	0.0154784	0.0153103	0.0203824	0.028207	0.025997	0.0283007	0.0225837	0.0205641	0.0185198	0.0222084	0.0151279	0.0166534	0.0227447	0.0247751	0.0277319	0.0294523	0.0311001	0.027214	0.0310075	0.0336645	0.0432256	0.0541081	0.0618782	0.08668	0.0881306	0.0772083	0.0962937
cause	0.0476259	0.0578686	0.0498015	0.0299206	0.0264628	0.0322062	0.0240118	0.0270811	0.0195973	0.0178052	0.0221993	0.0187318	0.0239394	0.036489	0.0270223	0.0258013	0.0239199	0.0176995	0.0198824	0.022669	0.0190876	0.0267472	0.0239101	0.0415638	0.0473185	0.0594598	0.0746237	0.136555
de	0.0260175	0.0339366	0.0389934	0.0447693	0.0452188	0.0455063	0.0437625	0.0338963	0.0305526	0.0232767	0.0252533	0.020606	0.0207314	0.0205288	0.0200747	0.0216221	0.0189222	0.0165802	0.017259	0.0205707	0.021051	0.0285776	0.0400371	0.0429069	0.0657372	0.0701715	0.0648193	0.0986211
sa	0.0321716	0.034205	0.0368006	0.0427162	0.041224	0.0421984	0.0216063	0.0168745	0.0111762	0.0120174	0.00939543	0.0099773	0.00883769	0.0101483	0.00913747	0.0113348	0.0137248	0.022786	0.0322823	0.0428693	0.0427042	0.0566921	0.0646855	0.0719955	0.073262	0.0747986	0.0743396	0.0800389
cupidité	0.0298859	0.0261665	0.0194117	0.0131123	0.00780489	0.00717576	0.00585424	0.00660587	0.00474405	0.00514352	0.00456932	0.0058117	0.0147178	0.0328427	0.0445198	0.0536166	0.0672557	0.0520606	0.0607849	0.06762	0.0529697	0.0486187	0.0469798	0.0685584	0.0596439	0.0552804	0.075292	0.0629535
</S>	0.0490647	0.0407606	0.0333687	0.0195834	0.0187407	0.021437	0.0144158	0.008882	0.00491838	0.00454014	0.00401484	0.0043897	0.00507507	0.0149165	0.0187748	0.0274155	0.0332059	0.0396489	0.0651954	0.05327	0.0535521	0.0533834	0.041427	0.0535577	0.0601644	0.0645776	0.0713385	0.120381
