 	e	k	y	e	b	a	r	e	l	á	a	k	y	a	á	t	s	ω	</S>
un	0.0137815	0.0112238	0.01597	0.0166351	0.0164753	0.0254726	0.0293895	0.0462431	0.0605799	0.0542341	0.0771108	0.0676745	0.098135	0.130641	0.101414	0.107361	0.0574214	0.0371415	0.0330958
impoli	0.106188	0.112826	0.191288	0.0843847	0.0506544	0.0513438	0.0660867	0.0910087	0.0705577	0.049738	0.0349464	0.0311434	0.0195148	0.0166386	0.00897582	0.00752277	0.00539723	0.000802613	0.000982168
manque	0.0381061	0.0629087	0.0734381	0.0942104	0.144796	0.0930845	0.0788276	0.0721388	0.0598202	0.0349913	0.0235468	0.0208831	0.0216692	0.0357786	0.0227399	0.0239987	0.0283969	0.0449877	0.0256777
du	0.032688	0.0325852	0.0309336	0.0416077	0.0374905	0.0323501	0.0429454	0.0434063	0.0500536	0.0506378	0.0441377	0.0430296	0.073083	0.0987531	0.109284	0.086548	0.0697367	0.0413534	0.039376
respect	0.0542397	0.0541466	0.0543618	0.0636483	0.0759849	0.0870522	0.0787171	0.0510154	0.0390605	0.0304877	0.0204503	0.0326552	0.0370925	0.0576284	0.0584351	0.0546531	0.0564149	0.0463541	0.0476022
à	0.0738643	0.0753777	0.0681424	0.0718183	0.0677059	0.0658845	0.0517583	0.0391054	0.0268839	0.0196582	0.0154686	0.0152377	0.0164282	0.0113481	0.0353489	0.0519136	0.0795899	0.0663918	0.148074
tout	0.065004	0.0699982	0.0584106	0.0625598	0.0662701	0.0608465	0.0515862	0.0334823	0.0311773	0.0231078	0.0217523	0.0192299	0.0316014	0.042629	0.0436679	0.0492287	0.0554335	0.0587707	0.155244
le	0.110917	0.0637794	0.0455072	0.0357563	0.0276922	0.0250819	0.0241997	0.0158782	0.0136146	0.0124741	0.0157531	0.0184236	0.0365058	0.0537056	0.0499033	0.0687804	0.121583	0.124553	0.135893
monde	0.196152	0.116023	0.0754863	0.0401861	0.0266768	0.0166137	0.01436	0.00767474	0.00298368	0.00301035	0.00414809	0.00461931	0.0128713	0.0105139	0.0456077	0.0621798	0.139496	0.133965	0.0874328
</S>	0.106062	0.0671504	0.0465855	0.0485847	0.0318412	0.0197102	0.0164224	0.0104392	0.0104127	0.0107294	0.0131312	0.0164893	0.0373181	0.0386994	0.0605887	0.0888501	0.117677	0.115375	0.143934
