 	o	n	d	ó	n	g	o	a	b	h	i	e	y	o	ó	t	s	í	n	a	w	a	n	d	é	e	é	m	i	b	o	n	g	a	</S>
ondongo	0.00621286	0.00937434	0.00841433	0.00915226	0.00939928	0.0139678	0.0128142	0.0335269	0.0333436	0.0367703	0.0594961	0.0505152	0.0848665	0.0929476	0.0849523	0.0613429	0.0254612	0.0247187	0.0205991	0.0211386	0.0138346	0.0164119	0.0163967	0.0208297	0.0227981	0.0190208	0.0238926	0.0237944	0.0203784	0.0182448	0.0175317	0.0171809	0.0249626	0.0246173	0.0210914
est	0.132622	0.0867083	0.0933323	0.0434206	0.0499965	0.0670318	0.017874	0.0296734	0.0141324	0.00656384	0.0153045	0.027874	0.0137354	0.0296806	0.0146993	0.0222305	0.0247947	0.0262141	0.0191142	0.00616627	0.00545126	0.0137638	0.0127686	0.00637897	0.00854893	0.0167474	0.0190289	0.0141912	0.0182241	0.0333934	0.0200576	0.0370614	0.0144642	0.0197022	0.0190486
devenu	0.0419206	0.0183603	0.0243077	0.0279156	0.0256629	0.0269989	0.0481635	0.0304276	0.0392968	0.0167622	0.0485629	0.0242986	0.0590129	0.0592192	0.0525092	0.0590215	0.0683237	0.0598415	0.045029	0.0171667	0.0273703	0.0101999	0.0218123	0.0275222	0.0128638	0.0128731	0.0159848	0.0151412	0.022265	0.0191808	0.00798537	0.00919915	0.00172935	0.00259705	0.000474237
pauvre	0.0355533	0.0220295	0.0197934	0.0207752	0.0219642	0.0276971	0.0404959	0.0434935	0.0450362	0.0171208	0.0128419	0.0127229	0.0132526	0.0247373	0.0343086	0.0438969	0.0567534	0.0654575	0.118599	0.0840783	0.0487085	0.0349597	0.0310932	0.0301815	0.0132048	0.00967365	0.00787924	0.0083251	0.00886969	0.00488422	0.00981818	0.00751143	0.0051693	0.00817368	0.01094
parce	0.0345894	0.0404257	0.0580665	0.0442828	0.0548493	0.0493506	0.0491806	0.0459248	0.0467911	0.0402399	0.0506088	0.0397181	0.0271037	0.0223465	0.0151301	0.0164741	0.0209035	0.0266813	0.0293962	0.0311691	0.0358199	0.0102372	0.0129025	0.0139593	0.00716251	0.0115272	0.0101463	0.017215	0.0158223	0.0110256	0.0162131	0.0154622	0.0166537	0.0202521	0.0423689
que	0.0194703	0.0239507	0.031393	0.038378	0.0423298	0.0360286	0.0393911	0.0408283	0.0382154	0.0440571	0.0499065	0.0428661	0.0323034	0.0401266	0.0359409	0.0342438	0.0398053	0.0419107	0.0361302	0.0211302	0.0191268	0.0169877	0.0196946	0.0139685	0.0085771	0.0134692	0.0161431	0.0186063	0.0151886	0.0123785	0.0155827	0.0140992	0.019508	0.0208896	0.0473739
sa	0.0432677	0.0359471	0.0353984	0.0349578	0.0352732	0.0347781	0.0356705	0.0332598	0.0284256	0.0203144	0.02487	0.0220404	0.0159931	0.0130519	0.0103696	0.0153879	0.0186339	0.0236721	0.0369872	0.0431166	0.0437171	0.0257407	0.0237389	0.0245866	0.0172984	0.0189493	0.0208055	0.0236442	0.021624	0.0232844	0.0227434	0.0273921	0.0391735	0.044983	0.0609036
maison	0.0651079	0.0474135	0.0381996	0.0384477	0.025975	0.0178241	0.0154307	0.0177268	0.0150701	0.0187575	0.0202632	0.0210889	0.0212988	0.021313	0.0239654	0.0294674	0.0463449	0.0615577	0.0529177	0.0328475	0.0127249	0.0110038	0.0116205	0.00595697	0.0112002	0.0110105	0.0154346	0.0157325	0.0152093	0.017978	0.0295686	0.0302512	0.0535781	0.0473204	0.0803927
a	0.0831045	0.0399216	0.0321784	0.0327359	0.0277325	0.0302471	0.017224	0.0110753	0.0127429	0.0159203	0.0214204	0.0190081	0.0192183	0.0240967	0.0477015	0.0436102	0.0636012	0.075486	0.0402926	0.0283868	0.0132098	0.0112653	0.0105311	0.00546788	0.00833675	0.0138914	0.0203399	0.0279272	0.0289538	0.0148712	0.0227575	0.0218525	0.0205088	0.0289358	0.0654467
été	0.0542798	0.0333055	0.0307538	0.0295603	0.0273367	0.020253	0.0107516	0.00667676	0.00895042	0.0120129	0.0159161	0.0106565	0.0098442	0.0122742	0.0161326	0.0135244	0.00742208	0.00801762	0.0120426	0.00956974	0.0150049	0.0120021	0.0137126	0.0101734	0.0136259	0.0215546	0.022345	0.04116	0.055673	0.0363448	0.081374	0.0691627	0.0743247	0.0777036	0.106558
incendiée	0.0250118	0.0231245	0.0221092	0.0204829	0.0203462	0.0128127	0.00833433	0.00624338	0.00818161	0.00918828	0.0100355	0.00808675	0.00795873	0.00898301	0.0117631	0.0112581	0.00985056	0.00916064	0.0143396	0.0148056	0.0116882	0.0149688	0.0184329	0.0125548	0.0229581	0.0224548	0.0282046	0.0389157	0.0494818	0.0417535	0.0807321	0.0809951	0.0873153	0.0956284	0.131839
</S>	0.0491058	0.0339183	0.0350677	0.0355784	0.0344835	0.0353477	0.02752	0.0169248	0.0202684	0.0151591	0.021402	0.0134373	0.0108671	0.011492	0.0090726	0.00746199	0.00635606	0.00681907	0.0133335	0.0128706	0.021977	0.0192423	0.0292034	0.0260273	0.0307768	0.0367244	0.0358415	0.0423376	0.0407196	0.0382001	0.0498105	0.0444533	0.0467386	0.0503128	0.0711488
