 	e	l	a	n	d	í	l	í	y	á	n	d	é	e	y	é	é	d	í	o	b	í	a	k	a	á	</S>
avec	0.00995853	0.00988459	0.0130108	0.0223515	0.0173093	0.0192849	0.023846	0.0243055	0.0504136	0.0494283	0.050053	0.0548861	0.0640502	0.0493068	0.0525778	0.0327608	0.0321814	0.0405549	0.0314108	0.0421456	0.0451363	0.0493649	0.0508384	0.0567928	0.0513262	0.0317119	0.0251092
cette	0.110683	0.0314999	0.0270798	0.0208896	0.0128136	0.00901028	0.00366851	0.00486451	0.0160484	0.0103611	0.00774852	0.0168018	0.0350246	0.0146807	0.0238556	0.0141106	0.0497548	0.0711801	0.110911	0.0904623	0.096082	0.0456391	0.0640671	0.0381418	0.0344367	0.0205563	0.0196285
manière	0.0261274	0.0139098	0.0166447	0.0133271	0.00788885	0.0180943	0.0182714	0.0309281	0.0532707	0.0336953	0.0219065	0.0326071	0.055388	0.0478228	0.0315543	0.0375306	0.0674582	0.0672865	0.0758059	0.0764001	0.0517509	0.0447355	0.0567686	0.026311	0.0332233	0.0273481	0.0139448
de	0.143458	0.0450315	0.0313278	0.0183817	0.0100095	0.0184638	0.0267601	0.0287993	0.0279724	0.0547699	0.0453112	0.0485189	0.0662725	0.0386745	0.0508489	0.0548922	0.0703505	0.0359988	0.0298939	0.0223482	0.0193261	0.0119876	0.0156875	0.0114078	0.0149143	0.0225359	0.0360577
construire	0.0701735	0.0530681	0.0465269	0.0335415	0.0514842	0.0544629	0.041003	0.0348137	0.0228494	0.0193071	0.0134483	0.0260962	0.0275116	0.025957	0.0292699	0.0386291	0.0475956	0.0394913	0.0296627	0.0310022	0.0258364	0.0174018	0.0129878	0.0248233	0.0305783	0.0419382	0.11054
les	0.0503769	0.0520335	0.0577925	0.0474394	0.0531852	0.0353726	0.0295461	0.0223944	0.0216102	0.0147754	0.0127819	0.0206527	0.0242307	0.025671	0.0296065	0.0248426	0.0312893	0.0366479	0.0370657	0.0499653	0.0397229	0.0289884	0.027653	0.0381865	0.0403488	0.0433299	0.104491
murs	0.0676666	0.0390213	0.0337164	0.0247599	0.0618739	0.0416286	0.0438301	0.0374246	0.0174765	0.0195221	0.0154166	0.021111	0.0261578	0.0294809	0.0292228	0.0377778	0.0325783	0.0227877	0.019302	0.0193226	0.0215649	0.0298148	0.0503301	0.0591179	0.0640281	0.0479189	0.0871479
en	0.0602383	0.0490995	0.0539852	0.0631819	0.0493309	0.0266137	0.0185121	0.0164422	0.0294311	0.0214329	0.0103096	0.0159621	0.0156726	0.0197662	0.0108406	0.00850656	0.00977989	0.0111756	0.0070067	0.0128148	0.0114793	0.0176296	0.019323	0.0329348	0.0461327	0.0678536	0.294544
bambou	0.150565	0.100505	0.0527198	0.0297306	0.0129947	0.011925	0.00831806	0.00840434	0.0066995	0.00919975	0.00968059	0.00952696	0.00724437	0.00478104	0.00527193	0.00653679	0.00636433	0.010226	0.0110922	0.0144765	0.0124203	0.0292437	0.0297587	0.054992	0.092627	0.0859222	0.218773
la	0.186865	0.0653604	0.0504494	0.0211614	0.0144502	0.0107569	0.00880888	0.00803335	0.00534086	0.00544801	0.00306053	0.00332045	0.00315863	0.00410624	0.00451169	0.00559657	0.00959568	0.0133744	0.0136865	0.0217683	0.0466314	0.0504413	0.0626687	0.0670015	0.0688092	0.0775308	0.168064
case	0.217624	0.120904	0.0985317	0.0709918	0.0378222	0.0245293	0.0102216	0.00493137	0.00628796	0.00581334	0.00760301	0.00525957	0.00657149	0.00903233	0.00578387	0.00480574	0.0060865	0.00632259	0.00765056	0.0116489	0.0260297	0.0316378	0.0517652	0.0577772	0.0513056	0.0398698	0.0731936
ne	0.182076	0.0951261	0.0605239	0.0332961	0.0227607	0.0182989	0.0171118	0.0136013	0.00877363	0.0118644	0.00863671	0.0071765	0.00668286	0.00593085	0.00716518	0.00935821	0.0151447	0.0169945	0.0148493	0.0284453	0.0374663	0.0399188	0.0491653	0.0667895	0.061533	0.0804709	0.0808387
tiendra	0.131613	0.0546013	0.0260387	0.0129783	0.0128689	0.00785338	0.00788787	0.0071597	0.00625247	0.00837536	0.00403048	0.00507388	0.00467369	0.0081028	0.00935694	0.010657	0.0208052	0.0187005	0.0157285	0.0247195	0.031201	0.0621628	0.0730321	0.0935557	0.113752	0.0868988	0.141921
pas	0.0886182	0.0463087	0.0261758	0.0118475	0.00976617	0.0134447	0.013971	0.00811586	0.00699157	0.0130469	0.0137317	0.0136824	0.0152217	0.0176526	0.0198283	0.0202451	0.0283319	0.0308793	0.0303025	0.0404179	0.050438	0.0577682	0.0685472	0.10266	0.0752081	0.0707432	0.106056
longtemps	0.0481497	0.030715	0.0207381	0.0121371	0.0139586	0.0098022	0.00805977	0.00787295	0.00714142	0.00748628	0.00641932	0.00606136	0.005513	0.00554088	0.00431563	0.00449161	0.00644084	0.00794903	0.00973728	0.0156278	0.0349563	0.0680618	0.0730612	0.136331	0.140463	0.127589	0.18138
</S>	0.0505889	0.0403583	0.030078	0.0198919	0.0173609	0.0164367	0.015141	0.0150797	0.0137551	0.0141869	0.0120719	0.011053	0.00974651	0.00717177	0.00737882	0.00784025	0.011099	0.0117872	0.0139716	0.0210501	0.0436426	0.0611254	0.0523714	0.100049	0.10237	0.131194	0.163201
