 	n	g	á	í	k	u	l	u	i	b	h	ώ	ω	d	í	t	s	í	n	a	n	g	á	m	o	r	o	y	a	a	b	é	r	á	w	á	n	g	y	ε	l	έ	</S>
je	0.134833	0.286233	0.285637	0.114339	0.0268858	0.0151208	0.0052046	0.00342741	0.00359797	0.00424509	0.00336506	0.00381679	0.00354101	0.00340466	0.00711366	0.00579735	0.00487091	0.00555672	0.00369019	0.00285874	0.0022871	0.0016713	0.00187004	0.00163225	0.00145229	0.00155892	0.0016311	0.0015499	0.00253107	0.00299507	0.00300281	0.00505305	0.00410632	0.00294476	0.00511153	0.0041328	0.00442104	0.00468237	0.00431308	0.00469475	0.00484109	0.0050781	0.00490059
suis	0.0373723	0.0202021	0.020301	0.0210903	0.0134289	0.0187582	0.0249948	0.0578895	0.0748132	0.0650592	0.0480546	0.0420307	0.036031	0.0412536	0.0425915	0.0398138	0.0352969	0.0397131	0.0262759	0.0236906	0.0126597	0.0149071	0.0136198	0.00826696	0.00347636	0.00462902	0.00241443	0.00466262	0.00168483	0.00215558	0.00288558	0.0137362	0.00433374	0.0164934	0.0236937	0.0259387	0.025751	0.0241866	0.00793573	0.0153737	0.0143883	0.00904011	0.0191055
impliqué	0.0277046	0.034564	0.0326791	0.0406224	0.0190302	0.0267722	0.0226317	0.0181743	0.0336129	0.0301025	0.0383353	0.0461893	0.0516542	0.0388793	0.0386473	0.0333648	0.0200788	0.0214786	0.00842202	0.00795672	0.00768888	0.00859741	0.0110578	0.0106607	0.0138234	0.0135459	0.0159589	0.0302208	0.0307205	0.0409996	0.0318688	0.029986	0.0131243	0.0137019	0.0257351	0.00711365	0.00963806	0.0190799	0.0133701	0.0142946	0.015497	0.0132229	0.019194
dans	0.0316087	0.0172375	0.0129176	0.0160802	0.0241285	0.00979836	0.0160605	0.0209663	0.016263	0.0201425	0.021694	0.0152068	0.0189226	0.0209741	0.0158769	0.0265026	0.0324722	0.0246361	0.0444472	0.0419349	0.0478562	0.0507026	0.0393264	0.0748927	0.0639703	0.0252496	0.0274643	0.0211822	0.017439	0.0344904	0.0180611	0.0120811	0.0179491	0.0113167	0.00621914	0.0124572	0.0070018	0.00486777	0.00849592	0.0098615	0.0104496	0.00791105	0.0228836
cette	0.0034526	0.00320978	0.00241629	0.00258706	0.00312148	0.00379387	0.00590086	0.00449649	0.00616454	0.00820216	0.0109717	0.0146327	0.0140974	0.0159193	0.0110693	0.0137971	0.017434	0.0162134	0.0203307	0.0197646	0.0400897	0.0311164	0.0349919	0.0734961	0.0651644	0.0570932	0.0557938	0.0560449	0.0486829	0.0401715	0.0356368	0.0285403	0.0238282	0.0193508	0.0249633	0.0164543	0.012266	0.0166786	0.0242563	0.0204493	0.0240939	0.026483	0.0267788
affaire	0.00953682	0.00723456	0.00350803	0.00262161	0.0090933	0.0142464	0.0135977	0.0143638	0.0191518	0.0307459	0.0325662	0.0329278	0.0305554	0.0299328	0.0237129	0.0423411	0.0473363	0.039464	0.0412977	0.0376131	0.0450468	0.0339473	0.0403236	0.0354072	0.0325137	0.0307765	0.0229586	0.0275908	0.0161718	0.0219347	0.0117419	0.01917	0.00807448	0.00687533	0.00759768	0.00462489	0.00692536	0.0139837	0.00821319	0.0166433	0.0182642	0.0218547	0.0675129
parce	0.010099	0.00895414	0.00448983	0.00309702	0.00531101	0.0100821	0.0153224	0.0176144	0.0199405	0.0231461	0.026776	0.0236641	0.0209015	0.0302069	0.0230494	0.032209	0.039135	0.0407109	0.0474042	0.0447479	0.0525593	0.043664	0.0512187	0.0374122	0.0331154	0.0329864	0.0245475	0.0324304	0.0170017	0.0205353	0.0258761	0.0226263	0.0174182	0.0144815	0.011289	0.0108627	0.0103261	0.0109003	0.00979942	0.012702	0.012722	0.0157198	0.0329442
que	0.0199511	0.00966062	0.00428889	0.00423392	0.0055241	0.00831427	0.00993169	0.0113332	0.0135557	0.0132373	0.0126319	0.0111012	0.0115785	0.012294	0.0107216	0.0138043	0.0153577	0.0138831	0.023909	0.0229431	0.0397499	0.0434683	0.0688581	0.0826825	0.115495	0.0698259	0.0599037	0.0575072	0.0151064	0.0219895	0.012911	0.0171696	0.012873	0.0147339	0.0122707	0.00885049	0.00592795	0.0109502	0.00675358	0.0111227	0.0148424	0.0162359	0.0325173
c'	0.0475408	0.0175089	0.0119026	0.0135472	0.013235	0.0128169	0.0118409	0.0141596	0.012978	0.0107507	0.0106385	0.00844495	0.0095354	0.00978279	0.00887333	0.00890202	0.00914896	0.0132862	0.0149003	0.0162461	0.0253549	0.0280448	0.0514046	0.077881	0.0408738	0.0259241	0.0199583	0.0188281	0.0143915	0.0203983	0.0122038	0.0157182	0.0135673	0.0135549	0.0359562	0.0287085	0.0349618	0.0388199	0.0369716	0.0383777	0.0424718	0.0408417	0.0487481
est	0.0288132	0.0152468	0.0112713	0.00788515	0.00812912	0.012099	0.019187	0.0191755	0.0204181	0.0203174	0.020306	0.0169343	0.0171475	0.0141594	0.00952848	0.0129932	0.0139837	0.0149409	0.0149151	0.0231872	0.0187128	0.0193586	0.0216236	0.0221209	0.0162833	0.0181293	0.0121464	0.0136327	0.00730863	0.0163558	0.0128405	0.0323608	0.0427674	0.0432079	0.0394562	0.041292	0.0395725	0.0354521	0.0385814	0.0369014	0.042007	0.0428659	0.0663844
