 	w	a	l	á	a	b	ω	n	g	ώ	e	b	é	e	y	á	f	u	l	ú	m	ó	i	b	v	é	é	l	á	l	ώ	s	ω	</S>
il	0.151297	0.185201	0.185527	0.20765	0.058191	0.0510291	0.0205056	0.0285867	0.0155154	0.0069288	0.00359636	0.00362288	0.002912	0.00163667	0.00146524	0.00131967	0.00135006	0.00204905	0.00214805	0.00372987	0.00701598	0.00688872	0.00832828	0.00614626	0.00492852	0.00432769	0.00398094	0.00371901	0.00349518	0.00369847	0.00268211	0.00346915	0.00372013	0.00333836
se	0.00685265	0.00422625	0.0026427	0.00456892	0.00548093	0.0119655	0.021381	0.0416819	0.0324536	0.0594099	0.086697	0.0927064	0.0917626	0.0913761	0.06327	0.0688405	0.0609496	0.022183	0.0221869	0.0147884	0.0115885	0.0200477	0.013951	0.0180549	0.0129925	0.0230904	0.0174341	0.0195161	0.0231432	0.00793883	0.00618022	0.00415105	0.00646803	0.0100198
fait	0.0153973	0.0148578	0.0165435	0.0152405	0.0186698	0.0143258	0.0102383	0.0110472	0.0120645	0.0157653	0.0188258	0.0155898	0.0214235	0.0194849	0.0321783	0.0279383	0.0318906	0.0346259	0.0415607	0.0423219	0.0332999	0.0339683	0.0476698	0.0593519	0.0642481	0.0510085	0.0602724	0.0560754	0.0346512	0.0345704	0.0260559	0.0223456	0.0173246	0.0291682
une	0.0190213	0.0216703	0.0249125	0.0187021	0.0150429	0.0180077	0.0165586	0.0164088	0.0165368	0.0132969	0.0164844	0.0147712	0.0231552	0.0371058	0.0451895	0.0508681	0.044782	0.0424431	0.0338632	0.0291365	0.0493658	0.0378121	0.0430061	0.0388281	0.0443703	0.032394	0.0275679	0.0244628	0.022147	0.0229334	0.0321924	0.0271899	0.0367088	0.0430645
paillasse	0.00933525	0.0140378	0.0119141	0.0081163	0.00593258	0.00547107	0.00818694	0.00808299	0.0115253	0.0161113	0.023617	0.0305732	0.0367225	0.0653252	0.0585595	0.0615883	0.0689903	0.062797	0.0499767	0.0603058	0.0464063	0.0257799	0.0328357	0.0254914	0.0257672	0.0249769	0.0239924	0.0224692	0.0235096	0.0229389	0.0256148	0.0255246	0.0227034	0.0348204
avec	0.00830204	0.010209	0.00877774	0.00703404	0.00601064	0.00762593	0.0156435	0.0147473	0.01478	0.014454	0.0144233	0.0153899	0.0148675	0.0164794	0.0157709	0.015919	0.018281	0.0180354	0.0206385	0.0303499	0.0462755	0.045677	0.045277	0.0448022	0.0470515	0.056654	0.0563243	0.0555436	0.0501419	0.0501397	0.0537015	0.0540354	0.0520855	0.0545518
la	0.00778404	0.0132277	0.0102441	0.00728032	0.00933242	0.0122401	0.0224807	0.0211601	0.0194767	0.0241025	0.0242656	0.0164006	0.020102	0.0196007	0.0241471	0.0288753	0.0260846	0.0290572	0.0309831	0.027537	0.0276514	0.0319681	0.0330917	0.0369371	0.0396768	0.0390439	0.0544074	0.0507219	0.0483812	0.0395586	0.0492003	0.048794	0.0498247	0.056361
balle	0.0243611	0.0270879	0.0269054	0.0232319	0.032977	0.0339421	0.0364801	0.0345697	0.0304667	0.0325344	0.0272745	0.0167648	0.015187	0.0106167	0.00996075	0.0119227	0.0109421	0.0109429	0.0105103	0.0132931	0.0185543	0.0171408	0.0167401	0.0198053	0.0215276	0.0273526	0.0409187	0.0482953	0.0520967	0.0353445	0.0556801	0.0583398	0.0580255	0.0902073
de	0.0286972	0.0200194	0.0300898	0.026469	0.0227403	0.0283186	0.0346118	0.0326307	0.0274689	0.0246513	0.0223228	0.0213137	0.0206844	0.0182212	0.0149801	0.0124342	0.0131052	0.013293	0.0128004	0.0127023	0.0148463	0.0183499	0.0187792	0.022646	0.0218412	0.0274082	0.0441823	0.0454604	0.0491787	0.0587562	0.0524585	0.0583045	0.0523843	0.0778499
riz	0.0169105	0.0108322	0.0180236	0.0189802	0.018733	0.0193296	0.0193321	0.0193479	0.0193606	0.0194056	0.0194277	0.0194293	0.019278	0.0191301	0.0190774	0.0192375	0.019187	0.0191585	0.0185313	0.0179258	0.0186266	0.0214778	0.0223809	0.025008	0.0263462	0.0277056	0.0454832	0.051398	0.0613068	0.0584889	0.068394	0.067979	0.0660605	0.0687066
</S>	0.0151175	0.0131004	0.0163178	0.0214787	0.0194298	0.027937	0.0280205	0.0281392	0.02784	0.0276858	0.0283213	0.0288275	0.0291147	0.031899	0.0358163	0.0348812	0.0335785	0.0318211	0.0256346	0.0187621	0.0204072	0.0223272	0.0244959	0.0247569	0.0254536	0.020411	0.0285579	0.0220368	0.0378804	0.0222215	0.0390861	0.0318397	0.064154	0.092649
