 	l	a	l	ε	k	á	a	a	k	ώ	m	á	a	y	í	n	a	</S>
pendant	0.142378	0.0849552	0.0454544	0.0515331	0.0337256	0.0296776	0.0322003	0.0520671	0.0580959	0.0625923	0.0639107	0.0665453	0.0671763	0.0510683	0.0492561	0.0296822	0.0403802	0.0393012
la	0.0785329	0.0302156	0.0167241	0.0214888	0.0287564	0.0474505	0.0288246	0.0302306	0.0435331	0.0564783	0.0641545	0.0739606	0.059874	0.0701272	0.0524634	0.0396965	0.075713	0.181776
grande	0.120003	0.0934898	0.0861377	0.0762342	0.0634857	0.0849314	0.0514292	0.041838	0.0360016	0.0294313	0.0450203	0.0398758	0.0351507	0.0310822	0.0290641	0.0387169	0.0407722	0.057336
saison	0.0154305	0.0227304	0.0220129	0.0408649	0.0337356	0.0263458	0.0264402	0.0375774	0.0475345	0.0560704	0.0798729	0.0716959	0.0816183	0.0915601	0.0808369	0.0792423	0.073474	0.112957
des	0.0400353	0.0390447	0.039744	0.0468928	0.0469388	0.0433769	0.0457154	0.0482391	0.0467242	0.0509358	0.0560291	0.0640548	0.0434796	0.0480959	0.0516341	0.0719418	0.0822815	0.134836
pluies	0.0412817	0.0396051	0.0342968	0.0337554	0.0466327	0.045662	0.0475518	0.060391	0.0645373	0.0695611	0.0846962	0.0889073	0.0631132	0.045978	0.0494481	0.0531004	0.0597394	0.0717424
les	0.0368751	0.0514898	0.0526599	0.0571106	0.0587838	0.0462322	0.0432519	0.0499058	0.0497971	0.0445901	0.0431625	0.0491639	0.0325111	0.073897	0.0504005	0.0545876	0.092028	0.113553
forêts	0.0564786	0.0512767	0.0433513	0.0382204	0.0399396	0.0367691	0.0244746	0.0297096	0.0411269	0.0429558	0.0543556	0.0622015	0.0577641	0.0929933	0.0626781	0.0657217	0.0900899	0.109893
marécageuses	0.0370931	0.041437	0.0415539	0.0413853	0.0426725	0.0408569	0.0399521	0.0386152	0.0406661	0.0358188	0.0371195	0.0515678	0.0520198	0.0553393	0.0717707	0.092579	0.105819	0.133734
deviennent	0.0559581	0.0512153	0.0497421	0.0426238	0.0429925	0.0395829	0.0265243	0.0171406	0.0147221	0.0102799	0.0117172	0.0134082	0.0243111	0.0489788	0.0933344	0.116402	0.1503	0.190766
inondées	0.0409609	0.0379284	0.037884	0.0382027	0.0363233	0.0372026	0.0357755	0.0288222	0.0293936	0.0199986	0.0205088	0.0244342	0.0402384	0.0706752	0.103175	0.116171	0.126778	0.155528
</S>	0.0835413	0.0793793	0.0787911	0.0762903	0.0561809	0.0498035	0.0363052	0.021774	0.0160259	0.0118629	0.0136996	0.0153769	0.0251006	0.0441088	0.0603385	0.0948062	0.122591	0.114024
