 	w	a	l	á	a	s	i	á	t	s	a	n	g	í	s	á	k	ú	b	h	á	y	á	w	a	y	á	n	g	ω	n	g	ω	y	á	n	d	é	e	</S>
elle	0.0907622	0.217575	0.163373	0.207641	0.0437151	0.0473376	0.0321726	0.017573	0.0113839	0.00461961	0.00467477	0.00487828	0.00423256	0.0043413	0.00456581	0.00489217	0.00718163	0.00451822	0.00512136	0.00692223	0.00944974	0.0100619	0.00916357	0.0084437	0.00367761	0.00495433	0.00623506	0.00486961	0.00500428	0.00476669	0.00519948	0.00443769	0.00508933	0.00588582	0.00578347	0.00431224	0.0040909	0.00398594	0.00353235	0.00357479
cultive	0.00471159	0.00289794	0.00563877	0.00619389	0.0138402	0.0218772	0.0197613	0.0333433	0.0312464	0.0333213	0.0356115	0.0379074	0.0221232	0.0217194	0.0264819	0.0486539	0.0482755	0.041547	0.0780749	0.0663214	0.0769442	0.0789119	0.0448945	0.0370047	0.0122796	0.0042177	0.0233736	0.0138828	0.00516423	0.00386832	0.00892765	0.00700537	0.0189284	0.0218068	0.00701702	0.00311511	0.00644926	0.00598316	0.00990561	0.0107721
les	0.00928609	0.0206908	0.0182214	0.0197466	0.016204	0.0110048	0.00771858	0.0104818	0.00962306	0.017072	0.03139	0.0267864	0.0259186	0.0315329	0.0358052	0.0334093	0.0348683	0.041617	0.0549354	0.0623535	0.0683854	0.063899	0.0628768	0.0391854	0.0180544	0.0199405	0.0274341	0.0179785	0.014234	0.00940053	0.0146528	0.0167785	0.014796	0.0173777	0.0166489	0.010632	0.00947878	0.0105092	0.0178922	0.0111793
aubergine	0.00355681	0.00349294	0.00433891	0.00475386	0.00566584	0.00426656	0.00371157	0.0043771	0.00632894	0.00971124	0.0133028	0.0109865	0.028961	0.0256357	0.0131507	0.0210265	0.0196931	0.0335027	0.0397716	0.0273539	0.0299166	0.0208695	0.0185968	0.0316153	0.0278944	0.0345591	0.034252	0.056623	0.0623685	0.0602513	0.034726	0.0862559	0.0551598	0.0331638	0.0329268	0.014188	0.0184416	0.0155026	0.0235421	0.0255585
dans	0.0041044	0.00377551	0.00586058	0.00507847	0.00644526	0.00703447	0.00607933	0.00888463	0.0172388	0.0230783	0.0166992	0.0174058	0.0267611	0.0207173	0.0229753	0.0224745	0.0207233	0.0297653	0.023913	0.0238374	0.0298282	0.0236511	0.0268579	0.0228887	0.0106453	0.0087125	0.0265485	0.0299108	0.0103566	0.00827319	0.0122182	0.0209013	0.0426191	0.0354961	0.0525051	0.0295093	0.0588678	0.0534772	0.0560705	0.127811
son	0.0557246	0.0659401	0.0690003	0.0625639	0.0758567	0.0424224	0.0363137	0.0372652	0.0338703	0.0391823	0.0364173	0.0425009	0.0590477	0.0490514	0.0584511	0.0428704	0.0360637	0.0279047	0.0158416	0.0149054	0.0157504	0.00922852	0.00394066	0.00246456	0.00321732	0.00323479	0.0033978	0.00320088	0.00258686	0.00243477	0.00294344	0.00222748	0.00227396	0.00724397	0.00709124	0.0044778	0.00722659	0.00348513	0.00381767	0.00856245
jardin	0.0102588	0.0100474	0.0106862	0.0104718	0.0100648	0.00986017	0.0101772	0.0110781	0.0111178	0.0133392	0.0133071	0.0132555	0.0218638	0.0201358	0.0222667	0.0187138	0.0157042	0.0205049	0.0175497	0.012326	0.0156469	0.0110941	0.0116513	0.0120933	0.0118663	0.0148362	0.0217586	0.0475366	0.0335778	0.0248743	0.0222163	0.0332186	0.0477282	0.0458974	0.0539961	0.050761	0.0637014	0.0547549	0.0578386	0.0822232
de	0.00460861	0.00517198	0.00705479	0.00799063	0.0110286	0.0144191	0.0111643	0.0155955	0.0185816	0.0253898	0.0251635	0.0166621	0.0237237	0.0219724	0.0206322	0.021222	0.0149896	0.0181121	0.0181166	0.0121172	0.0156428	0.0122308	0.0132679	0.0137757	0.0110181	0.0144439	0.00662758	0.0208655	0.0212134	0.0208537	0.0127702	0.0193829	0.0235059	0.0179698	0.0310281	0.0435689	0.046654	0.0877095	0.105699	0.148057
case	0.0107975	0.0116925	0.0118795	0.0131451	0.0124555	0.0144448	0.00868149	0.00613696	0.00606417	0.00645191	0.00619641	0.00512529	0.0052429	0.00511108	0.00559093	0.00801484	0.00771922	0.0120989	0.0113554	0.00686988	0.0074852	0.00576037	0.00537296	0.00699461	0.0141516	0.02372	0.0208852	0.0470186	0.0276726	0.0361684	0.0469781	0.0528674	0.060679	0.0464542	0.0626943	0.069982	0.0526431	0.0686152	0.0775694	0.0912135
</S>	0.0112157	0.0113201	0.0114996	0.0118485	0.0198009	0.0244684	0.0192869	0.0146611	0.011852	0.0129077	0.011741	0.015937	0.0170451	0.0135587	0.0161922	0.0236104	0.0243188	0.030448	0.0308096	0.0243585	0.022536	0.0124621	0.00747836	0.00627643	0.00485425	0.0100785	0.00512589	0.0281892	0.0229345	0.0231586	0.0244969	0.0238995	0.0345608	0.0263442	0.0528275	0.0453961	0.0272847	0.0359198	0.0914868	0.137809
