 	m	w	á	n	a	y	a	w	a	a	d	í	o	k	i	n	d	i	a	n	y	ω	m	b	ώ	o	n	έ	</S>
son	0.0032263	0.00595307	0.0042503	0.00304883	0.00236633	0.00190647	0.00343485	0.0035221	0.00555001	0.00582155	0.0266071	0.0532783	0.0628707	0.0889365	0.103826	0.137331	0.0562724	0.0977149	0.0647894	0.0595702	0.0539095	0.0305689	0.0246838	0.0165489	0.0164765	0.0157487	0.0154915	0.0168606	0.0194352
fils	0.0267612	0.0533553	0.0762232	0.0901792	0.195905	0.1121	0.111643	0.0624801	0.10801	0.105632	0.0165205	0.0122544	0.00979399	0.00706989	0.00164923	0.000420971	0.001016	0.00101166	0.00187652	0.00253091	0.00153746	0.000344276	0.000482816	0.000338054	0.000345209	0.000257384	0.000116793	0.000103637	4.17741e-05
est	0.0432687	0.0590183	0.0434114	0.0623561	0.0452171	0.0379537	0.0600404	0.0664946	0.0421468	0.0359405	0.0438482	0.0551984	0.0628569	0.043789	0.0337245	0.0229517	0.0503748	0.0165436	0.01077	0.0307667	0.0248135	0.0267123	0.0129629	0.0153716	0.00984205	0.00717717	0.0101574	0.0106847	0.0156071
un	0.0220072	0.0309822	0.0156753	0.0229578	0.0226291	0.0279424	0.0546066	0.0486075	0.0335866	0.0385661	0.0160534	0.020156	0.0372543	0.0394178	0.0483725	0.0835221	0.0558301	0.0367257	0.0401432	0.0861037	0.0505523	0.0374283	0.0275423	0.0235616	0.0134194	0.0128715	0.0125808	0.0221417	0.0187627
grand	0.0339447	0.0492368	0.0723768	0.0418205	0.0761114	0.0284763	0.0473158	0.0358032	0.0465775	0.0529838	0.0227098	0.0186213	0.020406	0.0142448	0.0225734	0.031902	0.0341546	0.0344735	0.0329483	0.0268457	0.0274225	0.0265188	0.0249832	0.0242471	0.0260958	0.031186	0.0275963	0.0310947	0.0373293
pêcheur	0.0319761	0.0319642	0.041507	0.0414087	0.0434646	0.0288661	0.0320787	0.0326627	0.0328999	0.033111	0.0456844	0.0409191	0.0415585	0.0283232	0.0372207	0.0502853	0.0325058	0.0366241	0.0317758	0.0244825	0.0238077	0.0242582	0.0225214	0.0167861	0.0188	0.0304651	0.0220399	0.0443047	0.0776989
de	0.0575121	0.0654073	0.0604454	0.0403228	0.0414873	0.0222672	0.0253876	0.0308335	0.0262742	0.0264659	0.0458197	0.0411996	0.0505806	0.0458317	0.0335692	0.0526428	0.0935112	0.0723979	0.0358562	0.014568	0.0143476	0.0121795	0.0183541	0.00865066	0.00737239	0.0108084	0.0107799	0.0143709	0.0207563
protoptère	0.0346005	0.0304847	0.0234869	0.0180003	0.0172804	0.011745	0.0166152	0.0119896	0.0132796	0.0109044	0.0209269	0.0189408	0.0231767	0.0239292	0.0236692	0.0175242	0.0201361	0.0193508	0.0257383	0.0233785	0.0390127	0.041036	0.0562976	0.0894757	0.0670507	0.0744639	0.0727784	0.0645916	0.0901359
s	0.0541024	0.0463196	0.0294977	0.0181394	0.0175126	0.0112426	0.0103154	0.00997354	0.0134977	0.0133624	0.0124704	0.011024	0.0122941	0.0102912	0.00931311	0.0098881	0.0122709	0.0106194	0.0190335	0.0247531	0.0452098	0.0508231	0.0542232	0.087312	0.0937681	0.101404	0.0746577	0.0648107	0.0718704
à	0.0447636	0.0394606	0.0319677	0.0178388	0.0136419	0.0161035	0.0136234	0.0159454	0.00904221	0.00788014	0.00962268	0.0118872	0.0201263	0.0160119	0.0135986	0.0233213	0.0209751	0.0260753	0.0396737	0.0617923	0.0636966	0.0633668	0.0628041	0.063475	0.058048	0.0582027	0.058849	0.0571682	0.0610379
l'	0.0549531	0.0505498	0.0435203	0.027986	0.0214365	0.0137666	0.0144213	0.0144755	0.00852894	0.00839409	0.00799713	0.00496832	0.00517773	0.00494634	0.00681545	0.00630489	0.007153	0.0149949	0.0338338	0.0397861	0.0537411	0.0625017	0.063518	0.0711658	0.0681008	0.0707389	0.0712179	0.0725653	0.0764408
harpon	0.0340942	0.0302901	0.0217867	0.0107105	0.010709	0.0146478	0.0109739	0.0126755	0.00672421	0.00610262	0.00461402	0.0028405	0.00902947	0.00569416	0.00719892	0.0161775	0.0082814	0.0153428	0.0258177	0.0291334	0.0477192	0.0881508	0.0844622	0.0862273	0.0793529	0.0753319	0.0779241	0.0896349	0.088352
</S>	0.0703756	0.0516159	0.0354921	0.0197763	0.0174337	0.0148922	0.0142689	0.0119247	0.00988377	0.0105195	0.0122187	0.0126354	0.0148603	0.0130765	0.00701955	0.0104437	0.016821	0.012687	0.0192097	0.0373067	0.0402461	0.0372833	0.0352343	0.0657924	0.0577853	0.0758289	0.0894419	0.0664683	0.119458
