 	n	g	á	í	b	h	í	l	a	t	ω	n	d	ω	m	í	n	g	á	á	m	b	é	á	l	i	s	á	l	a	l	á	n	g	o	n	d	a	</S>
j'	0.0614138	0.180744	0.272584	0.189244	0.0637145	0.00488438	0.00418497	0.00291012	0.00240838	0.00228767	0.00266986	0.0041452	0.00645285	0.00910667	0.00729017	0.0121492	0.0154603	0.0128493	0.0104786	0.00883042	0.0126622	0.0106474	0.0119806	0.00498947	0.00774172	0.00709018	0.00976394	0.00330555	0.00364954	0.0043321	0.0049787	0.00592166	0.00647849	0.00586464	0.00597101	0.00622158	0.005631	0.00379845	0.00516284
ai	0.0443974	0.0121708	0.0114592	0.0170783	0.0157929	0.0461101	0.0803605	0.102071	0.0795183	0.062695	0.0492537	0.0494499	0.0363581	0.0475021	0.0495457	0.0291783	0.0176135	0.0236442	0.0226826	0.0148675	0.00423805	0.0050468	0.00601298	0.0272119	0.00763653	0.00780129	0.00967863	0.00815648	0.015322	0.0103151	0.00539264	0.0144052	0.00950007	0.012923	0.00394888	0.00589102	0.00882423	0.0105119	0.0154337
maintenant	0.0286058	0.0478681	0.0527761	0.0849308	0.085072	0.0839473	0.0479601	0.0233611	0.0296099	0.0529561	0.0364871	0.0250437	0.030874	0.0344524	0.0286457	0.0101487	0.0205961	0.0103318	0.0201572	0.0129354	0.012554	0.0112575	0.00726368	0.0138044	0.0098653	0.0057039	0.00616074	0.00801414	0.0168604	0.00874585	0.00771842	0.0102448	0.0104685	0.0141604	0.0206043	0.0162697	0.0171991	0.0216929	0.0146527
des	0.0404506	0.0430023	0.0531221	0.0510142	0.0532343	0.0495189	0.0275477	0.0221516	0.0370667	0.0456878	0.0500055	0.0247495	0.0507196	0.0383216	0.0326376	0.0110037	0.01371	0.0138514	0.0173117	0.00868612	0.0109315	0.00849428	0.00758133	0.0202043	0.0137609	0.0090499	0.00821251	0.0113779	0.0110062	0.0135917	0.00793377	0.011972	0.0159676	0.0199469	0.0251565	0.0262048	0.0252292	0.030948	0.0386381
calosités	0.0214205	0.0122882	0.0142225	0.00952487	0.0107374	0.0120602	0.0128625	0.0222246	0.0348808	0.0272833	0.0227737	0.0159639	0.0166898	0.0138749	0.0230203	0.0298241	0.0200847	0.0249504	0.0230008	0.0215175	0.0214716	0.0258975	0.0446312	0.0316277	0.0407574	0.0402981	0.041757	0.0372781	0.0391213	0.0294874	0.0402558	0.0317471	0.0201117	0.0191647	0.0205545	0.0232379	0.0275698	0.025812	0.0500142
à	0.016324	0.00850099	0.00508237	0.00376671	0.00653106	0.0112582	0.0120177	0.0157678	0.0720829	0.0520005	0.0182227	0.0185396	0.0216729	0.0312874	0.0294647	0.0270209	0.0131035	0.0226815	0.0221157	0.0222681	0.014417	0.0108686	0.014138	0.022265	0.0198247	0.0209587	0.0186259	0.022041	0.0124243	0.023846	0.0277906	0.0328853	0.0379249	0.0413511	0.0352629	0.0442859	0.0412991	0.0543083	0.0757734
la	0.0452393	0.022662	0.0148733	0.0153923	0.0256254	0.0429926	0.0329694	0.0349286	0.075982	0.08144	0.0478169	0.0339252	0.0345962	0.0423146	0.0328297	0.0167611	0.0141382	0.0196909	0.0206979	0.023493	0.0114931	0.0167671	0.0126165	0.0109209	0.0143763	0.0134426	0.0118433	0.0173846	0.0170666	0.00963026	0.0129048	0.0157363	0.0100184	0.0119727	0.0165099	0.0197708	0.0240249	0.0214155	0.0537369
main	0.0143668	0.0155447	0.0140005	0.0145049	0.00844932	0.00499713	0.00515325	0.00623937	0.0129368	0.0116242	0.00792449	0.0101048	0.0121996	0.017536	0.0210603	0.0272866	0.0213919	0.0207026	0.0227007	0.0158387	0.0198314	0.00996048	0.012457	0.0198777	0.0201122	0.0268385	0.0363833	0.0266685	0.0229494	0.0399354	0.0250826	0.041234	0.0561392	0.0591878	0.0481619	0.0545606	0.0453545	0.0581269	0.0925762
à	0.0242554	0.0237586	0.0183323	0.023253	0.0109415	0.00928203	0.00725807	0.00735185	0.0146977	0.0115134	0.0108788	0.0113042	0.0139832	0.01855	0.0177236	0.0115614	0.00856134	0.017303	0.0186737	0.0171719	0.0151804	0.0154447	0.0164297	0.0211961	0.0191798	0.0253513	0.0221841	0.031582	0.0231166	0.0229076	0.0222022	0.0310704	0.0362518	0.0447211	0.0547999	0.0672074	0.0605197	0.0619194	0.112381
cause	0.0962554	0.0632387	0.0613068	0.0664392	0.0564259	0.0242078	0.00948713	0.0120968	0.0255346	0.0426167	0.0228273	0.0108044	0.0138862	0.017404	0.0125267	0.0067463	0.00770847	0.0126004	0.0167262	0.0164865	0.0195211	0.0187485	0.0230777	0.0166308	0.0170818	0.022916	0.0177124	0.0201884	0.0207225	0.0130906	0.0246281	0.0218129	0.012719	0.0136091	0.0190546	0.0231677	0.0252881	0.0210101	0.053695
des	0.0599714	0.0258619	0.0274953	0.0306277	0.0442201	0.0469625	0.0351324	0.035924	0.0374762	0.0489503	0.0383141	0.0210234	0.022422	0.0206326	0.0171609	0.00770119	0.010448	0.0145726	0.0164969	0.0103107	0.0125625	0.0113373	0.0118012	0.0201822	0.0143835	0.0138949	0.0106442	0.0135596	0.0137553	0.0113376	0.0133046	0.0164942	0.0176554	0.0224884	0.0275499	0.0368101	0.0369465	0.0373141	0.0862742
travaux	0.0239291	0.0201559	0.0295534	0.0250978	0.0235364	0.0123002	0.00734805	0.00948209	0.0163005	0.0138948	0.0115022	0.0126846	0.0190676	0.0205629	0.02587	0.0119032	0.0138974	0.0171817	0.023611	0.00755504	0.0190093	0.00350154	0.00556716	0.0264946	0.0162721	0.0191893	0.0198488	0.0152522	0.0151688	0.0222775	0.0117755	0.021829	0.0400742	0.0515685	0.0621415	0.0513812	0.0359337	0.0627593	0.154522
