 	w	a	l	á	a	w	á	m	í	n	á	t	s	í	n	a	á	m	i	k	á	m	b	á	b	e	a	b	ó	k	u	l	u	</S>
il	0.0779667	0.130342	0.0955096	0.295582	0.0948069	0.0357808	0.03677	0.0247792	0.00795506	0.00941743	0.0112706	0.00650043	0.00678643	0.0038745	0.0120759	0.0104879	0.0100029	0.00756372	0.00558771	0.00425458	0.00372397	0.00376244	0.00471417	0.00687292	0.00806045	0.0103513	0.00874337	0.00919568	0.0100094	0.00989488	0.0100218	0.0100513	0.0100714	0.00721188
se	0.041584	0.0145651	0.0156601	0.0136635	0.0175873	0.0385563	0.039391	0.0592621	0.0510609	0.104045	0.0469914	0.0553085	0.0827271	0.0106072	0.0269051	0.00333635	0.0059134	0.00974038	0.00460867	0.0166719	0.0314285	0.0235613	0.0378048	0.032182	0.0320767	0.0370386	0.0239639	0.0257152	0.0233833	0.0151621	0.0118212	0.00952574	0.0142545	0.0238968
plaint	0.024392	0.0248178	0.0254565	0.0226027	0.024168	0.019526	0.024298	0.0131404	0.0219697	0.024671	0.0231303	0.031197	0.0232878	0.0164481	0.0209565	0.0204808	0.0340205	0.0361829	0.0746235	0.0452382	0.0762256	0.0477515	0.0573746	0.036155	0.0459662	0.0312677	0.0277073	0.0233005	0.0200833	0.0192369	0.0164741	0.0178259	0.0138009	0.0162228
parce	0.0114231	0.0140246	0.0116942	0.0186238	0.0158378	0.0214938	0.0109331	0.0202066	0.0234896	0.0246246	0.0273013	0.0338901	0.0520556	0.059335	0.0537355	0.0477947	0.0404934	0.0382787	0.061611	0.0465851	0.0474382	0.0483867	0.0468051	0.0345744	0.021706	0.0160809	0.0127674	0.0104749	0.00975257	0.0128158	0.0151746	0.0237838	0.0264873	0.0403208
qu'	0.0196762	0.0300188	0.0232018	0.0299192	0.0121763	0.0216991	0.0098747	0.0300195	0.0236833	0.0202258	0.0189541	0.0261639	0.0350357	0.0314574	0.0308826	0.0430318	0.0515773	0.0518566	0.0744941	0.0606224	0.0567422	0.0481736	0.0342991	0.0312556	0.026015	0.0153643	0.0172571	0.0149093	0.0133582	0.0173328	0.0140369	0.0169161	0.020182	0.0295873
il	0.0241796	0.0283398	0.0298479	0.027837	0.0126445	0.0108115	0.00857876	0.0142709	0.0119174	0.0146038	0.0115104	0.0156742	0.0186767	0.0220364	0.020817	0.0304452	0.0523962	0.0574488	0.0685437	0.0507511	0.04168	0.0460499	0.0418007	0.0343832	0.0310333	0.0238669	0.0288889	0.0258923	0.026201	0.0295808	0.0284092	0.0304803	0.0329627	0.04744
n'	0.0144292	0.0149968	0.0140754	0.0143628	0.0169607	0.0248421	0.0158167	0.0274279	0.0233902	0.0278047	0.0260644	0.0194675	0.0298351	0.0204939	0.0275621	0.0323146	0.0317731	0.0377734	0.0492466	0.0475784	0.0281451	0.0481071	0.0257624	0.0210999	0.0210066	0.0195707	0.019772	0.019291	0.0218898	0.0250526	0.0345484	0.0482382	0.0636084	0.0876923
a	0.0105901	0.0129123	0.0107959	0.0124998	0.0121946	0.0228807	0.0158821	0.0250701	0.0241605	0.0244572	0.0249542	0.0159169	0.0170091	0.0175537	0.015733	0.0190582	0.0179208	0.025272	0.035416	0.039862	0.0442583	0.043392	0.0439513	0.0375466	0.0314091	0.0470573	0.0327085	0.0302162	0.032754	0.0365849	0.0418952	0.0483511	0.0550974	0.0746387
pas	0.050003	0.0282948	0.0237409	0.0248847	0.0277003	0.0221271	0.0174026	0.0160888	0.013618	0.0164245	0.0129415	0.0142172	0.0121434	0.0167504	0.0119307	0.0138332	0.0165274	0.0160753	0.0196383	0.0273898	0.066029	0.0279909	0.0539311	0.0468535	0.0264995	0.0317026	0.0221056	0.01691	0.0235717	0.0278293	0.0427673	0.0553923	0.0657028	0.0909824
d'	0.022211	0.0198059	0.0172284	0.0218804	0.0258294	0.0258826	0.0250588	0.0168419	0.0157314	0.0139412	0.012477	0.0119692	0.0074997	0.0132072	0.016882	0.0241947	0.0188927	0.0178113	0.0187622	0.017575	0.0271403	0.018498	0.0305235	0.031876	0.0214228	0.0234677	0.0246122	0.0271497	0.0357422	0.0451972	0.0589541	0.0682012	0.091543	0.13199
argent	0.0158724	0.0159043	0.0136311	0.0172221	0.0211771	0.0214246	0.0212995	0.0139293	0.0143266	0.0132001	0.0107806	0.0112037	0.00637547	0.0131702	0.0176638	0.0250611	0.0204754	0.0209098	0.0175349	0.0197372	0.0209264	0.0200674	0.0269319	0.0283863	0.0225953	0.0262816	0.0249922	0.0316667	0.042617	0.0499461	0.0669277	0.074382	0.0991539	0.134226
</S>	0.0207798	0.0192687	0.0183713	0.019168	0.0236922	0.0243409	0.0296294	0.0300549	0.0344285	0.0280555	0.0199616	0.0117873	0.00897124	0.0122894	0.0138654	0.022625	0.0134776	0.0110998	0.0132057	0.012622	0.0173711	0.0148904	0.0177394	0.0200377	0.0207474	0.0305466	0.0350448	0.0371666	0.0448653	0.047497	0.0515904	0.0620512	0.0736427	0.139115
