 	e	l	ω	ω	l	í	y	é	é	l	ω	í	b	á	a	n	g	á	m	w	á	n	a	á	d	í	n	y	i	n	g	a	y	á	b	a	r	e	k	a	á	</S>
de	0.00877022	0.0125917	0.0115216	0.0117776	0.0164485	0.0147849	0.0280956	0.0244751	0.0432007	0.0323958	0.0445441	0.0493051	0.029822	0.0370687	0.0395989	0.0385428	0.0228779	0.0246426	0.0237838	0.0170319	0.0184864	0.0150234	0.0152416	0.0113429	0.00824873	0.00944758	0.0103808	0.0127464	0.00683104	0.00705684	0.0109025	0.0149161	0.0126946	0.0181706	0.01994	0.0294171	0.0448655	0.0465956	0.063518	0.0398207	0.0289722	0.0241016
la	0.186235	0.076233	0.0622558	0.0286042	0.0239731	0.018904	0.0145419	0.0139685	0.0149256	0.0122913	0.0127849	0.015558	0.0353079	0.0292841	0.0434954	0.0606891	0.0232988	0.00952156	0.0100026	0.0155359	0.0243267	0.00579446	0.00353191	0.0020878	0.0025087	0.00443855	0.00577246	0.00511689	0.00265122	0.0040465	0.00592325	0.00997167	0.0168205	0.0487433	0.0330177	0.0608723	0.0205339	0.00577869	0.0139025	0.0079741	0.00220836	0.00656799
manière	0.0368269	0.0522483	0.058212	0.0557026	0.0636274	0.0608935	0.0379048	0.0214055	0.0146721	0.0222075	0.0187185	0.0284809	0.0462633	0.0219282	0.0307854	0.0264155	0.0307258	0.0161912	0.0122573	0.010413	0.00611323	0.0167575	0.0122095	0.0114132	0.00876286	0.0137533	0.0124662	0.00624364	0.0113915	0.0128704	0.00471352	0.0157932	0.021671	0.0267646	0.0197202	0.0188139	0.0303171	0.0221156	0.0214255	0.0170683	0.011342	0.0123939
dont	0.0146507	0.0108892	0.0140635	0.0122336	0.0115005	0.0113232	0.00878127	0.0135743	0.00794526	0.00927849	0.00984066	0.0103195	0.0149518	0.0136282	0.0155446	0.00784507	0.0184901	0.0217147	0.0212378	0.0116098	0.0272422	0.0411483	0.0613646	0.0447209	0.0764355	0.0960758	0.0589395	0.0340908	0.127054	0.0547325	0.0195381	0.0286133	0.0145758	0.0149661	0.00872315	0.00547748	0.00326633	0.00391161	0.00462619	0.00461769	0.00320422	0.00725343
ils	0.0149694	0.0226071	0.0251201	0.0423235	0.0730567	0.0594083	0.0461863	0.0525763	0.0347311	0.0437469	0.0318627	0.0301399	0.0312087	0.0189098	0.019293	0.0169767	0.0142183	0.0249416	0.0224986	0.0153	0.04914	0.0225494	0.0415899	0.0271559	0.0291386	0.0330674	0.0221716	0.0140593	0.0156669	0.00689344	0.0145595	0.0104395	0.00485907	0.00486307	0.00512552	0.00371986	0.00324078	0.0018332	0.00293684	0.00472301	0.0071851	0.0350071
ont	0.0396601	0.0312922	0.02522	0.029792	0.0233343	0.0274637	0.0307719	0.036871	0.0330542	0.0413036	0.0461429	0.0376269	0.0337169	0.0246759	0.0275472	0.0217877	0.0199799	0.0208924	0.0234582	0.0166181	0.0194264	0.0190416	0.0163695	0.0149168	0.0170463	0.0123836	0.0115728	0.0095426	0.00562674	0.00569761	0.00742868	0.00922312	0.00450614	0.00948201	0.0134808	0.0146165	0.0220722	0.0197001	0.0294366	0.0387239	0.0489644	0.0595326
ensorcelé	0.0538563	0.0388158	0.0339976	0.0335093	0.0254301	0.0290814	0.0287367	0.0294874	0.0379845	0.0573607	0.0597517	0.0618052	0.0947437	0.0587355	0.0439206	0.0409027	0.0228787	0.0149092	0.0154706	0.0134988	0.014707	0.00833082	0.00900474	0.00598163	0.0061924	0.00550843	0.00461125	0.00371821	0.00225405	0.0024869	0.00391183	0.0042786	0.00305531	0.00430839	0.00526304	0.00675379	0.0104066	0.00934331	0.0164625	0.0191865	0.0230795	0.0362787
mon	0.0396372	0.0375947	0.0417585	0.0465674	0.0425538	0.0263774	0.0201827	0.0169116	0.0335058	0.0383605	0.0383489	0.0507453	0.0940294	0.0722341	0.0563502	0.0616953	0.0226184	0.010708	0.0134848	0.0068844	0.00652239	0.00480134	0.00347882	0.00341973	0.00278962	0.00176424	0.00212703	0.00133933	0.00092504	0.000792826	0.00211531	0.00149767	0.00100072	0.00192219	0.00328891	0.00332695	0.00797524	0.00812945	0.00678094	0.011961	0.0358467	0.117646
fils	0.0865467	0.058853	0.0497492	0.0493829	0.0298366	0.0236555	0.0199959	0.0302292	0.0182735	0.0290318	0.0297268	0.0274324	0.0280164	0.030959	0.0365859	0.00979361	0.018158	0.0233544	0.0271786	0.0221087	0.0140724	0.0176675	0.0176189	0.0140703	0.0174387	0.0143195	0.0114343	0.0108741	0.00729819	0.00580643	0.00190402	0.00199379	0.00156179	0.00161681	0.00353351	0.00364429	0.00658885	0.00605146	0.0174004	0.0353309	0.0195163	0.12139
ils	0.140828	0.0868333	0.0830695	0.0662391	0.0401881	0.0190431	0.0158695	0.0145285	0.0140493	0.0180495	0.0220611	0.0224921	0.0205787	0.0194544	0.0192905	0.015815	0.0211279	0.0194091	0.0281908	0.0205917	0.0250945	0.006443	0.00508147	0.00400167	0.00471023	0.00564059	0.00473148	0.0032884	0.00245588	0.00424369	0.00394929	0.00520821	0.0035667	0.00653769	0.00839115	0.00830169	0.0147243	0.0117615	0.0224103	0.0312084	0.0325977	0.0779435
