 	o	k	ú	n	y	u	p	ώ	ω	é	t	s	ω	y	é	é	s	ε	r	έ	p	έ	l	ε	m	b	í	n	ω	</S>
mais	0.0249491	0.0318398	0.0193384	0.0221578	0.0159164	0.0139012	0.0134867	0.00961312	0.0139533	0.0137976	0.0163228	0.0221171	0.021923	0.03362	0.0495836	0.071659	0.0613884	0.055641	0.0448507	0.0310035	0.0363972	0.0396499	0.0427476	0.0337566	0.0272841	0.0276159	0.0325492	0.038306	0.0576739	0.0769568
c'	0.134067	0.0754819	0.0849151	0.0323721	0.0128766	0.0166062	0.0193092	0.0342769	0.0526669	0.0693711	0.0703461	0.0522688	0.0683319	0.050446	0.0402536	0.0288351	0.0313212	0.0341415	0.0308203	0.0153494	0.0121161	0.00539888	0.00545893	0.00366379	0.0041324	0.00277111	0.00378733	0.00218178	0.00201642	0.00441628
est	0.102375	0.120009	0.124912	0.0645263	0.0641155	0.0353184	0.0290989	0.0216973	0.0209433	0.0308873	0.0330976	0.015226	0.013141	0.0129305	0.0180713	0.0216721	0.0315997	0.0324327	0.0328313	0.0171571	0.0170561	0.0176247	0.0173311	0.0137524	0.0149489	0.00941667	0.010303	0.0119663	0.0147925	0.0307651
toi	0.0248563	0.0348002	0.0349036	0.057349	0.0204	0.0141761	0.0128359	0.0110317	0.0196104	0.0323568	0.0150675	0.0190967	0.0224357	0.0200756	0.0259679	0.0324201	0.0430274	0.0574447	0.0625799	0.0679461	0.0696276	0.050244	0.0574025	0.0527022	0.0318676	0.0150982	0.010635	0.01763	0.0131524	0.0532587
qui	0.0703664	0.0758097	0.0669148	0.0841037	0.0691826	0.0561595	0.0365585	0.0187985	0.012863	0.0260816	0.0178409	0.0176418	0.0176816	0.0137258	0.0113829	0.0145827	0.0168392	0.0202092	0.0239436	0.0279399	0.0292657	0.033163	0.028005	0.0238903	0.0190843	0.00834114	0.0107079	0.0206483	0.0294867	0.0987817
met	0.0478536	0.045739	0.0524129	0.058805	0.0437831	0.0490675	0.0397608	0.0377446	0.0240616	0.0244855	0.0290356	0.0268951	0.0167634	0.0177134	0.0236985	0.0451868	0.0443686	0.0406307	0.0394307	0.0296638	0.0245155	0.0240062	0.0222494	0.0175358	0.0180495	0.0109533	0.0107011	0.0229499	0.0356661	0.0762729
en	0.0659326	0.0382938	0.034653	0.0260969	0.0297483	0.0302028	0.0335459	0.0416106	0.0395233	0.026398	0.0296077	0.0167814	0.0131959	0.0138355	0.0165837	0.0222426	0.032404	0.031235	0.0391668	0.0428299	0.034497	0.0398216	0.0376291	0.0303493	0.0331507	0.0223599	0.019707	0.037484	0.0473584	0.0737553
doute	0.0378123	0.0306744	0.0204782	0.0135468	0.0163279	0.0153024	0.0304402	0.060674	0.0556152	0.0282639	0.0330811	0.0176056	0.0159766	0.0160373	0.0190589	0.0199135	0.0188321	0.0211858	0.0192011	0.0157855	0.0235043	0.0263327	0.0318252	0.0375499	0.0411942	0.0424542	0.0425658	0.060685	0.0794339	0.108642
tout	0.123345	0.0859073	0.0719896	0.0406704	0.0284983	0.0151326	0.0193046	0.017326	0.0191569	0.0181969	0.0140673	0.0123015	0.010988	0.010385	0.0108568	0.0167983	0.0218642	0.027575	0.0307887	0.0335872	0.0280987	0.0322096	0.0262939	0.0325981	0.0359031	0.0271657	0.0220304	0.0325642	0.0459463	0.0884512
ce	0.0443707	0.0368044	0.0304993	0.0269227	0.0150096	0.0101987	0.0062021	0.0110625	0.0134894	0.0141487	0.009668	0.00881657	0.00789228	0.00766047	0.00890194	0.0106852	0.00936295	0.0156536	0.0172562	0.014215	0.02631	0.0342938	0.037949	0.051119	0.0627371	0.0766028	0.0856262	0.0826533	0.0888313	0.135057
que	0.0409753	0.0527522	0.0433759	0.0411773	0.0321276	0.0200233	0.00781334	0.0113529	0.0122837	0.0135223	0.00986859	0.00969015	0.00838799	0.00737227	0.00823581	0.0121038	0.0130951	0.0162532	0.0268238	0.0287968	0.0366949	0.0380071	0.041568	0.0454699	0.0600664	0.0671874	0.0685588	0.0671082	0.0729262	0.0863817
dit	0.13179	0.0499072	0.0496966	0.0234114	0.0136984	0.0155091	0.0153031	0.0199498	0.020212	0.0294772	0.0124974	0.0104243	0.0130363	0.00887595	0.00800929	0.0110094	0.00979132	0.0152141	0.0184285	0.0206127	0.0226899	0.0296773	0.0382658	0.0356825	0.0404749	0.0406257	0.0501165	0.0560108	0.0742446	0.115358
le	0.078526	0.0374176	0.0439493	0.0247088	0.0146042	0.0165517	0.0175745	0.0197756	0.0198724	0.0192232	0.0135352	0.0103366	0.0118686	0.00743381	0.00619098	0.00986893	0.0137166	0.0200584	0.0255766	0.0245299	0.0280996	0.0379821	0.0478827	0.0488582	0.0533739	0.045648	0.0541231	0.0515839	0.069759	0.127371
curé	0.0695716	0.0425755	0.0289721	0.0216446	0.00897931	0.00905242	0.00988866	0.0153907	0.0189508	0.0202427	0.0120538	0.0100549	0.0105787	0.00979547	0.0115777	0.0149479	0.0110817	0.0183522	0.015119	0.0108943	0.0171759	0.0171686	0.0232718	0.0290782	0.0318919	0.0655233	0.0657132	0.0946773	0.118111	0.167665
</S>	0.0538768	0.041801	0.0430695	0.0244665	0.0145704	0.0200358	0.0207801	0.0312413	0.0292633	0.0407804	0.0256167	0.0143447	0.0148326	0.0123101	0.0115028	0.0173788	0.0136002	0.0217623	0.0254105	0.0213822	0.021844	0.026683	0.035597	0.0328551	0.0329468	0.0322272	0.0376811	0.0578736	0.0815196	0.142747
