 	b	á	a	á	k	í	i	k	á	s	i	y	ó	m	b	á	n	g	é	y	é	é	w	ώ	m	b	í	b	á	a	</S>
ils	0.0892162	0.110707	0.13259	0.144202	0.127272	0.0949656	0.0512686	0.0179294	0.0315807	0.0247752	0.015271	0.012587	0.0105058	0.00794935	0.00481677	0.00564446	0.00390943	0.00528581	0.00582396	0.00906448	0.0059952	0.00528328	0.00455081	0.00528212	0.00692717	0.00943971	0.0124717	0.0139356	0.0128014	0.010148	0.00780075
ont	0.0510509	0.0251913	0.0281403	0.0164945	0.02254	0.018672	0.0341813	0.0468782	0.0478518	0.0550862	0.0602677	0.0405415	0.0356906	0.0337868	0.0218428	0.0199246	0.0141394	0.0148541	0.00949331	0.0244895	0.0247223	0.0282038	0.0330346	0.0243735	0.0596991	0.0528428	0.0611488	0.0525796	0.0191332	0.0139962	0.00914954
enterré	0.0437001	0.0169942	0.0152353	0.0193662	0.018219	0.0177313	0.0171946	0.0142224	0.021946	0.0234887	0.0253258	0.0228827	0.035824	0.0381038	0.0685237	0.054633	0.0438797	0.0686399	0.0650446	0.0292255	0.022735	0.0249771	0.0263887	0.03821	0.0411097	0.0282854	0.0286196	0.0297761	0.0363845	0.0315211	0.0318122
les	0.0400421	0.0391378	0.0608688	0.0321745	0.0190346	0.0187148	0.021237	0.020141	0.0147411	0.0206197	0.0206925	0.0210671	0.0229979	0.0226978	0.0278633	0.0277496	0.0339822	0.0312612	0.0406252	0.0391618	0.0490717	0.0498655	0.0481887	0.048686	0.0350445	0.0326794	0.0346798	0.0242976	0.0313245	0.0320329	0.0393196
feuilles	0.0116645	0.0084721	0.00776484	0.0072656	0.00935883	0.0114746	0.0291442	0.033295	0.0350937	0.039375	0.0368123	0.0384951	0.0391099	0.0372651	0.0412178	0.0384297	0.0382411	0.032859	0.0437234	0.0449508	0.0435945	0.030521	0.0529991	0.0386576	0.0441451	0.0407799	0.038864	0.0245134	0.0234588	0.0270881	0.0513657
du	0.0233562	0.012357	0.0110044	0.00772048	0.00850983	0.0126216	0.0270184	0.0330021	0.0500758	0.0840595	0.0681174	0.065968	0.0521467	0.0404202	0.051126	0.0293927	0.0245466	0.0249076	0.0223926	0.0154643	0.016309	0.0214179	0.0198398	0.0210818	0.0276709	0.0234342	0.0268072	0.0340372	0.0484441	0.0444148	0.0523357
manguier	0.016527	0.0117497	0.0135566	0.0122727	0.0162133	0.0148439	0.0137983	0.0266613	0.0344001	0.064359	0.0341742	0.0256653	0.0244783	0.0199488	0.0336015	0.026937	0.0479191	0.0380188	0.0317517	0.037057	0.0349227	0.0269505	0.0368428	0.0261406	0.0355677	0.0375123	0.0416668	0.0412397	0.0471012	0.0479418	0.0801804
qu'	0.0220401	0.0129604	0.0137419	0.0127531	0.0142822	0.0212981	0.0235392	0.0244492	0.028944	0.0434757	0.023182	0.0264657	0.0192511	0.0209757	0.0315722	0.0273459	0.0330108	0.0337432	0.0304255	0.0404821	0.0407062	0.0540617	0.0730109	0.035129	0.0458455	0.0287714	0.0295005	0.0295284	0.0379155	0.0390242	0.0825686
ils	0.033014	0.0186677	0.0213439	0.0137052	0.0132707	0.0152572	0.0211158	0.0231634	0.0377106	0.0656598	0.0326181	0.0337498	0.0273646	0.0182002	0.0218436	0.00877851	0.0165259	0.0226999	0.0199282	0.0172927	0.0191061	0.0234698	0.0242566	0.0289728	0.0450183	0.0612369	0.0634339	0.0690732	0.0719279	0.0591355	0.052459
ont	0.0360607	0.029266	0.0295558	0.0291159	0.0269174	0.0195441	0.0172687	0.0162113	0.0216992	0.0287603	0.0143436	0.0177828	0.018049	0.0142503	0.0161608	0.00702837	0.0115642	0.0145758	0.019983	0.0236302	0.0243988	0.0290886	0.0307476	0.026371	0.037137	0.0396426	0.0461073	0.0645997	0.0779128	0.0823014	0.129926
balayées	0.0296135	0.0137303	0.0149268	0.0201913	0.0212126	0.0176928	0.0128107	0.0115435	0.0154237	0.0197104	0.0123125	0.01467	0.0148593	0.0123379	0.0172185	0.00733343	0.0147857	0.0176027	0.0236866	0.0280146	0.0266757	0.0308327	0.034256	0.0288517	0.0428778	0.0500079	0.0609921	0.0815621	0.088462	0.0917591	0.124046
</S>	0.02824	0.0207453	0.0230726	0.0253482	0.0255071	0.0232012	0.0151382	0.0106155	0.00988322	0.0111809	0.00756854	0.00951182	0.00839651	0.0072555	0.00759991	0.00462284	0.011756	0.0137942	0.02155	0.037228	0.0305015	0.0244402	0.0408507	0.0256569	0.0468914	0.0528534	0.0650628	0.0736151	0.0758288	0.0919483	0.150135
