 	w	á	á	n	ω	o	p	í	m	b	í	n	g	á	i	b	v	ú	a	n	g	á	l	í	i	k	a	s	i	l	a	</S>
si	0.135866	0.121406	0.0814483	0.0370408	0.0298841	0.0360314	0.0396497	0.045	0.0558618	0.0177355	0.0174056	0.0165198	0.012727	0.012474	0.0122466	0.012509	0.0134665	0.0182688	0.0260695	0.0243668	0.0286182	0.0215542	0.0196697	0.0122953	0.0209039	0.0178189	0.0148123	0.0219189	0.0236775	0.0208011	0.0213014	0.0106514
tu	0.110553	0.0957223	0.0704298	0.0381614	0.0334123	0.0570198	0.0767768	0.0516436	0.0473352	0.053098	0.0476036	0.0473761	0.0479623	0.0696038	0.0392224	0.0216058	0.0221639	0.00814364	0.00832943	0.0043169	0.00504605	0.00664789	0.00208579	0.00443707	0.00316969	0.00424236	0.00360334	0.00432015	0.0032492	0.00286562	0.00417023	0.00568251
me	0.014316	0.0156892	0.0135305	0.0181005	0.0134923	0.0235952	0.0368702	0.028136	0.0223323	0.0364837	0.0216468	0.0218575	0.0434645	0.056115	0.0416033	0.0453021	0.0643996	0.051836	0.0809604	0.0432901	0.0437813	0.0295723	0.0285245	0.0128797	0.0135228	0.0116262	0.0210526	0.0185818	0.0217713	0.0315145	0.0477204	0.0264312
donnes	0.0189393	0.0209969	0.019285	0.0204242	0.0165485	0.022968	0.0293532	0.0310521	0.0348467	0.0276593	0.045749	0.0358183	0.0529942	0.0880441	0.0803843	0.0679657	0.0731786	0.0689135	0.040584	0.0247247	0.0279716	0.0274317	0.0238936	0.0223349	0.0138855	0.0110355	0.0055045	0.0069939	0.00535764	0.00691806	0.00965616	0.0185873
un	0.00765393	0.00648346	0.00531169	0.00738137	0.00941494	0.0148519	0.0144328	0.0191547	0.016965	0.0355724	0.0291549	0.0354365	0.114012	0.158056	0.0697726	0.0591638	0.0711065	0.0486723	0.0316782	0.0275548	0.020406	0.0254761	0.0230604	0.0170647	0.0188483	0.0126013	0.0118001	0.0129268	0.00918892	0.0137063	0.0175976	0.0354932
coup	0.0207829	0.0138489	0.00634309	0.0124675	0.0205788	0.0273248	0.0294525	0.0360431	0.0450526	0.0495855	0.0466233	0.0303324	0.0461834	0.042203	0.0296032	0.0271583	0.0324355	0.0252016	0.0215883	0.00886908	0.0127855	0.0176409	0.0180868	0.0323888	0.0258457	0.0223902	0.0220926	0.0210786	0.023971	0.0426971	0.0611279	0.128217
de	0.00739325	0.0063775	0.00562097	0.00907935	0.0165445	0.021161	0.0283625	0.0375585	0.0440524	0.0733898	0.0463794	0.0625597	0.101012	0.138401	0.0397372	0.0274915	0.0463833	0.0205775	0.0144533	0.00726198	0.00993434	0.0136725	0.0135652	0.0140982	0.0163694	0.0185581	0.0233592	0.0226953	0.0223352	0.0282742	0.0209853	0.0423562
bâton	0.0188473	0.0224115	0.0107776	0.0145318	0.0224091	0.027967	0.0476392	0.0693499	0.0574622	0.0446001	0.0390843	0.0392617	0.0465611	0.0550875	0.0348157	0.0324751	0.0396629	0.0250083	0.0222566	0.0090828	0.0144168	0.0155553	0.0119946	0.00875737	0.0166274	0.012249	0.0176825	0.0220546	0.0266262	0.045501	0.0450966	0.0841469
je	0.01627	0.0211957	0.0181791	0.0191375	0.0164201	0.0193246	0.0338587	0.0437795	0.0330605	0.0214484	0.0187202	0.0235105	0.0235207	0.02635	0.0187547	0.0229378	0.0313314	0.0383143	0.0291258	0.0107244	0.0218535	0.0413498	0.0396694	0.0525084	0.0461162	0.0301725	0.0321266	0.0366728	0.0400884	0.0482524	0.0415688	0.0836571
ripo	0.0314713	0.0354252	0.0268065	0.026415	0.0202851	0.0233857	0.0382587	0.0386312	0.0256083	0.0143887	0.0145211	0.0137536	0.0173877	0.0209191	0.0140179	0.0191394	0.0291424	0.0334837	0.0290318	0.0257374	0.0288706	0.0375189	0.0350698	0.0306148	0.0253473	0.0198503	0.0263041	0.0304254	0.0311863	0.0474217	0.0607995	0.128781
sterai	0.0319003	0.0359848	0.029783	0.031476	0.0205951	0.0255409	0.0472845	0.0369477	0.0284474	0.0240588	0.025906	0.0342886	0.0495698	0.0683878	0.0325493	0.0439812	0.074415	0.0520865	0.0247718	0.0156085	0.0154533	0.0172092	0.0142888	0.024026	0.017575	0.0224505	0.0143105	0.0200208	0.0161391	0.0197864	0.0240069	0.0611502
</S>	0.0161391	0.0106468	0.0113505	0.0142385	0.0207995	0.0333763	0.0279081	0.0313423	0.02016	0.0349633	0.0272771	0.0466597	0.0752421	0.0908314	0.0434021	0.0458777	0.0754642	0.061414	0.0408803	0.0285254	0.0234702	0.0347563	0.0216865	0.0095417	0.0114552	0.00941432	0.00937325	0.0133806	0.0162536	0.0213408	0.0279086	0.0449205
