 	n	g	ó	o	b	á	a	l	a	m	w	á	n	a	á	b	v	u	u	n	g	u	a	s	w	é	á	b	á	a	m	í	k	i	r	a	</S>
la	0.150557	0.0527158	0.0193938	0.0344314	0.00728614	0.0106079	0.0077522	0.00921452	0.0120112	0.0202161	0.0259356	0.0443231	0.057206	0.0234661	0.0288781	0.033589	0.0428585	0.0291447	0.0159407	0.0126482	0.0096025	0.00989921	0.0123774	0.00844533	0.0115472	0.0091016	0.0140122	0.0238657	0.0236154	0.0308946	0.0317665	0.0349014	0.0305682	0.0334189	0.02884	0.0285523	0.0204152
mère	0.484319	0.173418	0.138363	0.039758	0.0346345	0.0462194	0.0235828	0.0269395	0.00977921	0.0027776	0.00626346	0.0024582	0.00134156	0.000576198	0.000167005	0.000146359	7.52877e-05	9.8218e-05	5.75971e-05	0.000182226	0.000208576	0.000461219	0.000874894	0.000458174	0.000260498	0.000299507	0.000453614	0.000819271	0.00031133	0.000365812	0.000422734	0.000605256	0.00171068	0.000696924	0.000617089	0.00018081	9.59847e-05
et	0.0196499	0.0507646	0.0513537	0.0515466	0.0551976	0.0656024	0.0908606	0.0456685	0.0283381	0.0126628	0.0271896	0.00979928	0.00881966	0.00656868	0.0134326	0.0171947	0.0227407	0.0369142	0.0160598	0.0115971	0.015279	0.00876273	0.0156132	0.00977625	0.0255998	0.0149756	0.0219617	0.0264793	0.0160694	0.0238845	0.0340726	0.0337625	0.0274252	0.0246134	0.0239829	0.0231141	0.0126671
l'	0.0282219	0.0101872	0.0143788	0.0111634	0.0119559	0.00832983	0.00840797	0.0120717	0.00828387	0.0108061	0.00964385	0.00706009	0.00728423	0.00474878	0.00655595	0.0137028	0.0134701	0.0267906	0.0233675	0.0245661	0.0201933	0.0148475	0.0355506	0.0607987	0.0488541	0.0555829	0.041829	0.0514011	0.033098	0.031646	0.0376378	0.0323944	0.0544931	0.0507576	0.0571881	0.0422943	0.0704367
enfant	0.0294782	0.0193584	0.0289615	0.0261372	0.0244109	0.0350573	0.0261715	0.0245889	0.0187947	0.0184351	0.0210495	0.0247014	0.010093	0.00572346	0.00611602	0.0136217	0.0128059	0.0180145	0.0132678	0.0185199	0.0148432	0.0141014	0.0246862	0.0399381	0.0213636	0.0442329	0.0332852	0.0481644	0.033737	0.0304481	0.0440654	0.0409275	0.0407594	0.0530006	0.0530182	0.0346092	0.0335131
ont	0.00512262	0.00302672	0.00449153	0.0058682	0.00525931	0.00827813	0.00925912	0.00936086	0.0114968	0.0113938	0.0179452	0.0205514	0.00723399	0.0104556	0.0183888	0.0187859	0.0180199	0.0351215	0.0709056	0.0577729	0.0658791	0.0394338	0.0418456	0.0434015	0.0407263	0.0447502	0.0349504	0.038919	0.0270335	0.0307094	0.028281	0.0228616	0.0327672	0.0319412	0.0428414	0.0376565	0.0472646
mis	0.013451	0.00749789	0.00759081	0.0108372	0.0118676	0.0135044	0.0123475	0.00980323	0.0111787	0.0105753	0.0228444	0.0208258	0.00997613	0.0185739	0.0210878	0.0258212	0.0309863	0.0392716	0.0527808	0.0538258	0.0566129	0.0388188	0.0312528	0.032548	0.0478087	0.0374125	0.0298816	0.0317587	0.0274662	0.0306265	0.031464	0.0285079	0.0381008	0.0363252	0.0336564	0.029965	0.0331466
ensemble	0.0116917	0.00704258	0.00946598	0.0115516	0.0144717	0.011145	0.0084765	0.00757988	0.00715435	0.00782635	0.0141953	0.0125496	0.00919281	0.0127638	0.0135183	0.015918	0.0177549	0.024835	0.0340579	0.0369279	0.042054	0.0337869	0.0309031	0.0416311	0.0378585	0.03996	0.0448298	0.0442989	0.0435091	0.0441547	0.0417613	0.0380726	0.0421194	0.0402613	0.0462937	0.0456927	0.0546937
leurs	0.0101741	0.00395595	0.00612991	0.00898027	0.00949963	0.0126348	0.0116188	0.00870301	0.00704922	0.00521287	0.0133219	0.00851834	0.00503457	0.00757728	0.0139473	0.0128552	0.0120851	0.0263575	0.103586	0.108105	0.108329	0.108905	0.0441825	0.0496403	0.0202118	0.0305942	0.0257141	0.0221004	0.0353908	0.0189062	0.0184151	0.014909	0.0191957	0.0140128	0.015825	0.0146301	0.0436916
poissons	0.0166651	0.0143546	0.0115888	0.0112471	0.0121911	0.0127646	0.0166327	0.0135761	0.0106416	0.00802853	0.018821	0.0111419	0.0120681	0.0209033	0.0238953	0.0236281	0.0240962	0.03655	0.0514343	0.0554842	0.064622	0.0477426	0.0401811	0.0422246	0.0289858	0.0457257	0.0391163	0.0276141	0.0361077	0.026996	0.0250422	0.0195582	0.0290986	0.0200584	0.0272969	0.0234034	0.0505136
