 	m	v	á	n	d	é	á	m	i	p	i	á	e	b	h	e	s	é	y	έ	έ	b	v	έ	έ	k	ú	m	ú	</S>
le	0.0063981	0.00557528	0.0117323	0.0183021	0.0251601	0.0281574	0.0361259	0.0565509	0.0865214	0.092404	0.112085	0.098768	0.0550105	0.0333239	0.0438721	0.0122133	0.0167289	0.0242006	0.0338126	0.0280614	0.0275046	0.0215829	0.0163344	0.0123768	0.0143948	0.0128693	0.0130662	0.0155463	0.0181009	0.0232195
chien	0.0170365	0.0232449	0.0308826	0.052465	0.0530322	0.0369576	0.045016	0.101631	0.178777	0.107497	0.0536089	0.027957	0.0253879	0.0228545	0.00549914	0.00254041	0.00668336	0.00468908	0.0129306	0.0132014	0.0186849	0.0237981	0.0286956	0.0328817	0.0274163	0.0174277	0.0138281	0.0104863	0.00321796	0.0016702
a	0.0296798	0.0311426	0.0310933	0.0457133	0.0429657	0.0477271	0.0501444	0.046298	0.0407657	0.0327789	0.0351681	0.0285255	0.0274289	0.0269764	0.0335705	0.0545156	0.0256691	0.0271026	0.0213274	0.0474389	0.0443214	0.0520481	0.0487991	0.0339075	0.0254684	0.0225298	0.0155061	0.0107561	0.0153199	0.00531197
attrapé	0.0238297	0.0388997	0.0547861	0.0394956	0.0404476	0.0523771	0.0429091	0.0532632	0.0824634	0.101154	0.0876211	0.076712	0.0391275	0.0212077	0.0117551	0.0190396	0.0159936	0.0177497	0.0129903	0.0104674	0.00952638	0.00758307	0.00760516	0.00867862	0.00977892	0.0126162	0.0166118	0.0198547	0.0246264	0.0408296
l'	0.0508946	0.0326643	0.0200664	0.0272128	0.0228117	0.0301896	0.0217799	0.0382101	0.07361	0.0812656	0.062948	0.0557285	0.0255258	0.0136757	0.00842321	0.00991887	0.0164242	0.0201612	0.0209333	0.0167525	0.0200524	0.0201901	0.0223964	0.0293469	0.0334618	0.0428895	0.0529284	0.0526165	0.0186719	0.0582497
os	0.01711	0.0113778	0.00702367	0.0100221	0.0082133	0.0102956	0.00756446	0.0224172	0.0553028	0.0554989	0.0611638	0.053175	0.0264944	0.0226923	0.0150706	0.0153783	0.0320228	0.0313081	0.0366938	0.0312431	0.0394409	0.0440263	0.0405745	0.0500755	0.0642476	0.0471785	0.0531723	0.0622735	0.0217357	0.0472071
qu'	0.0408322	0.0252076	0.0167365	0.0141704	0.0124297	0.0143447	0.0175662	0.024861	0.0290386	0.0221418	0.0214649	0.02725	0.0181737	0.0151786	0.0207187	0.0372183	0.033287	0.0399571	0.0445821	0.0523918	0.0412171	0.0459895	0.0498516	0.0485639	0.0472482	0.051144	0.0589728	0.0402749	0.039609	0.0495783
a	0.0443508	0.0497215	0.0442062	0.0385655	0.0356699	0.0398948	0.047277	0.0348059	0.0459922	0.0338256	0.0419059	0.0491108	0.0302525	0.0144658	0.0116282	0.0221488	0.0167996	0.0181842	0.0212134	0.0264345	0.0257017	0.0257246	0.0218697	0.0232342	0.0213674	0.0278142	0.0305397	0.0305297	0.0348527	0.0919129
jeté	0.10861	0.0538926	0.0343444	0.0239484	0.0131492	0.0111095	0.0121162	0.0111937	0.00591766	0.00513533	0.00482533	0.0050246	0.00735076	0.00878101	0.0161805	0.0132972	0.0215534	0.026811	0.0474967	0.036669	0.0473228	0.0349512	0.0330488	0.0416132	0.0464172	0.0609637	0.0713545	0.0544543	0.0718784	0.0705896
son	0.0681063	0.0433586	0.0345614	0.0267751	0.0156363	0.0144273	0.0136418	0.0119313	0.00631888	0.00526499	0.00604688	0.00521824	0.0104852	0.0123027	0.0185632	0.0183239	0.0240041	0.0313803	0.0398589	0.0311604	0.0410908	0.0310376	0.0355739	0.0413272	0.0485087	0.0671148	0.0662875	0.0628332	0.0773509	0.0915095
maître	0.0767733	0.0442334	0.021976	0.00902147	0.0050335	0.00448998	0.00530269	0.0060974	0.00473396	0.00448479	0.00457845	0.00567545	0.00962723	0.0208956	0.0536482	0.0433508	0.0275271	0.0256329	0.0324806	0.0266719	0.0314366	0.0245451	0.029039	0.0319156	0.0387303	0.0455132	0.0742868	0.0614999	0.111201	0.119598
</S>	0.0947901	0.0608324	0.0455838	0.020328	0.0111277	0.00999036	0.0110314	0.013122	0.00491643	0.00483168	0.00376055	0.00537062	0.00910297	0.0167279	0.0303921	0.0305713	0.0338673	0.0374246	0.0482477	0.0340302	0.0370841	0.0283091	0.0239039	0.0284497	0.0315572	0.0370763	0.0594871	0.0607116	0.0780266	0.0893453
