 	a	b	a	a	á	d	z	w	e	o	t	ώ	ώ	n	g	ώ	a	k	í	ε	ó	n	d	z	á	l	é	</S>
les	0.0440451	0.0578069	0.095952	0.0467003	0.0371026	0.0459626	0.0401758	0.0516956	0.0233584	0.0377105	0.0429089	0.0408593	0.0504195	0.0658444	0.0664231	0.0380581	0.0337452	0.0247378	0.0152326	0.0129756	0.0147243	0.0120558	0.0160407	0.0157938	0.0155671	0.0144047	0.0225471	0.0171526
hommes	0.043297	0.0570301	0.0720688	0.107763	0.147503	0.182715	0.110657	0.0567354	0.0562061	0.0470431	0.0222632	0.0161346	0.00635729	0.00543091	0.00484958	0.00333291	0.00334962	0.00270546	0.0029655	0.00423803	0.00666341	0.00837679	0.0100985	0.00586778	0.00718569	0.00461509	0.00256902	0.00197798
sont	0.0316241	0.0174703	0.0178533	0.0214548	0.023699	0.0273048	0.0517427	0.0416613	0.0385642	0.0787134	0.0654807	0.0765119	0.0803437	0.0927731	0.0607148	0.0577212	0.0229667	0.0126095	0.0123332	0.0127727	0.0174097	0.0167913	0.0248979	0.0214664	0.0206652	0.01399	0.0202043	0.02026
partis	0.0175274	0.026407	0.0447471	0.0438363	0.0327357	0.0292049	0.019569	0.0227791	0.0252669	0.0362312	0.0212974	0.0239729	0.0235483	0.0212271	0.0187358	0.0207834	0.0431888	0.0514078	0.0620829	0.0765221	0.0743264	0.0563408	0.0741133	0.0350647	0.0247529	0.0207306	0.0245946	0.0290054
chercher	0.0475406	0.0520295	0.0323147	0.0183105	0.0204082	0.0208549	0.0270871	0.0231366	0.0249302	0.0345358	0.0228762	0.0218493	0.026306	0.0287015	0.0277967	0.0314422	0.0329941	0.0453654	0.0350534	0.0465459	0.0399592	0.0378464	0.0435148	0.0400111	0.0464931	0.0507018	0.0567327	0.0646622
du	0.0221942	0.0230947	0.0241622	0.0262612	0.0213383	0.0261575	0.0227626	0.019941	0.0205249	0.0281712	0.024193	0.0167162	0.0180809	0.0210636	0.0164321	0.0182088	0.021145	0.0297153	0.0448382	0.0553289	0.044277	0.060498	0.0489035	0.0644845	0.0650543	0.0818405	0.0667307	0.0678816
gravier	0.0207804	0.0123078	0.0110704	0.010454	0.0100206	0.00837625	0.0121391	0.00877829	0.0129735	0.0203536	0.016158	0.0169299	0.0163314	0.0214908	0.0207756	0.0301382	0.0318706	0.0580791	0.0595319	0.0857308	0.0776547	0.0745584	0.0592169	0.0618702	0.0607001	0.0671376	0.046408	0.068164
au	0.0111013	0.00974969	0.00949659	0.013122	0.00641844	0.00339722	0.00548283	0.0075656	0.0114054	0.0095885	0.00622798	0.00822816	0.00874932	0.0146661	0.0201367	0.0238448	0.0214472	0.0303191	0.0244813	0.0361061	0.0343634	0.0485434	0.0409297	0.0776115	0.0809844	0.118812	0.131126	0.186095
fleuve	0.0284461	0.0239202	0.0239319	0.0238041	0.0158334	0.0123762	0.0100185	0.00505374	0.00924168	0.00785759	0.00779657	0.00815676	0.00926671	0.0083696	0.00885758	0.0124892	0.0118649	0.0177748	0.024193	0.0523069	0.0495028	0.0552584	0.0566193	0.0590448	0.0712311	0.102997	0.0970296	0.186758
</S>	0.025168	0.0196687	0.0185052	0.0175322	0.0129024	0.00774236	0.00755461	0.0067997	0.0127358	0.00940918	0.00552001	0.00631988	0.00758605	0.0113647	0.0139651	0.0198373	0.0191662	0.0356263	0.0603933	0.0668042	0.0402947	0.053627	0.0457716	0.0592347	0.0493626	0.077612	0.11503	0.174466
