 	o	y	ú	r	u	w	ó	a	d	í	l	á	l	e	f	ú	s	u	w	á	á	w	a	a	k	y	ε	b	h	í	m	o	r	o	l	a	b	e	a	w	a	k	ω	m	i	a	d	z	é	b	í	a	</S>
cette	0.00532468	0.00331169	0.00399222	0.00353873	0.0119149	0.00503861	0.00353628	0.00691708	0.00475172	0.00438926	0.00371874	0.00486926	0.00754781	0.0241202	0.0182695	0.0241728	0.0625433	0.0556504	0.0986368	0.0484041	0.0284942	0.0278162	0.0158879	0.0116267	0.0195244	0.0061332	0.00592226	0.0167809	0.00954377	0.00428752	0.0027036	0.0037346	0.00378297	0.00714988	0.00551798	0.00796846	0.0103183	0.00932708	0.00616586	0.00741233	0.0145623	0.0224267	0.0168492	0.0132509	0.0193648	0.0187544	0.0231271	0.030784	0.0368104	0.0523705	0.0533562	0.0417087	0.0458887
femme	0.160506	0.0756327	0.0833511	0.0990727	0.047831	0.043392	0.0494374	0.0384819	0.0329356	0.060259	0.0252149	0.0287905	0.0254118	0.0105284	0.00676026	0.00301374	0.0140114	0.0161685	0.0460229	0.0203327	0.0200973	0.0222097	0.0098741	0.00399855	0.00722377	0.00584489	0.00329697	0.000943654	0.00124533	0.00173583	0.000534159	0.000640224	0.000615913	0.00035549	0.000620696	0.000393197	0.000451965	0.000963814	0.000248104	0.000476826	0.000800142	0.000593812	0.000410447	0.00332578	0.00663591	0.00344141	0.00655227	0.00193077	0.00428663	0.000667193	0.00119007	0.000723952	0.000516733
est	0.0466225	0.0402639	0.0508491	0.0477346	0.0312769	0.0937927	0.049859	0.0189727	0.0119136	0.0175512	0.0299731	0.0358239	0.033796	0.0265279	0.0268948	0.0168474	0.0240426	0.0207383	0.0454526	0.0156099	0.0143221	0.00749905	0.00949887	0.00846252	0.0072778	0.00694178	0.00499489	0.00457428	0.0069692	0.0044612	0.00432804	0.00453296	0.00513719	0.00889554	0.00412677	0.00619608	0.01016	0.00531249	0.00532798	0.0128952	0.0201465	0.0223938	0.0163948	0.0158327	0.0169604	0.00861883	0.01225	0.00677558	0.00912487	0.00679234	0.0118655	0.0160161	0.0103718
avide	0.0276133	0.0307587	0.0282556	0.0314638	0.0367335	0.0484303	0.056052	0.0436501	0.0429144	0.0497363	0.0487763	0.0357188	0.026902	0.0244494	0.0280056	0.0191755	0.0257864	0.0154001	0.0387458	0.0262618	0.0185577	0.0142386	0.0140768	0.0100672	0.019057	0.0138153	0.00594122	0.0084934	0.00457281	0.0112736	0.00474887	0.00444439	0.00444091	0.00468455	0.00746525	0.00419653	0.00527608	0.00973492	0.00695139	0.00677514	0.00819435	0.0042548	0.0042325	0.00749919	0.00739519	0.0128923	0.0107475	0.0092727	0.00721013	0.00740271	0.016752	0.0138268	0.0266783
quand	0.0256343	0.0196818	0.0133327	0.0131824	0.0156522	0.0127211	0.0137502	0.0125074	0.0153068	0.0139878	0.013354	0.0113156	0.0215771	0.0427475	0.048098	0.0518774	0.0280341	0.0128183	0.0149427	0.0158535	0.0174448	0.0208557	0.0144975	0.0161032	0.0342401	0.0296202	0.0112814	0.0188761	0.0101226	0.0231815	0.0112703	0.0112675	0.0117202	0.010413	0.0230155	0.0154983	0.0166055	0.0312786	0.0237509	0.020677	0.0179559	0.0150665	0.0105401	0.0172182	0.0163072	0.0174088	0.0152128	0.0120772	0.0161937	0.0155452	0.0170554	0.0165407	0.0247836
elle	0.0445247	0.0513507	0.0265196	0.0206663	0.0253522	0.0209058	0.0133751	0.021939	0.0198647	0.0181363	0.0125646	0.0143412	0.0198316	0.0140726	0.0162059	0.0284124	0.0296029	0.0180546	0.0238481	0.0142953	0.0128489	0.00307324	0.00553441	0.00452582	0.00383627	0.0053359	0.00571457	0.00509287	0.00647566	0.00824339	0.0105253	0.0101274	0.00865664	0.0145323	0.0156071	0.00886041	0.0129418	0.0423012	0.0285623	0.0396761	0.0461525	0.0411606	0.0260757	0.0412388	0.0153521	0.0208641	0.0106569	0.010927	0.00901966	0.0105562	0.0124787	0.0149753	0.0342072
voit	0.0368075	0.0335156	0.0293751	0.0316963	0.0227474	0.0177916	0.0122971	0.0139176	0.0113821	0.0106138	0.008688	0.0101739	0.0144691	0.0250523	0.0304816	0.0341795	0.0471307	0.0270488	0.0290689	0.0308544	0.0345983	0.0108659	0.0224153	0.0194704	0.0154861	0.0168016	0.0110478	0.0165328	0.00893045	0.0168291	0.0142775	0.0108679	0.0130576	0.0155711	0.0259963	0.0206399	0.0217119	0.0266936	0.0290062	0.0219863	0.0151214	0.0149386	0.0050912	0.0108205	0.0128278	0.0133339	0.011964	0.00670413	0.00653824	0.00426103	0.00930307	0.0114454	0.0275736
quelqu'	0.0199015	0.0225332	0.0155551	0.0179264	0.0204992	0.0148851	0.0131922	0.01292	0.0150845	0.0135269	0.0108903	0.00972699	0.0146506	0.0165744	0.0210467	0.0236705	0.0315832	0.0148753	0.0198025	0.0220414	0.0220144	0.0190254	0.0211413	0.0302241	0.0215114	0.0207764	0.0288295	0.0225778	0.0218367	0.0253255	0.0347981	0.0363303	0.0517972	0.0265127	0.0282447	0.0335427	0.0255992	0.0229006	0.0307016	0.0226832	0.0149071	0.0114464	0.00512039	0.00482626	0.000774008	0.00184825	0.000870771	0.000750176	0.00198448	0.00174095	0.00388988	0.00802894	0.0465538
un	0.0849686	0.0770077	0.0465117	0.0479933	0.0488128	0.0160169	0.00584093	0.00993389	0.00749177	0.00579776	0.00405113	0.00310579	0.00599571	0.00786127	0.010273	0.0115463	0.0142847	0.00543893	0.00743101	0.00627908	0.0114735	0.0113482	0.00913114	0.0231343	0.014448	0.0106955	0.0182063	0.0206376	0.0153676	0.0206315	0.0353411	0.0356911	0.0412923	0.0205774	0.0252962	0.0370202	0.0148025	0.017326	0.0412829	0.0361256	0.0141604	0.0163482	0.00313828	0.0027303	0.00157449	0.00197703	0.00246571	0.0035637	0.00711375	0.00564644	0.00880834	0.0142127	0.0317893
avec	0.0248217	0.0245996	0.0224046	0.0357004	0.0387748	0.0348062	0.0127992	0.0175056	0.0100822	0.00759413	0.00633498	0.00647263	0.0116331	0.0148136	0.0158234	0.01596	0.0153507	0.0105958	0.0141285	0.0103685	0.011761	0.0103683	0.0115773	0.0189846	0.0147775	0.0138593	0.0186919	0.0197168	0.0182642	0.0195885	0.0294556	0.0329403	0.0456656	0.023133	0.0265759	0.0291809	0.0245926	0.0235016	0.029649	0.0271276	0.0189535	0.0174763	0.0138294	0.00788892	0.00471387	0.00546765	0.00369092	0.00256093	0.00632085	0.00476869	0.0111697	0.0239983	0.0791801
