 	o	b	o	s	ó	b	á	i	k	ó	a	w	a	á	b	á	á	n	d	i	ω	t	á	á	ω	b	v	έ	ω	b	v	έ	w	á	á	m	o	r	o	á	d	z	e	</S>
il	0.0078901	0.0127534	0.0150455	0.0186824	0.023959	0.036874	0.0470721	0.0540164	0.0465787	0.0408655	0.0435888	0.043136	0.0476953	0.0375953	0.0188122	0.0226421	0.0115042	0.0130366	0.0157522	0.011528	0.0173846	0.0118254	0.0159792	0.00927428	0.0195243	0.0180162	0.017465	0.0218045	0.0207038	0.0149839	0.0149305	0.016395	0.00972251	0.01722	0.01751	0.0268361	0.0226647	0.0140849	0.0175352	0.0156836	0.0265443	0.0204004	0.0227562	0.0217278
s'	0.0642685	0.0351389	0.0345825	0.0237833	0.0311043	0.0236912	0.0269018	0.0381307	0.0342917	0.0320844	0.0409127	0.0394155	0.0451573	0.0213936	0.0173081	0.0339287	0.0198572	0.0238913	0.0322435	0.0222216	0.0117134	0.0213198	0.0387103	0.0104078	0.0224837	0.0265883	0.0312222	0.0625736	0.031078	0.0218875	0.0169501	0.00495325	0.00539021	0.00661969	0.00877659	0.00448243	0.00469317	0.00713084	0.00403357	0.00604207	0.00353914	0.00274499	0.00208306	0.00426962
est	0.0695286	0.0572471	0.0615673	0.0723851	0.0709102	0.0638101	0.0305896	0.0335614	0.0375459	0.0293786	0.00931329	0.0274351	0.0334368	0.0418101	0.0434895	0.0383758	0.012696	0.0108035	0.0164683	0.00953769	0.00796785	0.00731654	0.0122383	0.00714065	0.00652694	0.00706928	0.0115947	0.0176361	0.0105528	0.0131896	0.0124315	0.00626667	0.00954264	0.0101042	0.0108849	0.00854721	0.00911512	0.0158466	0.00951411	0.00942845	0.007381	0.00490664	0.00595651	0.00895186
assuré	0.0475044	0.0331271	0.0291559	0.0385492	0.0336756	0.0402644	0.032338	0.0329476	0.0241825	0.019854	0.00792015	0.0130519	0.0100019	0.00945828	0.00872347	0.0123297	0.0194055	0.0236362	0.0183523	0.0374756	0.0207948	0.0410176	0.0358962	0.0304163	0.02728	0.0393978	0.0494897	0.0442533	0.0415769	0.0371524	0.0295663	0.014153	0.0172373	0.00460944	0.00422246	0.00544147	0.00577732	0.00465835	0.00451484	0.004531	0.00490185	0.00942589	0.0119639	0.0197681
qu'	0.0146995	0.0160485	0.0169063	0.0161427	0.0198161	0.0306856	0.0370192	0.0331496	0.031641	0.0398106	0.0443578	0.0376267	0.025879	0.0202511	0.0249372	0.0152516	0.00756412	0.00711159	0.0083137	0.00769051	0.00887329	0.0123305	0.0198975	0.0280568	0.0186415	0.0212015	0.0297483	0.0410428	0.0526562	0.0299986	0.0327306	0.0161423	0.0101256	0.00882947	0.00716065	0.0102626	0.0145481	0.0112746	0.0101318	0.015856	0.0163441	0.0275522	0.0282192	0.0734733
il	0.0219887	0.0184382	0.0166305	0.0157077	0.0154068	0.0155669	0.0158546	0.0196857	0.0156362	0.0176946	0.0150945	0.0100364	0.0120067	0.0108748	0.00914249	0.0174432	0.0185712	0.0201871	0.019754	0.0221156	0.0177332	0.0281959	0.032872	0.0330249	0.0284924	0.0354649	0.0536596	0.0494048	0.0448161	0.0498818	0.0444054	0.0285427	0.0305771	0.0167996	0.0143437	0.0123864	0.0142885	0.011858	0.011296	0.0167628	0.0150127	0.0173995	0.0247497	0.0401965
n'	0.0606783	0.0339677	0.0289367	0.0317099	0.0274399	0.0347472	0.0333703	0.043323	0.0240554	0.0213442	0.010989	0.0121216	0.011363	0.00961468	0.00741288	0.012799	0.0123923	0.0130691	0.0143079	0.0120098	0.00990428	0.0113296	0.0142612	0.0111675	0.0140147	0.0164305	0.0276113	0.0374225	0.0310042	0.0319904	0.0367256	0.0212434	0.0226268	0.0150914	0.0156995	0.0208396	0.0215879	0.0202742	0.0177775	0.0218206	0.018158	0.0301196	0.0300653	0.0471825
y	0.115548	0.0634652	0.0434435	0.0271135	0.0151354	0.0165736	0.0182413	0.0261631	0.0191907	0.0228364	0.0148213	0.0175381	0.0158832	0.0158737	0.0207152	0.0199795	0.0149693	0.0173911	0.019197	0.016644	0.0121349	0.0129606	0.0113488	0.0192956	0.0138527	0.0126826	0.0111806	0.0226775	0.020582	0.0159949	0.0229291	0.0145588	0.0164189	0.0220577	0.0232731	0.0162516	0.022599	0.0181774	0.0201028	0.0187098	0.0219279	0.0209386	0.0265393	0.0420826
avait	0.215013	0.0979225	0.0392015	0.0146834	0.00883167	0.00510232	0.00411045	0.00455367	0.00422143	0.00469178	0.0058952	0.00818069	0.0122849	0.0140513	0.0384829	0.0235715	0.0186655	0.0251308	0.0189201	0.0271004	0.0135655	0.0145441	0.0122153	0.0226978	0.0175426	0.0139239	0.0129041	0.0300405	0.0229377	0.0156468	0.0198142	0.0151382	0.0161424	0.0153575	0.0194729	0.0093974	0.0128897	0.00947259	0.0118606	0.0102203	0.0185807	0.0149892	0.0174443	0.042587
personne	0.0639017	0.0243311	0.0173659	0.0132415	0.00765975	0.0068482	0.00646162	0.00713875	0.00709024	0.00727419	0.00529843	0.00516859	0.00366173	0.00526454	0.00597394	0.00511249	0.00785055	0.00795186	0.0112938	0.0149089	0.0243491	0.0159216	0.0232714	0.0301318	0.0303514	0.0356621	0.0316808	0.0654874	0.0735704	0.0384064	0.0413347	0.0503895	0.029084	0.0161063	0.0133171	0.0174145	0.0198338	0.0162452	0.0173068	0.0254119	0.0308128	0.0346833	0.0404577	0.0449722
avant	0.0648727	0.0325195	0.0221689	0.0126818	0.00713274	0.00450027	0.00407253	0.00490642	0.00497654	0.00658887	0.00715957	0.00546133	0.0043111	0.00437614	0.00314441	0.00488614	0.00661401	0.00744834	0.0116526	0.012149	0.0211818	0.0138958	0.0319326	0.0216834	0.0296539	0.0398433	0.0392711	0.076738	0.0760775	0.0459825	0.0442234	0.0401893	0.0234535	0.0159412	0.014212	0.0131586	0.0173326	0.0144549	0.0174631	0.0188101	0.0257611	0.0291212	0.0322858	0.0657102
d'	0.0577051	0.0260221	0.018724	0.00996041	0.00683137	0.00521054	0.00377508	0.00375966	0.00342764	0.00401338	0.00397058	0.00255138	0.00236782	0.00181543	0.00151308	0.00219786	0.00346897	0.00594052	0.0102334	0.0115731	0.0189419	0.0133643	0.0298263	0.0215018	0.0244846	0.03481	0.0538377	0.0795253	0.0812656	0.0782153	0.0712376	0.075459	0.049018	0.0260918	0.0174007	0.0148752	0.0184345	0.0133711	0.015919	0.0101687	0.011392	0.0133088	0.0131539	0.0293355
entrer	0.178217	0.0907302	0.0430377	0.0199046	0.00952892	0.00672729	0.00625044	0.00735706	0.0058209	0.00571596	0.00656313	0.007739	0.0102967	0.00902485	0.0159057	0.0146828	0.0129753	0.0149522	0.0157732	0.0176433	0.023732	0.0148758	0.0245217	0.0240289	0.0268849	0.0197679	0.0135152	0.0434379	0.0349624	0.015292	0.0191694	0.0173302	0.0119263	0.00892312	0.00940921	0.00789749	0.00955933	0.0078329	0.0110824	0.0122556	0.0220698	0.0225165	0.0317492	0.0684133
</S>	0.0883057	0.0337354	0.0194917	0.0121363	0.00725902	0.00619068	0.00530204	0.00693651	0.00616577	0.00824951	0.0102053	0.00893657	0.00745719	0.00746712	0.00928	0.0106765	0.0118061	0.013966	0.0174315	0.0171257	0.0190079	0.0172905	0.0285374	0.0270939	0.0311971	0.0281044	0.0211302	0.0743	0.0712812	0.0348135	0.0414966	0.0275631	0.0168805	0.0220996	0.0249968	0.01258	0.01785	0.0144277	0.0183431	0.0135055	0.018594	0.0239458	0.030685	0.0561519
