 	t	á	á	y	a	n	g	a	l	a	á	m	i	l	o	n	d	á	b	ω	ω	s	á	n	d	é	e	</S>
le	0.0192552	0.0300758	0.0758998	0.0428627	0.0382924	0.032198	0.0293614	0.0548716	0.0738897	0.0748624	0.0549934	0.0517612	0.0652288	0.0442552	0.0430005	0.0258487	0.0331924	0.0372448	0.0279881	0.0195267	0.00989398	0.010293	0.0124135	0.0109599	0.0183198	0.0262713	0.0154449	0.0217949
père	0.156532	0.0743248	0.137384	0.0802296	0.0588467	0.0704673	0.0517397	0.0620312	0.04736	0.0777739	0.0464321	0.0264543	0.0252321	0.00692324	0.00478796	0.0050885	0.00289364	0.00273832	0.00700946	0.00776414	0.00739483	0.004785	0.0110729	0.00785998	0.00525006	0.0073976	0.00233498	0.00189167
de	0.0261164	0.0253962	0.0324632	0.0314486	0.0656298	0.0691207	0.0891772	0.127054	0.113833	0.0722741	0.0321696	0.0303732	0.0399657	0.021629	0.00987695	0.0287458	0.0143808	0.030851	0.033766	0.0305765	0.0168647	0.0139743	0.0126616	0.00698421	0.00548566	0.0050684	0.0074951	0.00661849
ngala	0.0370856	0.0627946	0.0646107	0.0773601	0.111901	0.0729986	0.0698458	0.0491206	0.0461168	0.0325428	0.043574	0.0211765	0.0181042	0.0168517	0.0132739	0.0112655	0.00715668	0.00619762	0.0150491	0.0156555	0.0133087	0.0179437	0.0247338	0.0236301	0.0276362	0.0269322	0.0283322	0.0448015
a	0.0844675	0.0622124	0.0374198	0.0487266	0.0803992	0.0507893	0.0478058	0.0415883	0.0422332	0.0369717	0.0379256	0.0270399	0.0324407	0.0163508	0.0115085	0.00953935	0.00477722	0.00536516	0.013603	0.0145519	0.0148079	0.0204311	0.0334971	0.0264649	0.0337386	0.0421709	0.0400601	0.0831134
aménagé	0.0348075	0.039045	0.0306389	0.0385071	0.050004	0.0278683	0.0277674	0.0323852	0.0225802	0.0236033	0.0275533	0.0199039	0.0197921	0.0140494	0.0130892	0.0133321	0.0154851	0.0188495	0.0417328	0.0489408	0.0396155	0.0379333	0.0524723	0.0465077	0.0520946	0.0641239	0.0601799	0.0871379
une	0.0488437	0.0358762	0.0273731	0.0348115	0.0543079	0.0303344	0.0274835	0.0282224	0.021036	0.0224071	0.0204799	0.0233128	0.0205948	0.0173642	0.0201352	0.0155538	0.0224042	0.0244696	0.0484687	0.0534837	0.0506611	0.0410048	0.039556	0.0417097	0.0412749	0.053017	0.0560176	0.0797966
place	0.0396474	0.0350238	0.0212265	0.0259885	0.0243953	0.0135638	0.00919485	0.00865185	0.00804703	0.0104338	0.0102587	0.012849	0.0172301	0.0149765	0.0170823	0.0150438	0.021103	0.0296951	0.0595649	0.0664665	0.0754743	0.061862	0.0532442	0.0557655	0.0554504	0.0634427	0.0805301	0.0937878
dans	0.146837	0.0770377	0.0869743	0.103869	0.114241	0.062489	0.0235707	0.0136037	0.00952248	0.0142954	0.0113	0.00908874	0.0067247	0.00572179	0.00714948	0.00360717	0.00867563	0.00620924	0.0195956	0.0265399	0.0187168	0.0164514	0.0207911	0.0207866	0.0165324	0.0227878	0.0414417	0.0854395
sa	0.0878204	0.053671	0.0506893	0.0602411	0.0735273	0.0429195	0.0203432	0.0144428	0.0127939	0.00994999	0.00814018	0.00732318	0.00643879	0.00665595	0.00600261	0.00535003	0.00527786	0.00651362	0.0221598	0.0244307	0.0245074	0.0347942	0.0453843	0.0477507	0.0534865	0.0584187	0.0758155	0.135151
