 	m	v	á	n	d	é	á	m	i	p	i	á	e	b	h	e	s	é	y	έ	έ	b	v	έ	έ	k	ú	m	ú	</S>
le	0.00984336	0.00935047	0.0155702	0.0112125	0.0171848	0.0241968	0.0302067	0.0399458	0.0804645	0.0722081	0.114734	0.0604574	0.0562569	0.0531912	0.0320895	0.022586	0.0310825	0.0280033	0.0341068	0.0312295	0.0368197	0.0253137	0.0192271	0.0131838	0.0182314	0.0163525	0.0182445	0.0181201	0.0269849	0.0336015
chien	0.0135123	0.0124028	0.0471391	0.0397529	0.0378891	0.0513901	0.0650076	0.0793002	0.153748	0.103225	0.152758	0.0645421	0.0458713	0.0205612	0.00910854	0.00422379	0.00511676	0.00189954	0.00282968	0.0119695	0.00433188	0.00920601	0.0109948	0.0146529	0.00711222	0.0111306	0.010865	0.00522051	0.00246888	0.00176925
a	0.0238756	0.0181136	0.0253302	0.0311864	0.0374202	0.0482013	0.0392193	0.0493567	0.0696223	0.0360221	0.0392282	0.0217796	0.0196812	0.0243299	0.0340601	0.0599708	0.035489	0.088981	0.0619164	0.038133	0.0472093	0.0434241	0.0352375	0.0267435	0.0160508	0.0085827	0.00718117	0.00458146	0.00482366	0.0042491
attrapé	0.0461424	0.0537807	0.0568133	0.0686859	0.0496745	0.0552776	0.0396345	0.0657153	0.0825458	0.0974788	0.0946301	0.0500467	0.0307351	0.0114744	0.00699277	0.0157279	0.0129169	0.00783883	0.00901358	0.00973483	0.00653785	0.00836703	0.0126006	0.00815427	0.00881134	0.00976873	0.0106128	0.0107509	0.0193736	0.0401632
l'	0.0633809	0.0292995	0.0203868	0.0140297	0.0132938	0.0110956	0.011018	0.0168474	0.0502181	0.0310938	0.0460315	0.0451437	0.035785	0.0236108	0.0245218	0.0211782	0.0379862	0.0125867	0.0151461	0.031693	0.025112	0.0390631	0.0443822	0.0499076	0.0453333	0.0640603	0.0575596	0.0512276	0.0268648	0.0421428
os	0.0377144	0.016101	0.0103117	0.0123719	0.0109687	0.0105584	0.00993322	0.0122754	0.0254171	0.01792	0.0419124	0.0251653	0.0220372	0.00534736	0.00835313	0.0237245	0.049961	0.0272834	0.0378035	0.0603017	0.0360017	0.058231	0.0717389	0.0594041	0.0697672	0.0798232	0.0664933	0.0347461	0.0206936	0.0376395
qu'	0.0480138	0.0255096	0.0173466	0.0145037	0.0133565	0.0108043	0.0106755	0.01475	0.0260607	0.0265794	0.0326127	0.0280445	0.0213676	0.012308	0.0115134	0.0281644	0.0508495	0.0304601	0.03671	0.0495351	0.0341232	0.053126	0.0563749	0.0515436	0.0501441	0.053486	0.0426814	0.0431341	0.043237	0.0629844
a	0.0432151	0.0365956	0.0410352	0.035943	0.0425015	0.0347854	0.0267943	0.0215742	0.0210708	0.0216189	0.0214386	0.0203275	0.0251184	0.0231813	0.0171521	0.0233456	0.0275796	0.0270924	0.0215184	0.025934	0.025443	0.0334128	0.0227938	0.0321208	0.027438	0.039243	0.0355529	0.0579612	0.0572802	0.110933
jeté	0.178255	0.0949313	0.0485148	0.028527	0.0186089	0.00887991	0.00497098	0.00319079	0.00226214	0.00215158	0.00143252	0.00106565	0.00130956	0.00241141	0.00491793	0.0114621	0.0179806	0.0162762	0.0234938	0.0310063	0.0372758	0.0353129	0.0312696	0.0370609	0.0323063	0.039593	0.0413769	0.0651644	0.0768973	0.102094
son	0.112367	0.0680222	0.0448655	0.0300859	0.0225006	0.011645	0.00660006	0.00544443	0.00415785	0.0044136	0.00289696	0.00218847	0.00231132	0.00395289	0.00677777	0.0113587	0.017591	0.0181955	0.0224737	0.0304669	0.0367872	0.0351105	0.0303261	0.0397824	0.0334027	0.0467988	0.0500313	0.0825836	0.098003	0.118859
maître	0.0645694	0.0335939	0.0141944	0.00797216	0.00508652	0.00331721	0.00363269	0.00421915	0.00422649	0.00444625	0.00339713	0.00454446	0.00535457	0.00705151	0.0153573	0.0263545	0.0329179	0.0382621	0.0367044	0.0339022	0.0445956	0.0491665	0.0355455	0.0597301	0.0386888	0.0445769	0.0440114	0.0970379	0.0916801	0.145863
</S>	0.144676	0.0953877	0.0344618	0.0298641	0.0209799	0.0170542	0.0087771	0.0116008	0.0104104	0.00949817	0.0074582	0.00384328	0.0043631	0.00631808	0.00984892	0.0200515	0.0336234	0.0402381	0.0283927	0.0329117	0.0361304	0.0341305	0.0593281	0.037197	0.0301316	0.0259244	0.0275824	0.0404307	0.0402044	0.0991816
