 	i	l	ώ	b	h	í	l	í	b	á	a	s	w	é	í	d	í	i	y	í	í	</S>
il	0.0770855	0.0925335	0.0497068	0.0569687	0.0580111	0.0501579	0.0395394	0.0582	0.0466392	0.0493569	0.0620108	0.0908495	0.045668	0.0192641	0.0187375	0.0135235	0.0317438	0.0293386	0.0333165	0.0282665	0.0267124	0.0223698
y	0.147577	0.13243	0.153384	0.110633	0.0738667	0.0428207	0.0233298	0.00969302	0.00863061	0.014856	0.0120326	0.0233378	0.0127547	0.0250278	0.018662	0.02756	0.0197424	0.0133953	0.0262984	0.0190504	0.0364588	0.0484582
a	0.117082	0.0412907	0.017878	0.00904297	0.00788508	0.00823423	0.0174702	0.0169285	0.0182301	0.0461645	0.0670591	0.0540784	0.13122	0.0719411	0.112782	0.0414415	0.0488205	0.0333318	0.0342477	0.0366283	0.0340669	0.0341773
plusieurs	0.0303098	0.0266139	0.0357452	0.0259773	0.0405877	0.0503968	0.0276358	0.0160979	0.0131019	0.0204347	0.0318518	0.0396118	0.0664707	0.0857111	0.143352	0.0950596	0.0498499	0.0603572	0.0341161	0.0320415	0.0431174	0.0315596
manières	0.0603397	0.0584352	0.0416551	0.0433904	0.0413442	0.0417784	0.0591689	0.0383722	0.0547104	0.0741971	0.04442	0.0792153	0.032353	0.0276393	0.035593	0.0326159	0.0389839	0.0417324	0.0334097	0.0363186	0.0302866	0.0540409
de	0.0454729	0.0371263	0.0275159	0.0377815	0.0427856	0.0416842	0.0257949	0.0398206	0.0384526	0.035939	0.028284	0.021835	0.0291357	0.0151536	0.0234261	0.0151105	0.0256552	0.037052	0.0814772	0.133646	0.116667	0.100184
pêcher	0.0624581	0.0363784	0.0358717	0.0345713	0.0411222	0.0287763	0.023373	0.0175444	0.0180481	0.0205426	0.0282002	0.0200349	0.0334506	0.0256559	0.0351357	0.0316428	0.0579178	0.0519257	0.0839183	0.076666	0.101093	0.135674
du	0.0555862	0.0856731	0.0726917	0.0738805	0.0653877	0.0518056	0.0530957	0.0303542	0.0262716	0.0229007	0.0192779	0.0184982	0.021539	0.0159254	0.0203961	0.0219291	0.0313955	0.0308937	0.0563234	0.0510218	0.0581415	0.117011
poisson	0.0617656	0.0973244	0.0655207	0.0637876	0.040939	0.0380099	0.0259787	0.0353574	0.0292318	0.0227255	0.014664	0.0158605	0.0262283	0.025405	0.0191004	0.0321372	0.0349438	0.0357425	0.0503387	0.0549315	0.089489	0.120519
</S>	0.125567	0.0846854	0.0559712	0.035582	0.0171428	0.0129634	0.0147233	0.0183642	0.0149775	0.0177523	0.0138698	0.0104079	0.0137312	0.0171477	0.0141212	0.0228026	0.0292261	0.026052	0.0391449	0.0560667	0.175484	0.184217
