 	k	ώ	l	i	á	p	i	i	m	w	á	n	a	n	d	z	é	s	i	ó	n	d	z	á	l	é	</S>
le	0.0187531	0.0163032	0.0147463	0.00980487	0.0199892	0.0342924	0.070555	0.0600329	0.0556467	0.0538841	0.0561893	0.0568609	0.0495115	0.0578815	0.0527905	0.0479258	0.053056	0.0435536	0.044517	0.0346237	0.0277897	0.0245891	0.0214857	0.0175533	0.0230773	0.0189333	0.0156539
caiman	0.122169	0.083572	0.0577847	0.141114	0.0707584	0.092826	0.039268	0.0617538	0.0472272	0.0900767	0.0855325	0.0258517	0.0253287	0.0126599	0.00815901	0.00533633	0.0124465	0.00327404	0.00164577	0.00138633	0.00195038	0.00104855	0.00105506	0.00129318	0.00148826	0.00265503	0.00233867
a	0.0597334	0.0263807	0.0213234	0.0150687	0.0225781	0.027013	0.0307042	0.0527592	0.0273572	0.0513089	0.0244441	0.0286507	0.0789992	0.0694104	0.0781091	0.0576368	0.0561445	0.0420332	0.0364328	0.030512	0.0278695	0.022225	0.0219204	0.0207086	0.0240054	0.0255269	0.0211446
dévoré	0.0505993	0.0523966	0.0746436	0.0645983	0.0818719	0.089819	0.0892933	0.0844009	0.0600541	0.0833584	0.0409858	0.0174004	0.0274067	0.024715	0.0217643	0.0173423	0.0127616	0.011109	0.0112319	0.0127533	0.00952512	0.0104791	0.00618003	0.00644074	0.0124968	0.0102454	0.0161271
un	0.0637157	0.0391948	0.029735	0.0312205	0.0343422	0.0394244	0.0453555	0.0469407	0.0413161	0.044951	0.0292271	0.0206271	0.0125934	0.0119542	0.0176506	0.0214613	0.0159414	0.0232486	0.030996	0.0297137	0.0330521	0.0348459	0.0400242	0.0452777	0.055076	0.058977	0.103138
petit	0.0316396	0.0301384	0.030493	0.0340053	0.0285651	0.0310741	0.0267823	0.0292958	0.0247967	0.032337	0.0249255	0.0230858	0.0217087	0.0307232	0.0523841	0.0464536	0.0451175	0.0315977	0.0286384	0.0327353	0.0298428	0.0388385	0.0525247	0.0455512	0.0527091	0.053262	0.0907746
enfant	0.0275724	0.0257103	0.0279732	0.0295291	0.0259799	0.0265902	0.0213609	0.0226764	0.0225656	0.0354772	0.0286139	0.0330241	0.0201887	0.025926	0.0395495	0.0373049	0.0343151	0.0287869	0.02642	0.0297644	0.028274	0.0386483	0.0537638	0.0313844	0.0660695	0.0828115	0.12972
à	0.0158815	0.014863	0.0145341	0.0178269	0.0182769	0.0159816	0.0140844	0.00990041	0.00968748	0.0120949	0.0202466	0.0254854	0.0318234	0.0901199	0.100824	0.07556	0.0846314	0.0628435	0.0502487	0.0581554	0.0379014	0.04739	0.0389428	0.0163186	0.0287426	0.0266052	0.06103
la	0.0472207	0.0293746	0.0269566	0.0260455	0.0225648	0.0227242	0.0181036	0.00779953	0.0056591	0.00605836	0.00785005	0.0110109	0.0179007	0.030252	0.0365943	0.0358538	0.0409527	0.0585236	0.0514124	0.0497168	0.0478376	0.0609058	0.0583358	0.0442592	0.0661179	0.0739821	0.0959873
rivière	0.0792254	0.0453923	0.0274551	0.0225705	0.0156372	0.0148523	0.0109135	0.00642645	0.00649863	0.00765494	0.0149016	0.0250019	0.0334581	0.0473911	0.0449409	0.037122	0.0369525	0.023131	0.0348628	0.0599465	0.0549908	0.0726442	0.0552053	0.021529	0.0474491	0.0532224	0.100624
</S>	0.0672569	0.042884	0.0470411	0.046186	0.0319986	0.0281108	0.0114079	0.00695977	0.00434794	0.00597594	0.0123884	0.0223807	0.0256635	0.0625998	0.066561	0.0695521	0.0448979	0.0476597	0.034356	0.0434855	0.0267029	0.0419542	0.0282767	0.0215302	0.034439	0.052721	0.0726624
