 	m	ó	b	v	ú	r	á	á	l	a	n	g	á	w	á	r	é	b	a	á	n	g	á	í	s	ε	r	ε	n	ώ	o	s	í	s	i	</S>
approche-toi	0.00780844	0.00993885	0.0104337	0.0140613	0.0131323	0.01491	0.0270485	0.0345993	0.0434857	0.0515779	0.0524665	0.070392	0.0704903	0.0649973	0.0473022	0.039342	0.0396169	0.0353805	0.0312671	0.0301192	0.0240938	0.0206882	0.0182324	0.0196188	0.0112454	0.0186172	0.0165425	0.0179168	0.0131467	0.00876359	0.0165093	0.023891	0.0218589	0.0235263	0.0179898	0.0189898
de	0.0315475	0.0145518	0.0136563	0.0167517	0.0135127	0.0168524	0.0280581	0.0393006	0.0322112	0.0357333	0.0503802	0.0723715	0.0690597	0.0451081	0.0535073	0.0708309	0.0733469	0.0500016	0.0523153	0.0289707	0.0192276	0.0126814	0.0186806	0.00859173	0.0125308	0.0189163	0.0143315	0.0158477	0.0142939	0.0124385	0.0100752	0.00747161	0.00439444	0.00817381	0.00745099	0.00682641
moi	0.0340194	0.0364996	0.0486895	0.0531488	0.0452654	0.0408917	0.0427597	0.0389711	0.0238872	0.0252266	0.0129567	0.025791	0.0224113	0.0222759	0.0367632	0.0585822	0.0478795	0.0429937	0.046121	0.0515894	0.0351202	0.0229574	0.0179172	0.00935946	0.00628556	0.00901167	0.00961423	0.0119708	0.0107723	0.00846548	0.0116273	0.01365	0.0219295	0.0258718	0.0177834	0.0109409
pour	0.0198348	0.0391779	0.0588856	0.0680784	0.0846613	0.111097	0.0989322	0.0523856	0.0414169	0.0237181	0.022307	0.0179613	0.0139386	0.0130252	0.0184947	0.0233965	0.0166871	0.0189652	0.0171524	0.0182136	0.0187249	0.0131138	0.0204851	0.013782	0.0117958	0.0158443	0.0097368	0.0114726	0.00494271	0.00561253	0.00718407	0.0113948	0.0106726	0.0127662	0.016192	0.0379505
que	0.0162819	0.0218321	0.0249779	0.0276354	0.0284655	0.0284128	0.0258221	0.0258281	0.0226332	0.0261772	0.0176328	0.0163671	0.00873321	0.0119919	0.0098048	0.0111626	0.0105326	0.00653253	0.0136517	0.0519706	0.0306525	0.0185495	0.0251424	0.0276407	0.025222	0.027612	0.0276108	0.0524459	0.0207719	0.0205549	0.0253954	0.0406347	0.0603825	0.0498016	0.0795967	0.0615403
je	0.0152817	0.016182	0.0188746	0.0198208	0.0202822	0.0228434	0.031205	0.0373762	0.0381133	0.047861	0.0395544	0.0382399	0.01608	0.0173599	0.0121893	0.017398	0.0188251	0.0138432	0.0250192	0.0531878	0.0348258	0.0264304	0.0226506	0.0258492	0.0226477	0.0199625	0.0164192	0.0274241	0.0133657	0.0142866	0.0256503	0.0305196	0.0495554	0.0463156	0.0458746	0.0586859
te	0.0300924	0.0241216	0.0200327	0.0189941	0.0176496	0.0158393	0.0184872	0.0199919	0.0185997	0.0204623	0.0173233	0.01441	0.00698185	0.00822445	0.00900268	0.0113314	0.013281	0.00737168	0.0154722	0.0386077	0.035487	0.0264602	0.0402172	0.0434266	0.0437441	0.042157	0.0321651	0.0359489	0.0236763	0.0184344	0.0325374	0.0502967	0.0556199	0.052846	0.053313	0.0673932
transmette	0.0458166	0.033126	0.0220771	0.018912	0.0129668	0.00712407	0.0118495	0.0155524	0.0163188	0.0291331	0.0201204	0.0303917	0.0425082	0.0211355	0.0136998	0.0328443	0.0472948	0.0281669	0.028662	0.0273126	0.0260684	0.0235468	0.0245781	0.0244032	0.0264217	0.0202297	0.0182038	0.0205913	0.0223846	0.0219949	0.0309711	0.023452	0.0492791	0.0399558	0.0571873	0.0657195
un	0.1917	0.0546146	0.0241885	0.0181883	0.0115332	0.00826513	0.0080785	0.00595303	0.00511674	0.0103664	0.0102744	0.0173509	0.0455069	0.027749	0.0269565	0.0531337	0.0675828	0.0706721	0.0539602	0.0168472	0.0243579	0.0352779	0.0316935	0.0156599	0.0182876	0.0100786	0.00866931	0.00549799	0.00633885	0.00525437	0.00613161	0.00392458	0.0109709	0.00911865	0.0306095	0.0500905
message	0.0977255	0.0379862	0.0177562	0.0110006	0.0067928	0.00571342	0.0076401	0.00601323	0.00437675	0.00654625	0.00997309	0.0119262	0.0230365	0.0221305	0.0243603	0.0316683	0.0363825	0.0486413	0.0431674	0.0232228	0.0344604	0.037441	0.0433102	0.0338279	0.0417877	0.0287333	0.0352012	0.019476	0.0356378	0.0202458	0.0226165	0.010765	0.0228954	0.0196425	0.0523219	0.0655773
</S>	0.14169	0.0668944	0.0484344	0.0397358	0.0239218	0.0129308	0.0114516	0.00869985	0.00726746	0.00982425	0.00913149	0.00962767	0.00827104	0.00842936	0.00569543	0.00727481	0.0140538	0.00994803	0.010189	0.01205	0.0166302	0.0175897	0.0281696	0.0253502	0.0409646	0.0236122	0.0276052	0.0223177	0.030535	0.0361982	0.0279763	0.0248366	0.0330523	0.0346005	0.040668	0.104373
