 	t	i	á	l	á	n	ω	l	í	ó	t	a	a	w	á	á	o	t	ú	ú	a	b	i	a	</S>
tu	0.011922	0.0104912	0.0182676	0.0169579	0.0303575	0.0285432	0.0368727	0.0678181	0.0834249	0.0505975	0.0473578	0.0449187	0.0426759	0.0401371	0.0320794	0.0303609	0.0296813	0.0382546	0.0482557	0.0621608	0.0803541	0.0543939	0.0400125	0.0375258	0.016579
peux	0.105318	0.0954986	0.112931	0.123402	0.0907676	0.082437	0.0725709	0.0753281	0.0130442	0.0375035	0.0169069	0.0113328	0.0189063	0.0323417	0.0122533	0.0138797	0.00544131	0.0108727	0.00760218	0.00605727	0.0057907	0.0122786	0.00473519	0.0112698	0.0215302
parler	0.0441299	0.0383243	0.0314114	0.0233978	0.0222876	0.024681	0.0212291	0.0242743	0.016245	0.0240414	0.0305253	0.0348327	0.0356226	0.0452316	0.043844	0.10549	0.0778483	0.0782994	0.0625114	0.0580595	0.0408944	0.040954	0.0327841	0.0295236	0.0135572
comme	0.0354421	0.0465526	0.053854	0.0491484	0.0270592	0.0308429	0.0138887	0.0247103	0.0200529	0.0276785	0.023181	0.0199869	0.056076	0.0563448	0.0456675	0.073409	0.0908433	0.100346	0.059357	0.0255639	0.0229071	0.0174568	0.0132397	0.022459	0.0439325
tu	0.0210933	0.0156139	0.0148512	0.0153505	0.0155815	0.0188478	0.0142001	0.0147408	0.018184	0.0143596	0.0231735	0.0183476	0.0291215	0.0954399	0.0873874	0.0916679	0.122365	0.0981294	0.0484672	0.039198	0.0259303	0.025797	0.0415954	0.0261091	0.0644479
veux	0.0397042	0.0326813	0.0292225	0.0294417	0.0301162	0.0250652	0.0145907	0.0132882	0.0130973	0.013219	0.0139604	0.0149204	0.015705	0.0385937	0.0311362	0.0400354	0.0696585	0.0792233	0.0800133	0.0642905	0.0500972	0.0510665	0.0606337	0.0573535	0.0928861
mais	0.0394133	0.0317695	0.0284699	0.0286256	0.0290791	0.0287885	0.0243602	0.0178992	0.0226425	0.0151579	0.0132887	0.00870148	0.0108881	0.0519421	0.0367236	0.0443909	0.0482717	0.0740257	0.054129	0.0419037	0.0235052	0.0540191	0.0700819	0.0694386	0.132484
n'	0.030072	0.0248724	0.0199392	0.0167304	0.0205433	0.0131103	0.0112037	0.0127255	0.0287139	0.0188674	0.0241651	0.0129383	0.0114865	0.0397372	0.0301222	0.0611252	0.0627748	0.0867567	0.0632407	0.0509605	0.0436513	0.0594572	0.0676828	0.068651	0.120473
insulte	0.0588221	0.0437597	0.0299248	0.0326706	0.0331698	0.0289799	0.0160248	0.0258191	0.0317179	0.0260864	0.0321542	0.0230397	0.0238417	0.0420653	0.0213117	0.0466269	0.0400629	0.073835	0.0574904	0.0482311	0.0357115	0.0359315	0.0302346	0.0551575	0.107331
pas	0.203244	0.120082	0.0785918	0.063781	0.0404149	0.0184649	0.0107103	0.0126015	0.012797	0.00989531	0.0180478	0.00985056	0.0146852	0.0124249	0.0131276	0.0166404	0.0210743	0.0355156	0.0313523	0.023034	0.0186003	0.0213533	0.022013	0.0416146	0.130083
les	0.172396	0.0810985	0.069712	0.0483983	0.0269025	0.0189951	0.00951453	0.0153796	0.0133419	0.00970131	0.0105518	0.00898141	0.00690533	0.00937018	0.0049605	0.0093017	0.00524827	0.0215556	0.0312992	0.0190781	0.0206554	0.0329956	0.025835	0.0906774	0.237145
autres	0.152271	0.067344	0.0468317	0.0275914	0.013362	0.0103274	0.00689944	0.00708037	0.00677615	0.00647496	0.00783018	0.00962064	0.00624733	0.00465946	0.00308698	0.00372241	0.00327765	0.00530988	0.00681593	0.00820553	0.0153741	0.0335149	0.045125	0.124464	0.377787
</S>	0.0927927	0.0519353	0.0394522	0.0369622	0.0289401	0.0316189	0.0161321	0.0154469	0.0100422	0.0119666	0.00968743	0.0054155	0.0101181	0.0469024	0.0319472	0.0599893	0.0478349	0.0841868	0.0569456	0.0376199	0.0333211	0.0465391	0.0339253	0.0625152	0.0977631
