 	o	k	ω	ω	g	h	i	s	i	a	k	ώ	s	ω	á	n	g	á	b	ó	n	d	a	</S>
qui	0.0130335	0.0162852	0.0146163	0.0131277	0.0182481	0.0193797	0.0253593	0.0223024	0.0227663	0.0264979	0.0256381	0.0229698	0.0230187	0.0245862	0.0389368	0.0310958	0.068592	0.0786931	0.134836	0.0942031	0.0760066	0.0602291	0.0733372	0.0562406
a	0.167409	0.165293	0.136997	0.0235207	0.0239177	0.0280349	0.0328155	0.0650113	0.0801624	0.0311723	0.0233311	0.0332955	0.0160576	0.0109995	0.0168582	0.0287135	0.0236624	0.016184	0.019755	0.0158745	0.0127957	0.0132844	0.00863937	0.00621489
attendri	0.0286196	0.0329629	0.0316202	0.0173982	0.015257	0.0163853	0.0172169	0.0214505	0.0158094	0.0168925	0.0137656	0.0306992	0.0816984	0.111121	0.0907141	0.151294	0.100683	0.0573583	0.0520032	0.0298139	0.0256644	0.017425	0.0111362	0.0130114
mes	0.0414984	0.0320367	0.0295086	0.02531	0.0148757	0.01805	0.0195192	0.038242	0.034876	0.0373629	0.0248515	0.0459957	0.0466603	0.0638748	0.0704655	0.0802009	0.0755817	0.0716553	0.0776605	0.0485159	0.0319613	0.0318713	0.0217747	0.0176508
pieds	0.0412157	0.041015	0.0512841	0.0547877	0.0767631	0.0601663	0.0748826	0.0697898	0.0457113	0.0807524	0.0714371	0.0460102	0.0268019	0.0381909	0.0242404	0.0373818	0.0325389	0.0305977	0.025511	0.0216691	0.0166254	0.011274	0.006181	0.0151725
de	0.0696315	0.0587398	0.0584374	0.0507713	0.0430492	0.045872	0.0347205	0.0624926	0.0550875	0.0618762	0.0599832	0.0742913	0.0463024	0.0329435	0.0307062	0.0337503	0.0289664	0.0184187	0.0150719	0.0156542	0.0178193	0.0171831	0.0199606	0.0482708
porc	0.0736689	0.0504794	0.044243	0.0521014	0.0500425	0.0496792	0.0453059	0.0441507	0.0277682	0.0294603	0.0231614	0.0181192	0.0239734	0.0269173	0.0226624	0.0376178	0.0360092	0.016124	0.0238659	0.0457518	0.037032	0.0701793	0.0541795	0.0975073
de	0.0487411	0.0343817	0.0344104	0.0375126	0.0365659	0.0385594	0.0365323	0.0500306	0.0406277	0.0460275	0.0418788	0.0306668	0.0350606	0.0326603	0.0319691	0.0411936	0.0315441	0.0170875	0.0232553	0.038004	0.0359229	0.0595602	0.0662616	0.111546
la	0.218612	0.0892779	0.0479813	0.0252961	0.0190231	0.0168323	0.0103563	0.0109739	0.00958024	0.00647525	0.00587623	0.00566439	0.00895764	0.0117797	0.00829093	0.017611	0.0180439	0.0306168	0.0392725	0.0615897	0.0637429	0.0845308	0.0711327	0.118483
sorte	0.149071	0.0709595	0.0315782	0.015427	0.0111678	0.0110025	0.0113231	0.012671	0.0130285	0.0112238	0.0108974	0.0138889	0.0203283	0.0140326	0.00878719	0.0102678	0.0112161	0.00802915	0.0142634	0.0410619	0.0368401	0.109117	0.0993034	0.264515
</S>	0.167497	0.101631	0.0642749	0.0239561	0.017666	0.0169076	0.0155891	0.0112172	0.0078684	0.00716137	0.00400552	0.00698949	0.0130261	0.0114333	0.0086956	0.0205482	0.0147009	0.0132816	0.0177352	0.0359587	0.0475765	0.0697163	0.0925468	0.210017
