 	n	d	é	n	g	é	y	é	é	d	z	e	n	g	á	l	a	ε	s	ε	l	a	a	p	ó	a	p	á	b	h	a	i	d	í	l	a	n	y	i	n	g	a	b	v	á	a	b	v	ú	u	</S>
autant	0.0132421	0.0199236	0.020369	0.0232635	0.0271206	0.0265377	0.0235355	0.0269248	0.0359353	0.0431549	0.0572556	0.0695777	0.072734	0.0521249	0.0419329	0.0356067	0.0280156	0.0189414	0.0197633	0.00694932	0.00633414	0.00540059	0.00436451	0.00434898	0.00465138	0.00514877	0.00432673	0.0042502	0.00405257	0.00421797	0.00376168	0.00521515	0.00387102	0.00413126	0.00535055	0.00727331	0.0089602	0.0112864	0.00850083	0.0128946	0.0163404	0.0211917	0.02181	0.0265392	0.0209592	0.0223262	0.0172066	0.0247525	0.015604	0.0180946	0.0139262
hier	0.0748073	0.0632323	0.0568313	0.039234	0.0294991	0.0457479	0.0427769	0.0397935	0.0407084	0.0461113	0.0414302	0.035508	0.0443754	0.0344862	0.0392138	0.0341341	0.0413257	0.0232364	0.0226899	0.0156168	0.0105903	0.00950123	0.00643639	0.00469854	0.00264609	0.00306997	0.00311833	0.00286515	0.00374026	0.00504428	0.00378302	0.00365777	0.00226716	0.00369932	0.00246115	0.00463261	0.00568855	0.00466441	0.00700778	0.00437756	0.00889335	0.010597	0.00666834	0.0114591	0.0112397	0.0107894	0.0069277	0.010449	0.00605302	0.00499048	0.0072244
j'	0.0992552	0.0665432	0.0508718	0.0346173	0.0224055	0.0215399	0.0257072	0.0247047	0.028787	0.0268827	0.0240909	0.0254327	0.0326597	0.0250411	0.0281434	0.0190575	0.0382421	0.0256787	0.0290877	0.0119865	0.0104161	0.00584618	0.00564143	0.00385752	0.00712059	0.00471951	0.00677886	0.00397088	0.00912573	0.00754549	0.0130106	0.00949232	0.0150489	0.00665578	0.010918	0.013784	0.00992209	0.0101441	0.00989972	0.00995322	0.0117183	0.0149394	0.0114137	0.0211361	0.0200323	0.0175342	0.0100182	0.0156043	0.0127558	0.0174953	0.0127666
étais	0.0592067	0.0508007	0.0597414	0.0663507	0.0606495	0.061065	0.0494961	0.0499127	0.0337364	0.0229198	0.0149708	0.0145616	0.0107996	0.012914	0.0110566	0.0127349	0.0135621	0.0134404	0.0149609	0.0154104	0.0165906	0.0129053	0.0120275	0.013152	0.0141879	0.014245	0.0145272	0.0133364	0.0137003	0.0147171	0.013829	0.0152649	0.0168128	0.0147442	0.013311	0.0159321	0.0151201	0.0152221	0.0111715	0.00652527	0.00743736	0.00440028	0.0036962	0.00499658	0.00533646	0.00552693	0.00446087	0.00506815	0.00638837	0.0068815	0.0201946
heureux	0.0715548	0.0476656	0.0291573	0.0270558	0.0146883	0.0140872	0.0153372	0.0103624	0.0119206	0.0128961	0.0299278	0.0300886	0.02671	0.0187831	0.0278919	0.0205444	0.0245018	0.0327961	0.0229331	0.0235564	0.0233304	0.011586	0.0121664	0.0109409	0.00927456	0.0145284	0.0177068	0.0100793	0.0240284	0.0264042	0.0129061	0.0132486	0.0132265	0.00659997	0.00765696	0.0179408	0.00806106	0.0134272	0.0142597	0.0123903	0.00925388	0.0145398	0.0113643	0.0243289	0.0184464	0.0214508	0.0115315	0.0235655	0.0159578	0.00954659	0.0477935
autant	0.00752064	0.00660015	0.00717283	0.00822839	0.00779015	0.00905046	0.0108582	0.0134682	0.0114162	0.0117031	0.00741612	0.00671984	0.010079	0.0105231	0.0117452	0.0115611	0.0120961	0.0154289	0.0128704	0.0178939	0.0128695	0.0171476	0.0159694	0.0224365	0.0280111	0.0310052	0.0419147	0.031639	0.0376133	0.0411112	0.0319712	0.0365889	0.0269951	0.0318818	0.029992	0.0330475	0.0332985	0.0257231	0.0231308	0.0156708	0.0156504	0.0132581	0.0161578	0.0134364	0.0178928	0.0135103	0.019318	0.0170949	0.0194499	0.0244174	0.0516549
je	0.0298839	0.0200173	0.0179878	0.0196711	0.0180465	0.0184339	0.016352	0.0128193	0.00961486	0.00879762	0.00857988	0.00720412	0.00769556	0.00798257	0.00892472	0.00977354	0.0103206	0.0169922	0.0157016	0.0224717	0.0265764	0.0195958	0.0269416	0.0184444	0.022978	0.0228418	0.0279204	0.0219936	0.0321162	0.03248	0.0344022	0.0294116	0.0247662	0.0242235	0.0347588	0.0266228	0.0315929	0.0159839	0.0188907	0.0119055	0.014217	0.0117193	0.0117412	0.0123773	0.0112836	0.0157903	0.0149149	0.0164703	0.0239567	0.029113	0.0466993
suis	0.02933	0.01618	0.0161424	0.0134424	0.0135917	0.00998838	0.00719322	0.00590692	0.00578337	0.00566875	0.00565965	0.00576408	0.00638842	0.00737566	0.00753629	0.00868423	0.0108258	0.0172642	0.0205012	0.0239448	0.0373567	0.017548	0.043144	0.0203266	0.0275927	0.027291	0.0268755	0.0224778	0.0294178	0.022887	0.030435	0.0228775	0.0419841	0.0271432	0.0410002	0.0338367	0.0302143	0.0187193	0.0153844	0.00959411	0.0153065	0.0128968	0.0122014	0.0140962	0.0162082	0.0173748	0.0184559	0.0206803	0.0242073	0.0259435	0.0393517
triste	0.126313	0.0459231	0.0317433	0.0255974	0.0216498	0.013181	0.0119569	0.0111681	0.0123168	0.0137213	0.0179756	0.0162211	0.0152753	0.0201645	0.0188713	0.0254115	0.0254086	0.0256802	0.0385301	0.0309309	0.0488915	0.0105168	0.0222345	0.0112276	0.0130611	0.0149443	0.014962	0.00990885	0.0142148	0.0101005	0.0174371	0.0106359	0.0164507	0.014232	0.0150995	0.0169379	0.0218774	0.0128178	0.0140505	0.00848598	0.0110806	0.00966053	0.00806262	0.0107615	0.0109663	0.014572	0.0102545	0.0117213	0.0147551	0.0141869	0.0178523
aujourd'	0.0267874	0.015663	0.0131426	0.0119807	0.00784143	0.0053376	0.00440276	0.00426603	0.00434619	0.00440077	0.00485908	0.00456441	0.00480835	0.0052794	0.00537815	0.00562778	0.00532682	0.0102644	0.0112136	0.0233649	0.0297775	0.0225782	0.0465005	0.0187073	0.0243846	0.0219823	0.0221137	0.016522	0.0256075	0.0191446	0.0246007	0.0184736	0.0294627	0.0282829	0.0347819	0.0302644	0.0325405	0.0194939	0.0199691	0.0155346	0.0108873	0.0175447	0.0161948	0.0228029	0.0265873	0.0358673	0.0337405	0.0348028	0.039887	0.0401798	0.0419276
