 	o	l	y	έ	έ	m	i	m	ó	o	t	ω	m	b	í	l	i	m	á	n	g	á	w	ú	u	a	d	í	l	o	b	h	ó	a	</S>
celui	0.00723161	0.011354	0.011944	0.0102644	0.00908039	0.01062	0.0143348	0.0135077	0.0196042	0.0211011	0.0246343	0.0226829	0.038743	0.0239621	0.0961644	0.032755	0.0284769	0.0375622	0.0250225	0.0369413	0.018123	0.0164957	0.0171462	0.0152929	0.0140438	0.01419	0.0180123	0.0197164	0.0268393	0.0455309	0.0665803	0.0732232	0.0714629	0.0534604	0.0338958
qui	0.202961	0.074532	0.0438603	0.0378824	0.032523	0.0219719	0.0451815	0.0320134	0.0409593	0.0206686	0.0139205	0.0238283	0.0171021	0.0113695	0.0271524	0.0290414	0.0179586	0.0139007	0.0130943	0.0197567	0.0190719	0.015292	0.0162182	0.0302127	0.0262035	0.0243832	0.0256059	0.0157333	0.012198	0.0116261	0.00948692	0.00776132	0.00334364	0.00812962	0.0350552
s'	0.113129	0.0592442	0.0436337	0.0197412	0.0273667	0.02588	0.0361361	0.0186035	0.0195169	0.00984277	0.00858953	0.0114736	0.00962468	0.0112522	0.00522633	0.00347847	0.0065897	0.00971712	0.0153684	0.0428026	0.0213917	0.0268725	0.0205071	0.0328943	0.032386	0.02611	0.0315471	0.0332654	0.040384	0.0457379	0.048844	0.031898	0.0293225	0.0548452	0.0267775
adosse	0.0417648	0.0417349	0.0429326	0.048831	0.064831	0.0869493	0.0607006	0.0643862	0.0488401	0.0526587	0.0378044	0.0198695	0.0241889	0.0182191	0.017476	0.0128533	0.0213651	0.0251635	0.0289491	0.0534557	0.021052	0.018581	0.00940032	0.0199036	0.0172814	0.0103878	0.00912838	0.00537224	0.00680373	0.00748045	0.00838884	0.00705149	0.00635341	0.00919871	0.030643
sur	0.0147081	0.0203296	0.0322489	0.0398273	0.0530768	0.0593846	0.056344	0.0439137	0.0439943	0.0327635	0.026041	0.0160096	0.0138992	0.0273666	0.0394223	0.0278412	0.0344544	0.0305054	0.0270574	0.0633192	0.0230383	0.0210817	0.0117617	0.0212242	0.0247793	0.0195366	0.0226637	0.0262087	0.0212729	0.0164523	0.0106696	0.0127909	0.0139225	0.0160101	0.0360804
la	0.025238	0.0308629	0.0345293	0.0357914	0.0373127	0.0368637	0.0333148	0.0301072	0.0299632	0.0232216	0.0182064	0.0116649	0.0111534	0.0210662	0.0494513	0.0578167	0.0501555	0.0484703	0.0309847	0.0587894	0.0263428	0.0241335	0.0129287	0.0152384	0.0171043	0.013387	0.0134395	0.0154157	0.0147559	0.0150578	0.0136161	0.0192897	0.0265468	0.0313686	0.0664116
voiture	0.0354038	0.0432408	0.0512452	0.04374	0.0339131	0.0209649	0.0245503	0.0234401	0.0238745	0.0259095	0.0234842	0.0186031	0.0180891	0.0302804	0.0400034	0.0199289	0.0353889	0.0507503	0.0377473	0.0311168	0.0154592	0.023545	0.0144244	0.0168139	0.0115206	0.00661085	0.00870059	0.01384	0.017392	0.0168243	0.0224921	0.0338962	0.0415094	0.0546163	0.0706804
là	0.0358099	0.0403034	0.0464031	0.0526663	0.0497911	0.0485573	0.0384874	0.0315002	0.0339994	0.0318472	0.0295539	0.0241081	0.0221126	0.0324329	0.0401858	0.0369337	0.0360673	0.037546	0.0334448	0.0369975	0.0251854	0.0287113	0.00703379	0.0089326	0.0062065	0.00483742	0.00413678	0.00385082	0.00445295	0.0062887	0.00450434	0.00807075	0.0150144	0.0271245	0.106902
est-il	0.0476039	0.0418095	0.0398165	0.0390247	0.0299274	0.01882	0.0147663	0.014996	0.0151915	0.0214168	0.031186	0.0257808	0.0205396	0.0383457	0.0482918	0.0476525	0.03966	0.0346702	0.0231478	0.0211556	0.0146364	0.014899	0.00554932	0.0107844	0.00702755	0.00628652	0.00809591	0.0123621	0.0172959	0.0201595	0.0227689	0.0319847	0.0329432	0.0552351	0.126169
fou	0.148661	0.0618997	0.0359422	0.0231949	0.0125414	0.00764821	0.00813099	0.00884134	0.00913616	0.0131076	0.0181206	0.0197675	0.0169406	0.0142767	0.0129127	0.00873034	0.0142956	0.0208172	0.0131647	0.0246639	0.0111319	0.0155646	0.0134236	0.0202325	0.0117284	0.00690127	0.011861	0.0124561	0.0190476	0.0396486	0.0409541	0.0620211	0.0502732	0.0754299	0.116533
</S>	0.160974	0.0601725	0.0406423	0.0283898	0.0178174	0.0115786	0.00967579	0.0145409	0.0147057	0.0224593	0.0319295	0.0332577	0.0152087	0.0111774	0.00874039	0.00599708	0.0087386	0.0118604	0.00789833	0.0159212	0.00661832	0.00730852	0.0063302	0.0102819	0.00825388	0.0062362	0.00787857	0.0086869	0.0130341	0.0385738	0.0363971	0.0602348	0.0581618	0.0841145	0.116204
