 	n	d	ω	ω	y	a	t	s	a	n	g	a	n	d	z	ó	r	o	a	b	h	ώ	ώ	m	ώ	ó	t	s	ώ	b	h	ω	y	ώ	ω	</S>
le	0.0152846	0.0166913	0.0144926	0.0190208	0.0172089	0.025825	0.0175409	0.0266032	0.028161	0.0288929	0.0375652	0.0525657	0.0734561	0.0869541	0.0677927	0.0729702	0.0439936	0.0351857	0.0292254	0.0264091	0.0297396	0.0278228	0.0179405	0.013733	0.01761	0.0153302	0.0132719	0.0236406	0.0273618	0.0115516	0.0124432	0.0111685	0.00757517	0.00791349	0.0115827	0.0154756
conseil	0.0179223	0.0233428	0.0935779	0.0901934	0.11814	0.0838086	0.0307272	0.00847758	0.00678662	0.0102977	0.00906649	0.0377916	0.0519793	0.0800672	0.0777974	0.0778976	0.0517168	0.0382121	0.0298751	0.0176499	0.0101887	0.00399456	0.00261005	0.00227161	0.00209579	0.00194821	0.00266102	0.00238759	0.00339383	0.00425017	0.00260905	0.0017627	0.00203975	0.00116841	0.000687426	0.000603634
de	0.0196897	0.0181765	0.0282189	0.0289934	0.0452636	0.0565255	0.0351402	0.0550009	0.0824381	0.0545677	0.0574007	0.0249653	0.0220855	0.0265756	0.0334004	0.0443293	0.0387882	0.0277423	0.0208016	0.0243131	0.0252301	0.0233034	0.0155183	0.0224348	0.0162774	0.0142675	0.0182929	0.0159127	0.0231436	0.0228336	0.0166536	0.0146501	0.0087986	0.00629612	0.00694837	0.0050222
famille	0.0166798	0.03593	0.0503318	0.047566	0.0463357	0.0375874	0.0261738	0.0238206	0.0404366	0.0430826	0.0467923	0.0253378	0.0295911	0.0238681	0.0299815	0.0201378	0.0236871	0.019198	0.0374426	0.0446956	0.0283695	0.0241894	0.016953	0.0153959	0.0140875	0.00960007	0.0166509	0.0184342	0.0191159	0.0285563	0.017538	0.0148397	0.0181862	0.0251422	0.023025	0.04124
au	0.0805957	0.0627184	0.0559891	0.0486727	0.0438798	0.0456796	0.0369184	0.0281096	0.0283735	0.0295979	0.0294265	0.0198982	0.0205844	0.0158954	0.0149461	0.0144829	0.020004	0.0166533	0.0260221	0.0343749	0.0188781	0.0172532	0.0154273	0.0116183	0.011088	0.0117363	0.0134178	0.0102681	0.013109	0.0122374	0.0123782	0.013349	0.0160761	0.0236	0.028124	0.0986164
sujet	0.0378869	0.0335896	0.0302742	0.027389	0.0316171	0.0295554	0.0364838	0.0280549	0.0236291	0.012063	0.0074542	0.0109092	0.00942277	0.009289	0.0092461	0.0105685	0.0173776	0.0192611	0.0328436	0.0376251	0.0308759	0.0362939	0.0353541	0.0282921	0.0277939	0.0281162	0.0316432	0.0317165	0.0354439	0.0274761	0.0333808	0.0338097	0.0426306	0.0384113	0.0303298	0.0538919
de	0.0315114	0.0140634	0.0121966	0.0112274	0.0130427	0.0179886	0.0279429	0.0319112	0.0341706	0.0258352	0.0266264	0.0229776	0.0230102	0.0210097	0.0220063	0.0196284	0.0175446	0.0150826	0.0320171	0.0344459	0.0327316	0.0408832	0.0346733	0.0346283	0.034007	0.0289728	0.036786	0.0322322	0.0308836	0.0298773	0.0261327	0.0259671	0.0279771	0.027326	0.0376828	0.0650003
la	0.0186127	0.0183392	0.0179834	0.0188693	0.0188649	0.0223816	0.0224198	0.0173522	0.0101585	0.00758697	0.00823208	0.00724524	0.00809928	0.00798546	0.00754469	0.0105143	0.01423	0.0145515	0.0243169	0.0295646	0.0276426	0.0317049	0.0318681	0.0305685	0.0323514	0.0322328	0.0358007	0.034164	0.0390469	0.0367596	0.0424184	0.0435245	0.0459672	0.0563524	0.0710899	0.103655
santé	0.0256288	0.021512	0.0173061	0.0144753	0.0132373	0.0148582	0.00754517	0.00542756	0.00456906	0.00349043	0.00418782	0.00369132	0.00412268	0.0020038	0.00298606	0.00758157	0.0115596	0.0218876	0.0323256	0.03103	0.0354243	0.0546266	0.0238951	0.0310042	0.0217294	0.026698	0.0574342	0.0275227	0.0489321	0.0383948	0.0550983	0.0519797	0.0663331	0.0592337	0.0818493	0.0704185
de	0.0476873	0.0309034	0.0307431	0.0308069	0.0279594	0.0217831	0.0209799	0.0212555	0.0173972	0.00881427	0.00813639	0.00443209	0.00489462	0.00281023	0.00366613	0.00419742	0.00744724	0.00605515	0.0153197	0.0206157	0.0173503	0.0213957	0.015599	0.0197031	0.0183883	0.0127233	0.0232426	0.0195478	0.021278	0.0167824	0.0249415	0.0339912	0.0496831	0.0736287	0.0998765	0.195964
tsanganzoro	0.0634215	0.0294551	0.0174851	0.0129848	0.00870998	0.00970466	0.00590387	0.00392862	0.00330392	0.00422108	0.00442863	0.0034435	0.00272565	0.00195152	0.00275223	0.00287591	0.00649154	0.00541079	0.0132593	0.0201049	0.0211978	0.0271189	0.0186404	0.0229142	0.022165	0.0218472	0.0413084	0.0258727	0.0421192	0.0322806	0.0457798	0.0503113	0.0674963	0.0820194	0.129663	0.126703
s'	0.0720425	0.0435794	0.0308336	0.0218461	0.0124039	0.010274	0.00735574	0.00476409	0.00403843	0.00462733	0.00476175	0.00370444	0.0029132	0.001507	0.0022803	0.00236445	0.00657933	0.00580591	0.0139949	0.0276797	0.0262664	0.0349047	0.0246962	0.0271341	0.0245888	0.0255046	0.0372038	0.0273714	0.0453938	0.0304739	0.0415717	0.0459493	0.0633349	0.0685474	0.0853436	0.108359
est	0.0985531	0.0434164	0.0278476	0.0205634	0.0130291	0.0119699	0.00737448	0.00639651	0.00804692	0.0106803	0.00940452	0.0072534	0.00488871	0.00314644	0.00386219	0.00299441	0.0050183	0.00593307	0.0129452	0.0227651	0.0236749	0.0329845	0.0234277	0.0304247	0.0259012	0.0281397	0.0425867	0.0287629	0.0460346	0.0379985	0.0339225	0.0312785	0.0515336	0.0516664	0.0690089	0.116566
tenu	0.034389	0.0161852	0.0148397	0.0132117	0.0136478	0.0103218	0.00560756	0.00334119	0.00247576	0.00260163	0.00309501	0.00313843	0.0031412	0.00227765	0.00367196	0.00662869	0.0114222	0.010571	0.0164839	0.0267154	0.0292507	0.0270251	0.0227778	0.0323147	0.0258415	0.0257403	0.0482455	0.0316515	0.0467157	0.038298	0.0627665	0.0701632	0.0781121	0.0724071	0.095412	0.0895116
calmement	0.0430754	0.0238623	0.018818	0.015432	0.0121193	0.0138663	0.0108885	0.00586764	0.00400783	0.00448619	0.00419683	0.00272972	0.00294466	0.00239359	0.00301486	0.00516862	0.00660912	0.0113378	0.0183146	0.0287504	0.0300226	0.0530616	0.0293102	0.0324386	0.0273166	0.0321106	0.0462487	0.0373542	0.059367	0.0335968	0.0534437	0.0496302	0.0564133	0.0502775	0.0700082	0.101517
</S>	0.033256	0.0307869	0.0237544	0.0285204	0.0283487	0.0210948	0.0196289	0.0162362	0.0166844	0.0142552	0.0134633	0.0113793	0.0061704	0.00590036	0.00874759	0.0127633	0.0175278	0.0184021	0.0251234	0.0297637	0.0186547	0.0295975	0.0199079	0.0177014	0.0167421	0.0198165	0.0231743	0.0167026	0.0302749	0.0267882	0.029658	0.0277373	0.0528773	0.0681677	0.100607	0.119785
