 	e	k	ó	k	ó	y	í	b	o	m	a	a	l	á	b	a	r	e	a	m	w	e	w	á	r	e	a	n	d	z	i	m	b	á	é	m	i	y	a	á	s	á	m	b	o	n	d	z	i	</S>
l'	0.00723776	0.011732	0.0102403	0.0143702	0.0150115	0.014941	0.0186501	0.0173172	0.0325829	0.0270209	0.0605691	0.0445295	0.0624477	0.0633621	0.0504416	0.0535343	0.0385585	0.0475538	0.0256229	0.0506766	0.0217022	0.0259022	0.023123	0.0196488	0.0113552	0.0131063	0.0119054	0.00792494	0.00764959	0.00753416	0.00870794	0.00810313	0.00830684	0.00683175	0.0082511	0.00869105	0.0084145	0.012284	0.0121143	0.0134173	0.00990903	0.0130274	0.00718554	0.00975783	0.00667297	0.00700889	0.0072729	0.0107691	0.00811716	0.00890535
habitude	0.0205178	0.0453987	0.100961	0.066854	0.069697	0.0369006	0.0243998	0.022591	0.0243743	0.0311411	0.0342428	0.0221934	0.0499268	0.0369214	0.0361013	0.0435713	0.0188908	0.0363273	0.0124213	0.0335778	0.00792717	0.00441059	0.0230241	0.0397814	0.0257369	0.00902539	0.00998585	0.00522639	0.00378515	0.00183928	0.00197402	0.00277413	0.00177894	0.0010228	0.00173918	0.00163217	0.00244763	0.0016941	0.00103719	0.00450652	0.00279442	0.00919863	0.010986	0.00704644	0.0162584	0.00467433	0.00655907	0.0197222	0.00238853	0.00201407
d'	0.0338064	0.0206399	0.00830704	0.0040514	0.00298632	0.00276232	0.00410454	0.00326108	0.00381584	0.00770095	0.0182028	0.0168658	0.0272515	0.0222889	0.0263364	0.0220251	0.0289335	0.0310634	0.0413478	0.0486378	0.0863082	0.0347081	0.0500773	0.0380814	0.0492095	0.0186893	0.0239348	0.0225343	0.0284543	0.0197921	0.0154568	0.0169635	0.0145899	0.0145065	0.0148657	0.0196162	0.0146584	0.0146445	0.0104018	0.0128177	0.0140286	0.00803239	0.0203606	0.00968752	0.00869642	0.00428133	0.00652261	0.00854134	0.00834418	0.016806
abattre	0.0320232	0.0209556	0.0182879	0.0139455	0.0192394	0.0214763	0.0362917	0.0405069	0.0208727	0.0165759	0.0315334	0.0283823	0.0346682	0.0548305	0.074776	0.030907	0.0264513	0.0321654	0.0288815	0.0403246	0.00968185	0.0425862	0.020069	0.0260701	0.0308981	0.0205343	0.0173669	0.0149087	0.0207343	0.0269306	0.0107967	0.0204834	0.0101844	0.00671246	0.0116416	0.0148804	0.0161211	0.00963681	0.00538219	0.00402994	0.00343271	0.00387976	0.00247184	0.00190476	0.00185048	0.00328934	0.00317346	0.00493432	0.00467418	0.0076446
les	0.036505	0.0196726	0.0176398	0.0141145	0.0112519	0.00921673	0.0086065	0.00600019	0.00492301	0.00527922	0.00764893	0.00728752	0.00818743	0.00746024	0.0108363	0.00797743	0.00921581	0.00915741	0.0159285	0.0114383	0.0114458	0.0181766	0.0260702	0.0286841	0.0413935	0.0258741	0.0244193	0.0319145	0.0419968	0.0336936	0.0237628	0.029739	0.0181551	0.026909	0.0419832	0.0466037	0.0453651	0.0351873	0.0187815	0.0235004	0.0168522	0.0207483	0.0101908	0.0108723	0.00917768	0.0118887	0.0132834	0.0170345	0.028063	0.0398863
vieillards	0.0175769	0.013601	0.0142097	0.0157013	0.0184636	0.0234593	0.0175654	0.0173071	0.0118538	0.0124681	0.0170923	0.0116915	0.0145227	0.0219578	0.0176698	0.0290705	0.0278801	0.029858	0.0307926	0.0269931	0.00715591	0.00714843	0.0122729	0.0240493	0.0294558	0.0095705	0.0156869	0.0160099	0.0177931	0.0125954	0.0120301	0.0141812	0.0110398	0.0140368	0.0217716	0.0225054	0.0256233	0.0247604	0.0189276	0.0280789	0.0250368	0.0242378	0.0256277	0.0228823	0.0216205	0.0188533	0.0210575	0.0207316	0.0306533	0.0548716
sous	0.0323362	0.0214424	0.0153152	0.0158378	0.0156887	0.0166576	0.0174167	0.0139805	0.00838383	0.00777673	0.00919871	0.00599152	0.00612379	0.00645313	0.00800778	0.00659701	0.00505104	0.00566052	0.0109559	0.00483137	0.00545151	0.00693851	0.00959707	0.0121705	0.0149242	0.0130279	0.0143911	0.0179479	0.0231208	0.0149899	0.0231916	0.0200203	0.0145851	0.0191336	0.0223835	0.0359172	0.0416743	0.0404793	0.0527918	0.0409953	0.0556605	0.0343956	0.0310228	0.0110838	0.0173496	0.0169126	0.0210805	0.0219424	0.0400715	0.073043
prétexte	0.0296085	0.0323633	0.0321128	0.0515759	0.0533851	0.0562961	0.0502043	0.0495646	0.0376393	0.0272902	0.0273363	0.022572	0.0161607	0.0128153	0.0117234	0.00987397	0.0101121	0.00821057	0.0132287	0.00552773	0.00332246	0.00588506	0.00570684	0.00530794	0.00923665	0.00862924	0.0119606	0.00752777	0.0106204	0.0131593	0.0166308	0.0104017	0.0120199	0.0152519	0.00955085	0.0159658	0.0148124	0.0107639	0.0106064	0.00911958	0.00990532	0.0118832	0.0105377	0.00873126	0.0133028	0.0109683	0.0176007	0.0293797	0.0380938	0.085517
qu'	0.0207823	0.0215718	0.0240268	0.0296991	0.0217472	0.014435	0.0112803	0.0138994	0.0121664	0.013286	0.010564	0.00974346	0.0069947	0.00568127	0.00726862	0.00560142	0.00700799	0.00735569	0.0106038	0.00814773	0.00527225	0.0123221	0.0118268	0.0107486	0.0133515	0.0150702	0.0156227	0.0136731	0.0171748	0.0271146	0.0367553	0.0305611	0.0257417	0.0257096	0.0188877	0.0264511	0.0215191	0.0181924	0.0130319	0.0163316	0.0218215	0.0203949	0.0250204	0.0185085	0.0311481	0.028657	0.0377622	0.0420799	0.0457999	0.0915865
ils	0.0223268	0.0184819	0.0156046	0.0162976	0.0126583	0.0114469	0.0173774	0.0201556	0.0141729	0.0121118	0.0118951	0.012245	0.00842836	0.00544049	0.00494947	0.00375608	0.00445277	0.00318163	0.00508051	0.00397354	0.00487821	0.00409171	0.00690648	0.010633	0.0135749	0.0199886	0.0149054	0.0184299	0.0255786	0.0264406	0.0233322	0.0244137	0.0203859	0.0409625	0.0291262	0.0319686	0.03432	0.0329363	0.0471096	0.0341729	0.039349	0.0410539	0.0290773	0.0320189	0.0299213	0.0253812	0.0202151	0.0235838	0.0249998	0.0462077
