 	t	á	á	a	d	í	l	a	i	k	á	m	b	í	m	ó	w	a	m	ó	i	d	z	w	a	l	á	o	k	i	a	</S>
son	0.00406674	0.00835012	0.0214476	0.0314695	0.0233973	0.0319754	0.0136162	0.0117061	0.0154819	0.0134811	0.0291404	0.0349632	0.0497396	0.0423361	0.0925204	0.105422	0.0987974	0.0740405	0.0860245	0.03286	0.0310008	0.0158272	0.0114581	0.0177879	0.0109995	0.0128114	0.0136239	0.0135343	0.012259	0.0140029	0.0157206	0.0101383
père	0.0635955	0.165798	0.122963	0.0708457	0.157141	0.142503	0.093534	0.0358767	0.0437323	0.0143004	0.014076	0.0160335	0.00713306	0.00394903	0.00364318	0.00220943	0.00207362	0.00355472	0.00162183	0.0034468	0.00225932	0.00575178	0.00595488	0.00190243	0.00145572	0.00194544	0.00382853	0.00377176	0.0015934	0.0021537	0.000921427	0.000431431
a	0.0194039	0.0133697	0.0136411	0.0248386	0.0233056	0.0368307	0.0575883	0.0480572	0.0531806	0.0850909	0.0573894	0.0680113	0.0409864	0.0495011	0.0374102	0.0400742	0.0344534	0.0461187	0.0627438	0.0378854	0.0311436	0.0177406	0.00966742	0.00853258	0.00740117	0.00990276	0.0149313	0.0111812	0.0111406	0.010709	0.0116441	0.00612536
besoin	0.0238521	0.0260665	0.0171904	0.0191435	0.0154685	0.0280743	0.0275582	0.0245525	0.0353867	0.0424821	0.032463	0.0388455	0.0424881	0.0392795	0.0449103	0.0422167	0.0236685	0.0338215	0.0327467	0.0367611	0.0470153	0.0402659	0.0425912	0.0418482	0.0209023	0.0288349	0.0217008	0.0269123	0.022035	0.0247991	0.0297849	0.0263347
de	0.0610114	0.0334144	0.0229376	0.0248154	0.0208749	0.0305498	0.02553	0.0212388	0.0304124	0.0363076	0.0318382	0.044296	0.0442363	0.0405862	0.0510378	0.0394503	0.0354668	0.0326485	0.0332107	0.0310026	0.0388226	0.0341543	0.0207093	0.0207791	0.0205354	0.0196764	0.0170796	0.0212458	0.0220817	0.0229079	0.0251516	0.0459907
lui	0.0393709	0.0412454	0.0293417	0.0334551	0.0211806	0.0261441	0.0251768	0.0221762	0.0365146	0.0354551	0.0348952	0.0392343	0.0324202	0.0235514	0.022711	0.0251004	0.0164929	0.019991	0.0287654	0.0429045	0.0582757	0.0502014	0.0301872	0.0304523	0.0285681	0.0230227	0.023889	0.0190673	0.0206368	0.0252348	0.0262636	0.0680745
pour	0.062351	0.0431995	0.0411707	0.0407146	0.0267959	0.0377111	0.0315084	0.0225642	0.0267265	0.0251533	0.0169992	0.0191069	0.0212496	0.0147321	0.0249413	0.0210674	0.0177322	0.0138466	0.0192058	0.0227921	0.0323696	0.0322414	0.0246075	0.0275478	0.0233246	0.0277615	0.0303212	0.0311683	0.0286773	0.0434017	0.0527362	0.0962745
aller	0.0326924	0.0241916	0.0234063	0.0200923	0.0174137	0.0185234	0.0145243	0.0128255	0.0229401	0.0243472	0.0274962	0.0305922	0.0309473	0.0219002	0.027771	0.0223414	0.019994	0.0178104	0.025005	0.0274078	0.0320829	0.0278109	0.026992	0.031909	0.0211508	0.0313596	0.0277746	0.0428822	0.0326192	0.0576244	0.0773915	0.128181
à	0.0519808	0.0407076	0.0325888	0.0225729	0.0193831	0.0183306	0.0196399	0.0169993	0.0189766	0.018147	0.0128119	0.015308	0.0154743	0.0124622	0.0142756	0.0122521	0.00827921	0.0095864	0.00939768	0.0113735	0.0246159	0.0290234	0.0277399	0.0838726	0.0358921	0.0672276	0.0331256	0.0498883	0.0390057	0.0663942	0.0631289	0.0995387
la	0.0299262	0.0295595	0.0300136	0.0252992	0.0243867	0.0218103	0.0167169	0.0131779	0.0117011	0.0122942	0.0107121	0.0105625	0.0127543	0.0111774	0.00924263	0.0118909	0.00669576	0.00806344	0.0101445	0.0146855	0.0257679	0.0282712	0.0360275	0.0539486	0.0364024	0.0629228	0.0500913	0.0697958	0.0488369	0.0819455	0.0840173	0.101158
chasse	0.0151912	0.0158565	0.0162094	0.0129814	0.0123899	0.0103668	0.0103944	0.0104491	0.0103654	0.0122779	0.0106332	0.0104561	0.0145303	0.0166273	0.0178228	0.0231789	0.0138938	0.0178891	0.0223082	0.0264225	0.0311373	0.0329847	0.0351983	0.0383827	0.0340801	0.0427973	0.045863	0.0500737	0.0410992	0.0918954	0.102111	0.154133
</S>	0.10446	0.0720177	0.0635715	0.0341622	0.0305574	0.022253	0.031826	0.0149181	0.0208845	0.0261861	0.0158054	0.0144803	0.0131065	0.0112485	0.010053	0.0116578	0.00690057	0.0107382	0.0141515	0.0193882	0.0345934	0.0381238	0.0353636	0.0398118	0.0250178	0.0346675	0.0257551	0.0336677	0.0321433	0.044034	0.0481676	0.0602882
