 	k	á	a	l	é	e	s	e	n	g	i	s	á	a	k	á	m	b	e	n	z	a	m	b	é	á	s	e	r	e	</S>
nous	0.108995	0.234684	0.0893696	0.0622482	0.0641554	0.0280274	0.0181406	0.0124089	0.0223771	0.0190284	0.0154802	0.0178802	0.0157073	0.0201276	0.0189015	0.0139463	0.0106152	0.0130096	0.0174532	0.0189343	0.0159984	0.0137685	0.0153473	0.0130306	0.0190459	0.0251897	0.0188408	0.0179074	0.0151171	0.011412	0.0128514
devons	0.0411046	0.026025	0.0273117	0.0322446	0.0471299	0.0448481	0.0527386	0.0709087	0.0367638	0.0486872	0.0653697	0.0407731	0.0692236	0.0856778	0.0499127	0.0358503	0.0154961	0.0194139	0.0184847	0.0244723	0.0275471	0.0136159	0.013894	0.0114677	0.011253	0.0143059	0.00901812	0.0143891	0.0113345	0.00879844	0.0119398
aider	0.0299425	0.0388827	0.036067	0.0383752	0.0482196	0.0306313	0.0388484	0.0380249	0.0470643	0.032431	0.0352447	0.0250957	0.0230231	0.0198409	0.0245131	0.0252903	0.0184373	0.0224117	0.0293066	0.0393423	0.0373923	0.036971	0.0336959	0.0288581	0.0247868	0.0281494	0.0315786	0.0345488	0.0455928	0.0389766	0.0184572
les	0.0267521	0.0255693	0.034757	0.0296516	0.0274271	0.0308427	0.0344281	0.042513	0.0364969	0.0379935	0.0418325	0.0325068	0.0318398	0.0216532	0.0211556	0.023662	0.0220859	0.0174076	0.0172863	0.0231026	0.0283148	0.0312655	0.0367591	0.0339967	0.0245266	0.0204729	0.0339502	0.0379407	0.0439372	0.0582179	0.0716546
pauvres	0.0210842	0.0189734	0.0190393	0.0195699	0.0219609	0.0245297	0.0302441	0.0357714	0.0393523	0.0435666	0.032101	0.0263897	0.0311781	0.0237474	0.020417	0.0377254	0.0362819	0.0346772	0.0399793	0.0392235	0.0472841	0.0280804	0.0300629	0.0309719	0.020071	0.0321969	0.024428	0.0368751	0.0371651	0.0388423	0.07821
comme	0.0215249	0.0128085	0.0126758	0.0114728	0.0183746	0.0266887	0.0347326	0.0418785	0.0381216	0.0373222	0.0488079	0.0362924	0.0394121	0.0331668	0.0377042	0.0343291	0.0435165	0.0299451	0.0224846	0.0280338	0.0215555	0.022955	0.0239801	0.0250165	0.0251275	0.0223907	0.0275815	0.0427073	0.0409134	0.0455126	0.0929672
le	0.0335449	0.0327222	0.0278424	0.0259687	0.0272287	0.027898	0.018685	0.0223991	0.0157119	0.0218675	0.0214325	0.0207109	0.0331781	0.0302824	0.0301019	0.0348171	0.028596	0.0331989	0.0275193	0.0420376	0.023188	0.0178282	0.0160461	0.0137602	0.0146026	0.0204668	0.0241379	0.0506277	0.0519706	0.0536634	0.157965
recommande	0.0299517	0.0163353	0.0162382	0.0166031	0.0253742	0.0307693	0.031864	0.0312873	0.0220786	0.0298869	0.0275903	0.0207519	0.019648	0.0175341	0.0205906	0.025561	0.0278219	0.0280017	0.0251931	0.0376895	0.032807	0.0339217	0.0306442	0.0341124	0.0421873	0.0325847	0.0331453	0.0542011	0.0513221	0.0560753	0.0982284
dieu	0.0239886	0.0126101	0.0120948	0.0133302	0.0171913	0.021769	0.031351	0.043281	0.0244025	0.0322146	0.030924	0.0184555	0.0347983	0.0257849	0.0267372	0.0164661	0.0229968	0.0271731	0.0294656	0.0459386	0.0341961	0.0460317	0.0388879	0.0450012	0.0591698	0.0410112	0.0434577	0.0524735	0.0464959	0.0377066	0.0445951
</S>	0.015862	0.0131878	0.0117541	0.0115099	0.0148514	0.00932197	0.00888146	0.0133207	0.0088958	0.00968323	0.0108268	0.0082316	0.0141992	0.0110663	0.0120425	0.0122274	0.0107661	0.0156209	0.0181598	0.0316605	0.0388319	0.048513	0.0496691	0.0685116	0.0830301	0.065341	0.0676629	0.0762155	0.084928	0.0735172	0.0817104
