 	b	í	s	í	b	h	á	l	e	d	í	l	e	m	b	ó	r	o	l	á	t	s	ó	s	ó	b	á	k	a	á	</S>
nous	0.0850105	0.101995	0.112624	0.0765028	0.0430909	0.0161459	0.0197202	0.0235953	0.0176238	0.0202323	0.0483903	0.0389079	0.0857907	0.049666	0.0211249	0.0149616	0.0133679	0.015788	0.0106344	0.0100335	0.0123641	0.0198429	0.010136	0.0158861	0.0172914	0.0187675	0.0189368	0.0181886	0.0153736	0.016714	0.0112929
n'	0.0796824	0.090515	0.0843578	0.10527	0.040973	0.0380941	0.0433073	0.0545781	0.0463124	0.0242584	0.0407496	0.0206774	0.0501147	0.0643928	0.0721132	0.0361917	0.0236235	0.0201858	0.0119271	0.00947398	0.00597721	0.00331913	0.00204083	0.00201475	0.00159458	0.00240533	0.00672222	0.00378916	0.00346342	0.00394244	0.00793264
avons	0.0534461	0.0551604	0.0868613	0.136858	0.0967803	0.0866684	0.0457555	0.037393	0.0426267	0.0402381	0.0201336	0.0265	0.0202241	0.0201061	0.0128748	0.010213	0.0116717	0.0119408	0.0173561	0.0180051	0.0116647	0.00965261	0.0120985	0.0129732	0.00694917	0.0090313	0.0113805	0.0147965	0.0168465	0.0231029	0.0206915
pas	0.195475	0.102927	0.0954213	0.0752571	0.0395953	0.0250025	0.01036	0.00778159	0.00541585	0.00576325	0.0046082	0.00708619	0.00734598	0.0105932	0.0227929	0.0280276	0.0235929	0.0229758	0.0203407	0.0272466	0.0322387	0.0308919	0.0524607	0.0274575	0.0108166	0.0192847	0.00872866	0.0110407	0.01552	0.0181954	0.0357568
cette	0.0163845	0.0124005	0.0111955	0.00855275	0.0092175	0.00833726	0.0103549	0.0114126	0.0102466	0.016844	0.0124952	0.0197634	0.0124988	0.0243943	0.0232388	0.0305827	0.0335989	0.0349214	0.0427203	0.0487855	0.0479057	0.0571971	0.0666196	0.0673241	0.0437426	0.0643825	0.032115	0.0434823	0.0462817	0.0562975	0.0767067
race	0.0123823	0.0110596	0.0143244	0.0100497	0.0176166	0.019759	0.0279605	0.0345024	0.0362526	0.03681	0.0371017	0.0620085	0.0246929	0.0578976	0.0370392	0.0444204	0.0391873	0.031118	0.0343331	0.0308463	0.0232717	0.0162842	0.0209008	0.0320611	0.0387564	0.0366841	0.0200806	0.0289237	0.0364957	0.0438256	0.0833541
de	0.0196575	0.0128775	0.0184536	0.0197916	0.029703	0.0215786	0.0288565	0.0398268	0.0389286	0.0417728	0.0270071	0.0543691	0.0278822	0.0523854	0.046272	0.0458967	0.0419272	0.045008	0.0393923	0.0493037	0.034762	0.0225609	0.0272072	0.0250001	0.0117604	0.017996	0.0101411	0.0140477	0.0259162	0.047176	0.0625423
poule	0.0201759	0.0196772	0.023707	0.0255844	0.0135803	0.0163925	0.0129315	0.0163659	0.01997	0.013566	0.00803273	0.0104302	0.0121753	0.020267	0.0312532	0.0422741	0.0349073	0.0410076	0.0478643	0.0503668	0.0291958	0.018482	0.0195432	0.0372256	0.024494	0.0503694	0.04292	0.0550742	0.0669462	0.0839792	0.0912414
ici	0.0146674	0.0190292	0.0229534	0.029188	0.0175609	0.0148292	0.0117804	0.0126072	0.0137307	0.0145358	0.00955458	0.0137433	0.00784091	0.0126086	0.013021	0.0219054	0.0225054	0.0253441	0.0389291	0.0451219	0.0240018	0.037447	0.034305	0.0410258	0.03562	0.0557214	0.0491523	0.0590835	0.0708024	0.0920529	0.119331
</S>	0.031452	0.0352884	0.035897	0.027809	0.0226806	0.0180029	0.0172518	0.0158265	0.0145522	0.0106655	0.00787346	0.00734082	0.0106196	0.0104649	0.011381	0.0181302	0.0268488	0.0188647	0.024984	0.0317003	0.0113645	0.0116154	0.0153102	0.0343552	0.0263492	0.0483943	0.0686327	0.0692161	0.0865882	0.0901408	0.1404
