 	m	w	á	n	a	o	y	ú	r	u	y	a	b	o	s	ó	l	á	a	b	é	r	á	b	á	a	s	á	k	ώ	</S>
l'	0.00773115	0.014113	0.00951589	0.00943496	0.0081615	0.0080384	0.00820747	0.0102979	0.0106018	0.0158772	0.0267462	0.0524336	0.0491133	0.0531171	0.048811	0.0464569	0.0424678	0.0452414	0.0375896	0.029557	0.0403463	0.0374364	0.0299858	0.0454903	0.0520105	0.0490937	0.0417829	0.0399258	0.0479114	0.0469873	0.0355165
aînée	0.0573185	0.0489003	0.0726876	0.234247	0.152288	0.0765657	0.0586928	0.0489321	0.0392912	0.0422217	0.0264765	0.0184955	0.0121587	0.00832483	0.00444222	0.00381157	0.00698967	0.00895009	0.0145602	0.0120815	0.0148466	0.00873244	0.00689479	0.00182968	0.00121535	0.00583026	0.00408653	0.00383513	0.00182473	0.00213905	0.0013296
des	0.0096271	0.0199481	0.01646	0.0273817	0.0253483	0.0335553	0.0421729	0.0472284	0.0335071	0.0242356	0.0110094	0.00919484	0.00875729	0.00612645	0.00751401	0.0108648	0.025746	0.0257473	0.0520183	0.0767099	0.0958045	0.0939104	0.0866664	0.0460817	0.0309181	0.0369512	0.0324433	0.0295348	0.0134323	0.0168922	0.00421237
filles	0.0247442	0.0149806	0.0180451	0.0357672	0.0248017	0.0339131	0.0480408	0.0599722	0.048794	0.0475529	0.0297407	0.0256947	0.0215273	0.0218584	0.022649	0.0276228	0.0586455	0.0454653	0.0816802	0.0576381	0.042101	0.026114	0.0285611	0.0130188	0.0144354	0.0244496	0.0194623	0.0169911	0.0153573	0.021451	0.0289247
les	0.0609686	0.0318769	0.0264664	0.0200973	0.0225905	0.0310474	0.0338913	0.0336404	0.0338056	0.0348077	0.0319187	0.0307323	0.0367629	0.0295426	0.0308279	0.0455299	0.0411975	0.0469382	0.0461003	0.0434424	0.0366838	0.0227093	0.0175886	0.0119092	0.011119	0.0170265	0.0196032	0.0253597	0.03119	0.0405973	0.0540284
entraîne	0.0384399	0.0178328	0.0281831	0.0338415	0.0309904	0.0264364	0.0259126	0.0196201	0.0164848	0.0247296	0.0255573	0.058563	0.0881331	0.0649197	0.0619192	0.0717965	0.0600244	0.0301877	0.0352067	0.024527	0.0233255	0.0111516	0.00546087	0.0029682	0.00290918	0.0130484	0.0218763	0.0218686	0.0139668	0.034199	0.0659197
dans	0.0311353	0.0365898	0.0337182	0.0208813	0.0183312	0.0135327	0.0145894	0.0198967	0.0206481	0.025378	0.0289649	0.0298882	0.0494599	0.0502965	0.0481368	0.037845	0.0340907	0.0310008	0.0336474	0.026231	0.0343741	0.0206397	0.0168416	0.0131123	0.00992724	0.0425765	0.0496408	0.048094	0.0437506	0.0525753	0.0642063
la	0.0585452	0.0367226	0.0338241	0.0282935	0.0224938	0.0190078	0.0211669	0.0145077	0.0119034	0.0115097	0.00990247	0.0103525	0.0138227	0.0154928	0.0169359	0.014417	0.0180178	0.0191089	0.0317632	0.0352885	0.0386861	0.0545235	0.0542952	0.0537761	0.0390701	0.0584676	0.0475482	0.0530286	0.0494089	0.0511662	0.0569533
forêt	0.0619228	0.0536563	0.049741	0.040135	0.0289163	0.015081	0.014066	0.00901219	0.0103466	0.00912283	0.00846061	0.0184433	0.0304255	0.0389853	0.0358847	0.0224452	0.0238067	0.0161674	0.0194567	0.0212176	0.0169017	0.0146221	0.0173069	0.012955	0.0069569	0.0494384	0.0609699	0.0680867	0.0603511	0.06597	0.0991485
</S>	0.0721199	0.0418782	0.0363416	0.0307138	0.0237558	0.021019	0.0198082	0.0109954	0.0105242	0.00652707	0.00546684	0.00678046	0.0122782	0.0173742	0.0267559	0.0241474	0.0280998	0.0271791	0.0355975	0.0421533	0.0450692	0.044179	0.0489139	0.0350795	0.0254825	0.0401508	0.0397544	0.0491701	0.0503315	0.0477127	0.0746405
