 	n	g	á	í	p	é	n	d	i	i	s	e	b	h	e	m	í	k	á	b	h	e	</S>
j'	0.064366	0.302783	0.241011	0.121034	0.0892098	0.010366	0.00834991	0.00936125	0.0102961	0.00833059	0.00978662	0.0110565	0.0103251	0.0122145	0.0136286	0.0241254	0.0114002	0.00978765	0.00823983	0.00759472	0.00578472	0.00584944	0.00509878
ai	0.137084	0.0315123	0.0551143	0.126618	0.129214	0.0406557	0.0850516	0.0288342	0.0163203	0.0223792	0.0408565	0.0361685	0.0277762	0.0126735	0.0118332	0.0250689	0.0146556	0.0271817	0.0304174	0.0299724	0.0204361	0.0104748	0.0397014
fais	0.0260608	0.0322269	0.0169624	0.0262295	0.0492628	0.0494603	0.0590521	0.0753782	0.0708622	0.0611338	0.0466145	0.0415616	0.0469239	0.0562742	0.0630398	0.0410003	0.0423322	0.0359655	0.0304838	0.0286832	0.0357503	0.0373642	0.0273775
un	0.0610808	0.0723222	0.040852	0.0251393	0.0192127	0.0247666	0.0346714	0.0353704	0.0263504	0.024712	0.0203022	0.0265938	0.0493177	0.0724533	0.115826	0.0517888	0.0494963	0.0356694	0.0357072	0.0333853	0.0404104	0.0448465	0.059725
saut	0.0298543	0.0239774	0.0225063	0.0141932	0.0109434	0.0247096	0.0341715	0.0907301	0.0753227	0.0481911	0.0397112	0.0445156	0.039737	0.0253491	0.0287004	0.0427535	0.0462701	0.0453353	0.0516255	0.0555499	0.0623395	0.063194	0.0803195
pour	0.0362847	0.0241672	0.0378625	0.0401235	0.0264042	0.0387095	0.0369311	0.0524585	0.0333954	0.0348621	0.0439151	0.0371166	0.0266801	0.0146888	0.0207288	0.0243237	0.0374999	0.0334981	0.0442688	0.0563022	0.0607466	0.0818368	0.157196
dépasser	0.0389376	0.0212684	0.0145952	0.0176852	0.0144376	0.0424343	0.0321144	0.0257316	0.0351338	0.0288859	0.0364915	0.0370365	0.0393094	0.0338317	0.034757	0.0373384	0.0461956	0.055261	0.0642075	0.0581932	0.0740757	0.0773793	0.134699
la	0.0198957	0.0181082	0.0221667	0.0208221	0.0242051	0.0255978	0.0178794	0.0234373	0.0188181	0.0197482	0.0175536	0.0239215	0.0168214	0.0204063	0.0340073	0.0556538	0.0825948	0.0833088	0.078091	0.0530949	0.0894943	0.106773	0.127601
flaque	0.0114299	0.012392	0.0126197	0.012504	0.0135104	0.0158386	0.0220008	0.0264358	0.0221541	0.0177468	0.0171998	0.0216678	0.0163322	0.0205563	0.0318556	0.0567409	0.0841942	0.0922319	0.0832148	0.0764035	0.107427	0.105626	0.119918
d'	0.0354003	0.0276032	0.0276988	0.0378947	0.0435514	0.0485244	0.0334674	0.031887	0.0219681	0.0160434	0.0200017	0.0169252	0.019057	0.0159502	0.0149716	0.017761	0.0310548	0.0360877	0.0353139	0.0493831	0.0807591	0.107373	0.231322
eau	0.0339576	0.0327798	0.0301396	0.0343668	0.0339371	0.0293925	0.0245228	0.0232592	0.0120095	0.00744991	0.0115229	0.00880325	0.0117421	0.0143532	0.0197155	0.031411	0.0593145	0.0597684	0.0600976	0.0813852	0.115459	0.123157	0.141455
</S>	0.0343011	0.028076	0.0247561	0.0361143	0.0363223	0.032627	0.0280734	0.0308856	0.0219938	0.011666	0.0178799	0.012092	0.019878	0.0266944	0.0354125	0.0353807	0.0470826	0.039315	0.0449956	0.0547812	0.0863062	0.104378	0.190988
