 	w	á	á	l	ó	o	k	y	έ	s	έ	n	y	a	m	a	o	b	á	r	a	a	w	á	á	o	b	o	n	d	z	í	e	n	i	n	g	i	t	s	í	n	a	y	í	a	é	d	í	l	a	k	a	l	e	</S>
quand	0.24739	0.151063	0.141649	0.055765	0.0286014	0.0170094	0.0194128	0.0112582	0.0138094	0.0169821	0.0117759	0.00921398	0.00631616	0.00561967	0.00834032	0.0086569	0.00833885	0.00435845	0.00670177	0.005087	0.00335793	0.00379736	0.00235678	0.00273109	0.0019193	0.00279915	0.001991	0.00233212	0.0020107	0.00571391	0.00387745	0.00339456	0.00308912	0.00615897	0.00374326	0.00611094	0.00200822	0.00281899	0.00383807	0.00294739	0.00324764	0.00461457	0.00430031	0.00819626	0.00826485	0.00559973	0.00675996	0.014731	0.00923323	0.0123509	0.015312	0.0158419	0.0123341	0.0132248	0.0133994	0.00824357
tu	0.0753517	0.0776835	0.0856067	0.0372008	0.0437703	0.0535247	0.0407524	0.0362271	0.0310007	0.0534099	0.0338361	0.0467254	0.0166907	0.0222056	0.0174578	0.0179945	0.00816969	0.0244665	0.0154131	0.0137421	0.00818481	0.0199778	0.00415115	0.00430903	0.00756691	0.00724954	0.0145641	0.0104054	0.00931103	0.0127845	0.0086007	0.00727032	0.00800719	0.00962946	0.00876889	0.00671482	0.00531659	0.00832066	0.00558369	0.0118065	0.011873	0.00780572	0.00405953	0.00298028	0.00239085	0.00279151	0.000829197	0.00201493	0.00146941	0.00374313	0.00240141	0.00360624	0.00177257	0.00185826	0.00283892	0.0178127
dépèces	0.0115619	0.00839889	0.0131723	0.0203101	0.0337966	0.0239079	0.0287156	0.0249095	0.0204293	0.0117691	0.0166358	0.0184416	0.018786	0.0271544	0.024667	0.0263222	0.0258313	0.022707	0.0270077	0.0242664	0.00904952	0.0132623	0.016649	0.0227636	0.0233349	0.0236693	0.0150859	0.0292871	0.0194886	0.0253174	0.0197124	0.0372597	0.0174487	0.0186347	0.0125207	0.0233179	0.0223168	0.0260099	0.0255914	0.0176441	0.0151868	0.00752103	0.0108031	0.00644887	0.010299	0.00904943	0.00529492	0.00741368	0.00845829	0.0104497	0.00853531	0.00896105	0.0071258	0.00796464	0.0111843	0.0181495
un	0.00849917	0.00637003	0.00640117	0.00785874	0.0111669	0.0085902	0.0063357	0.00449665	0.00561871	0.00698325	0.00850327	0.0115576	0.0194045	0.0185263	0.0177324	0.0354387	0.0179753	0.0199235	0.00948912	0.0192483	0.00537993	0.0205386	0.0169556	0.0103867	0.0161176	0.0154035	0.0294098	0.020812	0.0168619	0.0187463	0.0252293	0.00984299	0.0194713	0.0101267	0.0150955	0.0298599	0.0221239	0.046021	0.0426273	0.0418269	0.028167	0.0320343	0.0353102	0.0290743	0.015619	0.0175551	0.00909389	0.00579388	0.011448	0.0116465	0.013343	0.0109178	0.0120777	0.0181425	0.0314763	0.0353442
animal	0.00136244	0.00131252	0.00130223	0.00323696	0.00438737	0.00562275	0.00740771	0.0102644	0.0142134	0.0174364	0.0161108	0.020794	0.0233957	0.0227929	0.0497794	0.0679759	0.07648	0.0487763	0.0247942	0.0263459	0.0091636	0.0210746	0.0131991	0.00917977	0.0185142	0.0154359	0.0341103	0.0127197	0.015685	0.0185124	0.0214863	0.0192934	0.0149517	0.0238391	0.0307365	0.0136781	0.0251232	0.0260252	0.0187589	0.0180487	0.0103023	0.0144948	0.00765347	0.00715745	0.00880552	0.0106	0.0118665	0.0106154	0.00716778	0.0124649	0.00816689	0.00837668	0.00694087	0.00970743	0.0146338	0.0277194
garde-toi	0.00472762	0.00374656	0.0025301	0.00451338	0.00668145	0.0076091	0.00738753	0.0109239	0.00954878	0.00895782	0.0103354	0.0135097	0.0109291	0.0125035	0.0166192	0.0214836	0.0251029	0.0331461	0.0221721	0.0204482	0.024358	0.0150265	0.0140085	0.0178112	0.0150097	0.0160873	0.0157469	0.0112011	0.0139308	0.0127756	0.0154427	0.019369	0.0120933	0.016493	0.0198808	0.0146194	0.0242362	0.0325345	0.0249885	0.0301666	0.0142548	0.013669	0.0172938	0.0177158	0.0240394	0.0187111	0.0277306	0.031507	0.0238022	0.0278327	0.01933	0.0183898	0.0161339	0.0212351	0.0335119	0.0561873
de	0.012567	0.0114605	0.00696394	0.00416604	0.00540849	0.00650573	0.00821215	0.0112899	0.0122634	0.00957304	0.0107378	0.00961567	0.00752838	0.00923989	0.0168765	0.0163173	0.0172149	0.0223696	0.0164668	0.0255119	0.0134669	0.0345079	0.0171281	0.0156443	0.0238927	0.016606	0.022108	0.0114168	0.0194662	0.025169	0.0246386	0.0156474	0.0154026	0.0228796	0.0287618	0.0208132	0.0323994	0.0276398	0.0278822	0.0330346	0.0227313	0.0264004	0.0190124	0.0130658	0.0110009	0.0145228	0.0183726	0.0176377	0.0125548	0.0205783	0.017735	0.017997	0.0149555	0.0194154	0.0247495	0.0404765
crever	0.00903514	0.00777973	0.00654953	0.00524437	0.0066005	0.00749985	0.0061546	0.00658302	0.00555729	0.00571057	0.00638849	0.00805142	0.00604428	0.0062573	0.00713426	0.00862261	0.0141142	0.0175706	0.00949719	0.0153565	0.0113521	0.0118789	0.0101988	0.00731663	0.0135305	0.017796	0.01491	0.0166832	0.0211682	0.0219873	0.0268141	0.0199095	0.0229871	0.0252991	0.0252323	0.0256495	0.0297647	0.0298569	0.029093	0.0326199	0.0272387	0.0408102	0.0308261	0.02956	0.0276746	0.0227098	0.0249685	0.025846	0.0167434	0.0199874	0.0178687	0.019984	0.0189031	0.0257551	0.0310427	0.0402822
la	0.00503859	0.00521964	0.00576701	0.00572164	0.0105494	0.00941619	0.0117356	0.0124238	0.00970972	0.00738018	0.00956227	0.0123912	0.00727409	0.00917454	0.014004	0.0164844	0.0215466	0.0352138	0.0168539	0.0231714	0.0251182	0.0205415	0.00694318	0.00338778	0.0116625	0.0170825	0.0224173	0.0229532	0.0265881	0.0333772	0.0287247	0.0314351	0.0221712	0.0372446	0.0357262	0.0160479	0.0281568	0.0276849	0.0200392	0.0410426	0.0328828	0.0378585	0.0216206	0.0152546	0.014906	0.0110095	0.00933833	0.00837434	0.0043592	0.0101028	0.00807106	0.00899879	0.00703042	0.0119289	0.0176216	0.0536597
bile	0.007503	0.00765553	0.00801504	0.00832478	0.0111954	0.00803619	0.00761147	0.00756309	0.00533378	0.00443722	0.00419599	0.00509617	0.0055564	0.00550373	0.00563752	0.00678876	0.00907548	0.0104853	0.00690723	0.010301	0.0101457	0.0143158	0.00433158	0.00300328	0.0117568	0.0141885	0.0218611	0.0207131	0.0216289	0.0223137	0.0298702	0.0326551	0.0365834	0.033656	0.0258163	0.0208687	0.0205693	0.0330002	0.0259612	0.0471721	0.03454	0.0355147	0.0341714	0.0250247	0.0157357	0.0144937	0.0113731	0.0144056	0.0106384	0.0173926	0.0205074	0.0206811	0.0277313	0.0299379	0.0337573	0.0584609
car	0.0176045	0.0156149	0.0154166	0.0144334	0.0216215	0.0217644	0.0244577	0.0232496	0.0124576	0.0100775	0.00682299	0.00730659	0.0200608	0.0185349	0.0411503	0.0461403	0.042085	0.0237828	0.0164018	0.0196533	0.0170454	0.026036	0.0429746	0.0218841	0.0219322	0.0227397	0.0432975	0.024506	0.0167751	0.0188222	0.0237767	0.0299081	0.0231156	0.0210429	0.0154777	0.0132283	0.0141498	0.0138308	0.0120761	0.0193011	0.0129575	0.010972	0.00596943	0.0122352	0.006929	0.00609672	0.00521558	0.00402146	0.00516595	0.0088259	0.00749071	0.00583404	0.00428158	0.0045694	0.00956541	0.0293137
