 	w	a	á	f	ú	n	d	u	o	b	i	a	m	b	v	á	a	o	k	o	n	d	z	i	y	a	b	á	a	</S>
il	0.0757743	0.308493	0.314032	0.156975	0.0663061	0.0285203	0.0142225	0.0041777	0.00376981	0.00103634	0.00094544	0.000522958	0.00105748	0.00133413	0.00128005	0.00176629	0.00166576	0.00153478	0.00146859	0.00144973	0.00179693	0.000989083	0.0014781	0.0014509	0.00143414	0.00143267	0.00138436	0.00135408	0.00132437	0.00102256
a	0.013089	0.00961861	0.00875006	0.00704246	0.00781365	0.0249326	0.0328066	0.0745747	0.104977	0.126472	0.0650723	0.0452879	0.0281971	0.059604	0.0420182	0.0448248	0.0594024	0.027175	0.0318406	0.056437	0.0240949	0.021207	0.013742	0.017728	0.0181003	0.00893378	0.00704794	0.00425927	0.00627067	0.00867964
dénoncé	0.0199957	0.0144135	0.0099841	0.00804653	0.0122122	0.0095329	0.00888258	0.0116537	0.0218891	0.0223124	0.034996	0.0366574	0.0177875	0.0520309	0.0723438	0.0479052	0.102916	0.125285	0.110957	0.0737573	0.0555375	0.0371583	0.0140368	0.00972341	0.0103345	0.0100813	0.0111245	0.0120173	0.0147962	0.0116313
son	0.0184239	0.0243393	0.0245837	0.0240843	0.0243841	0.0273895	0.0140388	0.0194372	0.0145098	0.0165949	0.0279197	0.0266485	0.0133761	0.024738	0.0276032	0.0293439	0.0654067	0.133911	0.110519	0.0522959	0.0588347	0.0334417	0.0308986	0.0320203	0.0224002	0.0271796	0.0204881	0.0176453	0.0189143	0.0186303
ami	0.0127491	0.0141865	0.0162326	0.0099047	0.014431	0.0117895	0.00759358	0.00808648	0.0108376	0.0175503	0.0268506	0.0329744	0.0457523	0.0242542	0.0302261	0.0269861	0.031855	0.0588197	0.0611089	0.0711636	0.112887	0.105357	0.06895	0.0327072	0.0238583	0.0266097	0.0260756	0.0221556	0.0162658	0.0317813
auprès	0.00510916	0.00623326	0.0053971	0.00569995	0.00519733	0.00722235	0.00967409	0.00832509	0.0118125	0.00977867	0.0115155	0.0117356	0.013134	0.0128705	0.0122259	0.0154339	0.0140273	0.0204581	0.0515324	0.0803602	0.117241	0.121538	0.106387	0.0509125	0.0540908	0.0415507	0.0332566	0.0354413	0.0533768	0.0684619
de	0.00839257	0.00907311	0.007406	0.00784004	0.011299	0.00905487	0.01206	0.0170287	0.0182541	0.016161	0.0174987	0.0145172	0.00785187	0.0151744	0.0162314	0.0197536	0.0203864	0.0326006	0.0387857	0.0571576	0.0574166	0.10157	0.0657812	0.0428225	0.0643417	0.0511436	0.0495266	0.0565006	0.0695865	0.0847837
leur	0.0219602	0.022463	0.0153363	0.0152653	0.0238996	0.0187333	0.0204709	0.0229917	0.0193638	0.0156045	0.0143692	0.0142093	0.00556544	0.0113293	0.0110343	0.013516	0.0124468	0.0123356	0.017379	0.0248937	0.0354583	0.0517576	0.0472794	0.0658225	0.0799659	0.0783468	0.0650804	0.0747136	0.0740237	0.0943846
chef	0.0151552	0.019669	0.015338	0.0162538	0.0152914	0.0177512	0.0118342	0.0135361	0.0121305	0.0126357	0.0125771	0.0115344	0.00529278	0.0129416	0.0134086	0.0142222	0.0135376	0.0141597	0.0270685	0.0394494	0.0404011	0.0474876	0.0436997	0.0408008	0.0630488	0.0623491	0.0703783	0.0938637	0.103445	0.120739
</S>	0.0407564	0.0346641	0.0340918	0.0336713	0.0334645	0.0341077	0.0275236	0.0282641	0.0193645	0.0152317	0.00791379	0.00651414	0.00497293	0.00581889	0.00596599	0.00749444	0.00673119	0.00948839	0.0203584	0.0450562	0.0272483	0.0328605	0.0212171	0.0397245	0.0667203	0.0686749	0.0531225	0.0633893	0.100613	0.104975
