 	w	a	á	m	i	k	a	n	á	ω	b	έ	l	έ	m	ó	k	í	n	g	í	m	ó	i	b	á	r	a	n	d	z	ó	r	o	l	a	n	g	a	a	</S>
il	0.202321	0.318881	0.238315	0.0764024	0.0422348	0.017937	0.0163317	0.00221836	0.00242872	0.00307514	0.00256272	0.00264357	0.00405116	0.00422288	0.0040506	0.00341595	0.00229371	0.00137205	0.00110533	0.00141455	0.00154617	0.00138294	0.0015084	0.00140074	0.000980953	0.00109757	0.00152224	0.00155302	0.00213532	0.00296395	0.00315491	0.00314874	0.00315803	0.00338819	0.00349296	0.00329447	0.00331295	0.00373825	0.0035947	0.00321885	0.00312881
s'	0.00709515	0.00700834	0.00440576	0.00971848	0.0314241	0.0532485	0.0435572	0.0599405	0.0712393	0.0486256	0.0535968	0.0398185	0.0372047	0.0358379	0.0368996	0.0351476	0.0318833	0.0214847	0.0292842	0.0685371	0.0394821	0.044305	0.0433541	0.0481393	0.0257799	0.00601729	0.00594086	0.0044992	0.011101	0.00536654	0.004029	0.00435637	0.00348178	0.00460558	0.00511944	0.00334696	0.00285154	0.00236628	0.00262148	0.00198116	0.00529777
est	0.0214257	0.0173657	0.015637	0.0155376	0.0155515	0.0162192	0.0347138	0.0196229	0.0136664	0.0127576	0.0120114	0.0154499	0.0175336	0.0299058	0.034304	0.0429775	0.049704	0.0662371	0.0787124	0.0304699	0.0357672	0.0209295	0.0222579	0.0206822	0.0183854	0.014965	0.0206559	0.0151723	0.0307387	0.0227762	0.025403	0.0342592	0.0185683	0.0195238	0.0211809	0.0141581	0.0214379	0.0146351	0.0145499	0.0166143	0.017536
mis	0.00586339	0.00666461	0.00738573	0.0121664	0.0149381	0.0102432	0.0124671	0.0103397	0.0118205	0.00915991	0.00940081	0.0180119	0.0155937	0.0118191	0.0147829	0.0128465	0.0175615	0.0197943	0.0186175	0.0476497	0.0630948	0.0765277	0.0786349	0.071634	0.0559808	0.0310565	0.0293089	0.0366896	0.0505983	0.0332733	0.0295097	0.0261043	0.0155398	0.0172533	0.0149114	0.017768	0.0118542	0.0122092	0.0125763	0.0112783	0.0170701
une	0.00224051	0.00246345	0.00246786	0.00254479	0.00572362	0.00434002	0.00538101	0.0054394	0.00598313	0.00535069	0.00936631	0.00664753	0.0124325	0.0142259	0.0301255	0.0327609	0.042571	0.0539789	0.0601842	0.0430238	0.0524553	0.0392971	0.0470546	0.0572712	0.0560278	0.0407703	0.0352134	0.0365854	0.0329849	0.0349618	0.0352792	0.0316237	0.023724	0.0188228	0.0139533	0.0116842	0.0134096	0.0140002	0.0127501	0.0167163	0.028164
amulette	0.0029336	0.00686513	0.00698036	0.00580203	0.0150818	0.0185391	0.0305139	0.0216109	0.019033	0.0111669	0.0191466	0.020984	0.0378279	0.046675	0.0443825	0.0423535	0.0467455	0.0284533	0.0299513	0.00977192	0.00993127	0.014284	0.0122776	0.0120865	0.0172126	0.0140534	0.0191336	0.0172901	0.0211715	0.0278869	0.0229194	0.0267489	0.023894	0.0328191	0.0261539	0.0230411	0.0307673	0.0308737	0.0277363	0.0406169	0.0842836
au	0.00375083	0.00886817	0.00815385	0.00791182	0.0126368	0.0108739	0.0159527	0.00984874	0.0105723	0.00726195	0.0128017	0.00805526	0.0143573	0.0154289	0.0186608	0.0212785	0.0233474	0.021319	0.0223609	0.022391	0.0372726	0.0304333	0.0329502	0.0316565	0.0381102	0.0357755	0.0364694	0.0326797	0.0356625	0.0304915	0.0359344	0.044043	0.0337881	0.0365071	0.0282858	0.0255365	0.0335777	0.0318309	0.0260344	0.0402695	0.0468595
cou	0.0240369	0.0297245	0.0320546	0.0294583	0.0390165	0.0296517	0.0374355	0.0197593	0.0159062	0.0134986	0.0147602	0.0169095	0.0194635	0.0234955	0.0317062	0.0279903	0.0349696	0.0412307	0.0322828	0.0242624	0.0296518	0.04785	0.0313735	0.0377398	0.0410736	0.0292194	0.02092	0.0176767	0.0187474	0.0132917	0.0141086	0.0123352	0.0110036	0.0127172	0.0107276	0.0103251	0.012517	0.0144282	0.0165289	0.0181049	0.042047
pour	0.00540072	0.0061157	0.00608744	0.0094219	0.0128086	0.00926038	0.0117684	0.00828066	0.00875467	0.00872676	0.00992674	0.00924818	0.0113941	0.0120329	0.0202853	0.0190595	0.0215142	0.0290184	0.0299034	0.0513607	0.0624661	0.0529507	0.0436621	0.0450937	0.0510959	0.0519611	0.0390652	0.0360871	0.0255924	0.0213934	0.0156885	0.0165653	0.0185756	0.0163567	0.0166016	0.0198438	0.0254801	0.0284481	0.0309394	0.0356987	0.046066
se	0.0128243	0.0120321	0.010956	0.0161302	0.0160804	0.0172084	0.0157402	0.0112105	0.00803096	0.00740414	0.00705818	0.00732504	0.00744479	0.012422	0.0102719	0.00976274	0.0104054	0.025643	0.0211802	0.0489253	0.0564333	0.0425319	0.0349204	0.0266562	0.0277879	0.0292744	0.0285825	0.0228905	0.0421858	0.0435972	0.0414811	0.0360908	0.0316732	0.0228635	0.0250699	0.0377132	0.0250563	0.0343108	0.0377493	0.0341612	0.0309148
protéger	0.00758248	0.00817908	0.00846638	0.013003	0.0112962	0.0102139	0.00847683	0.00795477	0.007665	0.0067207	0.00746152	0.0100344	0.0111602	0.0126877	0.00958403	0.00904455	0.00993388	0.0107619	0.0138277	0.041489	0.0638875	0.078716	0.0605601	0.0587411	0.0513905	0.0363199	0.0305567	0.0214661	0.0424698	0.0241602	0.0178476	0.0115525	0.00947582	0.0112147	0.0136954	0.0324482	0.0218281	0.0307244	0.0373288	0.0510944	0.0689791
de	0.008725	0.00756702	0.00736783	0.00807467	0.00905676	0.00876105	0.0084369	0.00978455	0.00927302	0.0094093	0.00922702	0.0134183	0.0140964	0.0153843	0.0135971	0.0132666	0.015412	0.024107	0.0296813	0.0606814	0.0768603	0.0728485	0.0538808	0.0518321	0.0441689	0.0372298	0.0297994	0.0327904	0.0322853	0.0267989	0.0186873	0.0133898	0.0139193	0.0150527	0.0184896	0.0215222	0.0232206	0.0276788	0.0308812	0.0285202	0.0348167
la	0.0122928	0.0126175	0.0112859	0.0137622	0.0146759	0.0148924	0.0143013	0.0143334	0.0129938	0.0133362	0.0112906	0.0160292	0.0131101	0.0180541	0.0120298	0.0128751	0.0113291	0.0144221	0.0165562	0.0201004	0.0293555	0.0332765	0.0281495	0.0214938	0.0251948	0.0230034	0.0261679	0.0204537	0.0302133	0.0247504	0.0208503	0.0228649	0.0221242	0.0278467	0.037077	0.0595721	0.0458424	0.0504613	0.0527973	0.0560969	0.0621199
maladie	0.00580855	0.00659105	0.0064668	0.00802855	0.0114554	0.00987906	0.0117626	0.0067185	0.00665579	0.00656461	0.00560815	0.0107312	0.0107093	0.0117851	0.010291	0.0100534	0.0101554	0.00962122	0.0108374	0.017067	0.0318527	0.0391775	0.0361916	0.0364287	0.0367734	0.0298841	0.0277513	0.0257613	0.037661	0.0276536	0.0156965	0.0156589	0.0141221	0.0258072	0.0340933	0.0395779	0.0456799	0.054266	0.0609376	0.0742985	0.103937
</S>	0.0128853	0.0107111	0.0116952	0.0143185	0.0117095	0.0122986	0.0119226	0.0127837	0.0140134	0.014764	0.0152118	0.0158722	0.0157102	0.0148345	0.0147758	0.0161948	0.0162794	0.0208728	0.0213278	0.0315462	0.0290029	0.028173	0.0259234	0.0257524	0.0353377	0.0401341	0.0358968	0.0353502	0.0305082	0.0289488	0.0297885	0.0275947	0.0350483	0.0243124	0.0234991	0.0319258	0.0293897	0.0325801	0.0392182	0.0345676	0.0673206
