 	b	í	s	í	l	é	e	n	y	w	á	á	m	b	o	l	ó	</S>
nous	0.356094	0.194544	0.102272	0.115739	0.0371167	0.0206436	0.0170666	0.018383	0.0135095	0.0102359	0.0100109	0.0133408	0.0254172	0.0232086	0.0126566	0.00997882	0.0101831	0.00959899
avons	0.0445554	0.0611029	0.0432418	0.0676231	0.0753364	0.0659296	0.080781	0.103488	0.0757876	0.116419	0.0785337	0.066313	0.0449691	0.0352342	0.0116737	0.00847733	0.0117296	0.00880449
l'	0.068108	0.107452	0.0516495	0.0540484	0.0232472	0.0314625	0.0337957	0.0464117	0.0432143	0.104883	0.15045	0.0822294	0.0333718	0.0246048	0.0356386	0.0339337	0.0440922	0.0314065
habitude	0.0113737	0.01782	0.0225773	0.0336536	0.0244587	0.0299507	0.0477645	0.0763024	0.0604492	0.0940822	0.0956268	0.060403	0.036929	0.0456289	0.0392504	0.0735166	0.0952255	0.134988
de	0.167845	0.089098	0.026713	0.018616	0.0201253	0.027003	0.0316353	0.0305124	0.0321204	0.0687786	0.0356762	0.0219751	0.0162797	0.0196111	0.0186337	0.0540523	0.0487296	0.272596
boire	0.223137	0.100994	0.0524559	0.0273763	0.0220657	0.0429108	0.0484922	0.0488092	0.0315871	0.0476574	0.0363888	0.0307303	0.0218951	0.0332151	0.0296047	0.0479258	0.0484256	0.106329
le	0.11923	0.0683946	0.049405	0.0293375	0.029436	0.0599177	0.0693684	0.0544428	0.0364729	0.0430308	0.0368671	0.0337956	0.0413177	0.0386929	0.0418271	0.0546708	0.0534797	0.140314
vin	0.0626065	0.0459814	0.0518031	0.0349646	0.0184513	0.0165155	0.0181337	0.019559	0.0129864	0.0216608	0.02189	0.0375547	0.0732178	0.0537013	0.077182	0.0883588	0.115444	0.229989
de	0.110435	0.0562326	0.0676658	0.0687395	0.0449207	0.0513476	0.0438011	0.0366041	0.0275862	0.0533678	0.0299125	0.0273526	0.0368265	0.0302647	0.038558	0.0362342	0.0399953	0.200156
palme	0.0932388	0.0369781	0.0426895	0.0306513	0.0202264	0.0264137	0.0213343	0.020994	0.0227722	0.0332517	0.0298175	0.0517243	0.0660198	0.0558005	0.0715636	0.0964816	0.109497	0.170546
</S>	0.0881551	0.0559867	0.0541586	0.0480071	0.0306332	0.0538911	0.0467338	0.0376851	0.0367681	0.0598107	0.0334004	0.0399115	0.042288	0.0340433	0.055139	0.0716796	0.0781406	0.133568
